id,hispacta bo News Integer id Employee author Date inserted String text,News id author inserted text,1,News,News,News.hbm.xml,hispacta\src\main\java\hispacta\bo\News.java,hispacta\src\main\java\hispacta\dao\impl\hibernate\mapping\News.hbm.xml,hispacta bo News news id null native author Employee employee inserted text, News id author inserted text getId Optional  return empty setId this getAuthor setAuthor getInserted setInserted getText setText new Integer
id,hispacta bo News Integer id Employee author Date inserted String text,News id author inserted text,1,News,News,News.hbm.xml,hispacta\src\main\java\hispacta\bo\News.java,hispacta\src\main\resources\hispacta\dao\impl\hibernate\mapping\News.hbm.xml,hispacta bo News news id null native author Employee employee inserted text, News id author inserted text getId Optional  return empty setId this getAuthor setAuthor getInserted setInserted getText setText new Integer
id,hispacta bo Division Integer id String nameCz nameEn shortcut,Division id nameCz nameEn shortcut,1,Division,Division,Division.hbm.xml,hispacta\src\main\java\hispacta\bo\Division.java,hispacta\src\main\java\hispacta\dao\impl\hibernate\mapping\Division.hbm.xml,hispacta bo Division division nonstrict read write id null native nameCz name nameEn en shortcut, author miarkak Division id nameCz nameEn shortcut getId Optional  return empty setId this getDisplayLabel locale if null getLanguage cs toString getNameCz setNameCz getNameEn setNameEn getShortcut setShortcut super new Integer
id,hispacta bo Division Integer id String nameCz nameEn shortcut,Division id nameCz nameEn shortcut,1,Division,Division,Division.hbm.xml,hispacta\src\main\java\hispacta\bo\Division.java,hispacta\src\main\resources\hispacta\dao\impl\hibernate\mapping\Division.hbm.xml,hispacta bo Division division nonstrict read write id null native nameCz name nameEn en shortcut, author miarkak Division id nameCz nameEn shortcut getId Optional  return empty setId this getDisplayLabel locale if null getLanguage cs toString getNameCz setNameCz getNameEn setNameEn getShortcut setShortcut super new Integer
id,hispacta bo Employee Integer id int version String username password firstName lastName Date birthDate Division division title phone email lastLogin lastHost Set roles Boolean active GrantedAuthority authorities,Employee id version division firstName lastName birthDate title phone email username password active lastLogin lastHost roles,1,Employee,Employee,Employee.hbm.xml,hispacta\src\main\java\hispacta\bo\Employee.java,hispacta\src\main\java\hispacta\dao\impl\hibernate\mapping\Employee.hbm.xml,hispacta bo Employee employee read write id null native version firstName first name lastName last birthDate birth date division Division title phone email username login password passwd active NUMERIC lastLogin lastHost host roles role delete true string, Employee id version username password firstName lastName birthDate division title phone email lastLogin lastHost roles active authorities getEmailLink Optional  if null length return a href mailto empty getFullName getLastName getFirstName getId setId this getVersion setVersion getDisplayLabel locale toString getDivision setDivision getPhone setPhone getEmail setEmail getTitle setTitle getLastHost setLastHost getLastLogin setLastLogin getRoles setRoles getBirthDate setBirthDate setFirstName setLastName getUsername setUsername login getPassword setPassword getActive setActive isEnabled false booleanValue getAuthorities new GrantedAuthority size Iterator iterator for int i hasNext GrantedAuthorityImpl ROLE String next toUpperCase Integer
id,hispacta bo Employee Integer id int version String username password firstName lastName Date birthDate Division division title phone email lastLogin lastHost Set roles Boolean active GrantedAuthority authorities,Employee id version division firstName lastName birthDate title phone email username password active lastLogin lastHost roles,1,Employee,Employee,Employee.hbm.xml,hispacta\src\main\java\hispacta\bo\Employee.java,hispacta\src\main\resources\hispacta\dao\impl\hibernate\mapping\Employee.hbm.xml,hispacta bo Employee employee read write id null native version firstName first name lastName last birthDate birth date division Division title phone email username login password passwd active NUMERIC lastLogin lastHost host roles role delete true string, Employee id version username password firstName lastName birthDate division title phone email lastLogin lastHost roles active authorities getEmailLink Optional  if null length return a href mailto empty getFullName getLastName getFirstName getId setId this getVersion setVersion getDisplayLabel locale toString getDivision setDivision getPhone setPhone getEmail setEmail getTitle setTitle getLastHost setLastHost getLastLogin setLastLogin getRoles setRoles getBirthDate setBirthDate setFirstName setLastName getUsername setUsername login getPassword setPassword getActive setActive isEnabled false booleanValue getAuthorities new GrantedAuthority size Iterator iterator for int i hasNext GrantedAuthorityImpl ROLE String next toUpperCase Integer
id,hispacta bo Division Integer id String nameCz nameEn shortcut,News id author inserted text,0,Division,News,News.hbm.xml,hispacta\src\main\java\hispacta\bo\Division.java,hispacta\src\main\java\hispacta\dao\impl\hibernate\mapping\News.hbm.xml,hispacta bo News news id null native author Employee employee inserted text, author miarkak Division id nameCz nameEn shortcut getId Optional  return empty setId this getDisplayLabel locale if null getLanguage cs toString getNameCz setNameCz getNameEn setNameEn getShortcut setShortcut super new Integer
id,hispacta bo Employee Integer id int version String username password firstName lastName Date birthDate Division division title phone email lastLogin lastHost Set roles Boolean active GrantedAuthority authorities,News id author inserted text,0,Employee,News,News.hbm.xml,hispacta\src\main\java\hispacta\bo\Employee.java,hispacta\src\main\java\hispacta\dao\impl\hibernate\mapping\News.hbm.xml,hispacta bo News news id null native author Employee employee inserted text, Employee id version username password firstName lastName birthDate division title phone email lastLogin lastHost roles active authorities getEmailLink Optional  if null length return a href mailto empty getFullName getLastName getFirstName getId setId this getVersion setVersion getDisplayLabel locale toString getDivision setDivision getPhone setPhone getEmail setEmail getTitle setTitle getLastHost setLastHost getLastLogin setLastLogin getRoles setRoles getBirthDate setBirthDate setFirstName setLastName getUsername setUsername login getPassword setPassword getActive setActive isEnabled false booleanValue getAuthorities new GrantedAuthority size Iterator iterator for int i hasNext GrantedAuthorityImpl ROLE String next toUpperCase Integer
id,hispacta tapestry util SelectableItem Integer id String label,News id author inserted text,0,SelectableItem,News,News.hbm.xml,hispacta\src\main\java\hispacta\tapestry\util\SelectableItem.java,hispacta\src\main\java\hispacta\dao\impl\hibernate\mapping\News.hbm.xml,hispacta bo News news id null native author Employee employee inserted text, author Karel Miarka kajism issa cz SelectableItem id label getId Optional  return empty setId this getDisplayLabel locale new Integer
id,hispacta bo Division Integer id String nameCz nameEn shortcut,News id author inserted text,0,Division,News,News.hbm.xml,hispacta\src\main\java\hispacta\bo\Division.java,hispacta\src\main\resources\hispacta\dao\impl\hibernate\mapping\News.hbm.xml,hispacta bo News news id null native author Employee employee inserted text, author miarkak Division id nameCz nameEn shortcut getId Optional  return empty setId this getDisplayLabel locale if null getLanguage cs toString getNameCz setNameCz getNameEn setNameEn getShortcut setShortcut super new Integer
id,hispacta bo Employee Integer id int version String username password firstName lastName Date birthDate Division division title phone email lastLogin lastHost Set roles Boolean active GrantedAuthority authorities,News id author inserted text,0,Employee,News,News.hbm.xml,hispacta\src\main\java\hispacta\bo\Employee.java,hispacta\src\main\resources\hispacta\dao\impl\hibernate\mapping\News.hbm.xml,hispacta bo News news id null native author Employee employee inserted text, Employee id version username password firstName lastName birthDate division title phone email lastLogin lastHost roles active authorities getEmailLink Optional  if null length return a href mailto empty getFullName getLastName getFirstName getId setId this getVersion setVersion getDisplayLabel locale toString getDivision setDivision getPhone setPhone getEmail setEmail getTitle setTitle getLastHost setLastHost getLastLogin setLastLogin getRoles setRoles getBirthDate setBirthDate setFirstName setLastName getUsername setUsername login getPassword setPassword getActive setActive isEnabled false booleanValue getAuthorities new GrantedAuthority size Iterator iterator for int i hasNext GrantedAuthorityImpl ROLE String next toUpperCase Integer
id,hispacta tapestry util SelectableItem Integer id String label,News id author inserted text,0,SelectableItem,News,News.hbm.xml,hispacta\src\main\java\hispacta\tapestry\util\SelectableItem.java,hispacta\src\main\resources\hispacta\dao\impl\hibernate\mapping\News.hbm.xml,hispacta bo News news id null native author Employee employee inserted text, author Karel Miarka kajism issa cz SelectableItem id label getId Optional  return empty setId this getDisplayLabel locale new Integer
