ImportExportUtilities public static final int IMPORT STAT FIELDS,import data verify jsp td class listRowText verifyStatistics ImportExportUtilities IMPORT STAT FIELDS ImportExportUtilities IMPORT STAT REUSED,1
ProjectPTO private Long totalOpenIssues null,list projects jsp c set var totalOpenIssues value project totalOpenIssues totalOpenIssues,1
IssuePTO private boolean userCanViewIssue,portalhome jsp c if test ownedIssue userCanViewIssue,1
FormatIconActionTag private String icon null,portalhome jsp icon edit styleClass fa lg,1
FormatCustomFieldTag private String currentValue,itracker tld the CustomField to format currentValue the current value,1
FormatIconActionTag private String icon null,list issues jsp icon search iconClass fa x,1
FormatIconActionTag private String iconClass null,view issue jsp styleClass moveIssue iconClass fa lg,1
FormatLinkTag private String titleKey null,edit customfield jsp titleKey itracker web admin editcustomfield option orderup alt,1
FormatLinkTag private String titleKey null,list configuration jsp titleKey itracker web admin listconfiguration severity update alt it message,1
IssueAttachment private String originalFileName,list attachments jsp td c out value attachment originalFileName td,1
FormatDateTag private Date date,portalhome jsp it formatDate date createdIssue issue lastModifiedDate,1
FormatIconActionTag private String iconClass null,edit issue jsp icon chevron circle left iconClass fa lg,1
FormatIconActionTag private String iconClass null,list users jsp icon key iconClass fa lg text success,1
ImportExportUtilities public static final int IMPORT STAT REUSED,import data verify jsp td class listRowText verifyStatistics ImportExportUtilities IMPORT STAT PROJECTS ImportExportUtilities IMPORT STAT REUSED,1
FormatIconActionTag private String info null,portalhome jsp info itracker web image edit issue alt,1
IssueActivity private boolean notificationSent false,IssueActivity hbm xml property name notificationSent,1
FormatDateTag private Date date,portalhome jsp date ownedIssue issue lastModifiedDate td,1
FormatIconActionTag private String info null,list attachments jsp info itracker web image export attachments alt,1
SearchForm private String textphrase,search issues form jsp html text property textphrase size styleClass form control,1
FormatLinkTag private String titleKey null,list configuration jsp titleKey itracker web admin listconfiguration resolution orderup alt it message,1
IssueAttachment private String originalFileName,edit issue jsp paramValue attachment id attachment originalFileName,1
FormatIconActionTag private String icon null,list tasks jsp icon edit iconClass fa lg,1
FormatIconActionTag private String iconClass null,list projects jsp icon plus iconClass fa lg,1
FormatIconActionTag private String iconClass null,list reports jsp iconClass fa lg,1
FormatIconActionTag private String icon null,itracker tld name icon name,1
