classifiers,epoch,acc,recall,mcc,precision,F1,auc,total_time,0.961812761,0.836665076,0.87524718,0.962775145,0.895132781,0.914409792
svm,1,0.967741935,0.859872611,0.901621167,0.98540146,0.918367347,0.928232728,0:00:02,0.958855049,0.821629447,0.865288805,0.961993318,0.886083673,0.906890379
svm,2,0.969086022,0.852713178,0.889380106,0.964912281,0.905349794,0.923104557,0:00:02,,,,,,
svm,3,0.954301075,0.844155844,0.857467993,0.928571429,0.884353741,0.913603346,0:00:02,0.983593829,0.964079767,0.947916153,0.952244182,0.957986476,0.976201974
svm,4,0.952956989,0.806451613,0.853395204,0.961538462,0.877192982,0.898981324,0:00:02,0.983862646,0.963399495,0.9487614,0.954275891,0.958671083,0.976110689
svm,5,0.958333333,0.815602837,0.860252898,0.958333333,0.881226054,0.903655481,0:00:02,,,,,,
svm,6,0.961021505,0.828025478,0.88076324,0.984848485,0.899653979,0.912309161,0:00:03,0.990587418,0.959815201,0.970087328,0.992203952,0.975632731,0.978990902
svm,7,0.967741935,0.843537415,0.896574951,0.992,0.911764706,0.920931187,0:00:02,0.99004906,0.956933977,0.968253401,0.992086884,0.974099599,0.9775522
svm,8,0.963660834,0.835820896,0.873588791,0.957264957,0.892430279,0.913805357,0:00:02,,,,,,
svm,9,0.962314939,0.828358209,0.868741415,0.956896552,0.888,0.910074014,0:00:02,0.979158164,0.940834754,0.933569641,0.952306218,0.94631957,0.964643382
svm,10,0.960969044,0.852112676,0.870686038,0.937984496,0.89298893,0.919400764,0:00:02,0.979561028,0.940871898,0.934821435,0.954288685,0.947263905,0.964916111
knn,1,0.991935484,0.98089172,0.975780987,0.98089172,0.98089172,0.987890494,0:00:00,,,,,,
knn,2,0.987903226,0.968992248,0.957938537,0.961538462,0.965250965,0.980431083,0:00:00,,,,,,
knn,3,0.981182796,0.974025974,0.943771264,0.9375,0.955414013,0.978538411,0:00:00,,,,,,
knn,4,0.981182796,0.961290323,0.943255089,0.949044586,0.955128205,0.97385399,0:00:00,,,,,,
knn,5,0.987903226,0.957446809,0.960382926,0.97826087,0.967741935,0.976235842,0:00:00,,,,,,
knn,6,0.981182796,0.949044586,0.943255089,0.961290323,0.955128205,0.96941156,0:00:00,,,,,,
knn,7,0.98655914,0.965986395,0.957611185,0.965986395,0.965986395,0.978805593,0:00:00,,,,,,
knn,8,0.98115747,0.962686567,0.937152168,0.934782609,0.948529412,0.973954121,0:00:00,,,,,,
knn,9,0.974427995,0.962686567,0.916443579,0.902097902,0.931407942,0.969849031,0:00:00,,,,,,
knn,10,0.982503365,0.957746479,0.943570709,0.951048951,0.954385965,0.973049612,0:00:00,,,,,,
rf,1,0.989247312,0.949044586,0.96761786,1,0.973856209,0.974522293,0:00:00,,,,,,
rf,2,0.997311828,0.984496124,0.990608343,1,0.9921875,0.992248062,0:00:00,,,,,,
rf,3,0.990591398,0.980519481,0.971417225,0.974193548,0.977346278,0.98686991,0:00:00,,,,,,
rf,4,0.990591398,0.95483871,0.971403192,1,0.97689769,0.977419355,0:00:00,,,,,,
rf,5,0.990591398,0.957446809,0.969189587,0.992647059,0.974729242,0.977894217,0:00:00,,,,,,
rf,6,0.98655914,0.936305732,0.959490604,1,0.967105263,0.968152866,0:00:00,,,,,,
rf,7,0.990591398,0.952380952,0.970228543,1,0.975609756,0.976190476,0:00:00,,,,,,
rf,8,0.990578735,0.955223881,0.967921148,0.992248062,0.97338403,0.976790922,0:00:00,,,,,,
rf,9,0.990578735,0.970149254,0.968050548,0.977443609,0.973782772,0.982611573,0:00:00,,,,,,
rf,10,0.98923284,0.957746479,0.96494623,0.985507246,0.971428571,0.977209346,0:00:00,,,,,,
dt,1,0.974462366,0.936305732,0.923134677,0.942307692,0.939297125,0.960486767,0:00:00,,,,,,
dt,2,0.987903226,0.96124031,0.957680142,0.96875,0.964980545,0.977368123,0:00:00,,,,,,
dt,3,0.982526882,0.987012987,0.948517482,0.932515337,0.958990536,0.98418446,0:00:00,,,,,,
dt,4,0.975806452,0.935483871,0.926336071,0.947712418,0.941558442,0.960950764,0:00:00,,,,,,
dt,5,0.977150538,0.936170213,0.925426398,0.942857143,0.939501779,0.961451607,0:00:00,,,,,,
dt,6,0.975806452,0.910828025,0.92639897,0.972789116,0.940789474,0.952006858,0:00:00,,,,,,
dt,7,0.981182796,0.931972789,0.940042161,0.971631206,0.951388889,0.962636311,0:00:00,,,,,,
dt,8,0.97846568,0.940298507,0.927162218,0.940298507,0.940298507,0.963581109,0:00:00,,,,,,
dt,9,0.97846568,0.925373134,0.926461558,0.953846154,0.939393939,0.957760459,0:00:00,,,,,,
dt,10,0.979811575,0.943661972,0.934536733,0.95035461,0.946996466,0.966007359,0:00:00,,,,,,
svm,1,0.962365591,0.847133758,0.884623888,0.97080292,0.904761905,0.920159724,0:00:03,,,,,,
svm,2,0.969086022,0.852713178,0.889380106,0.964912281,0.905349794,0.923104557,0:00:03,,,,,,
svm,3,0.948924731,0.811688312,0.839689808,0.932835821,0.868055556,0.898217037,0:00:02,,,,,,
svm,4,0.955645161,0.8,0.862554797,0.984126984,0.882562278,0.898302207,0:00:03,,,,,,
svm,5,0.952956989,0.780141844,0.84160928,0.964912281,0.862745098,0.886754172,0:00:02,,,,,,
svm,6,0.955645161,0.815286624,0.863517916,0.96969697,0.885813149,0.904236157,0:00:03,,,,,,
svm,7,0.962365591,0.829931973,0.878517487,0.976,0.897058824,0.912453424,0:00:03,,,,,,
svm,8,0.962314939,0.828358209,0.868741415,0.956896552,0.888,0.910074014,0:00:03,,,,,,
svm,9,0.956931359,0.805970149,0.849299178,0.947368421,0.870967742,0.898058966,0:00:03,,,,,,
svm,10,0.962314939,0.845070423,0.874954177,0.952380952,0.895522388,0.917543531,0:00:03,,,,,,
knn,1,0.99327957,0.98089172,0.979778314,0.987179487,0.984025559,0.988742282,0:00:00,,,,,,
knn,2,0.989247312,0.968992248,0.962488183,0.968992248,0.968992248,0.981244092,0:00:00,,,,,,
knn,3,0.983870968,0.974025974,0.951461687,0.949367089,0.961538462,0.980233326,0:00:00,,,,,,
knn,4,0.978494624,0.961290323,0.935540711,0.937106918,0.949044586,0.972156197,0:00:00,,,,,,
knn,5,0.987903226,0.957446809,0.960382926,0.97826087,0.967741935,0.976235842,0:00:00,,,,,,
knn,6,0.981182796,0.949044586,0.943255089,0.961290323,0.955128205,0.96941156,0:00:00,,,,,,
knn,7,0.98655914,0.959183673,0.957427471,0.972413793,0.965753425,0.976241753,0:00:00,,,,,,
knn,8,0.982503365,0.962686567,0.941417821,0.941605839,0.95202952,0.974775139,0:00:00,,,,,,
knn,9,0.974427995,0.962686567,0.916443579,0.902097902,0.931407942,0.969849031,0:00:00,,,,,,
knn,10,0.98115747,0.957746479,0.939418214,0.944444444,0.951048951,0.972217665,0:00:00,,,,,,
rf,1,0.989247312,0.949044586,0.96761786,1,0.973856209,0.974522293,0:00:01,,,,,,
rf,2,0.997311828,0.984496124,0.990608343,1,0.9921875,0.992248062,0:00:01,,,,,,
rf,3,0.989247312,0.974025974,0.967246313,0.974025974,0.974025974,0.983623157,0:00:01,,,,,,
rf,4,0.991935484,0.961290323,0.975498149,1,0.980263158,0.980645161,0:00:01,,,,,,
rf,5,0.991935484,0.957446809,0.97366002,1,0.97826087,0.978723404,0:00:01,,,,,,
rf,6,0.98655914,0.936305732,0.959490604,1,0.967105263,0.968152866,0:00:01,,,,,,
rf,7,0.989247312,0.945578231,0.965957927,1,0.972027972,0.972789116,0:00:01,,,,,,
rf,8,0.98654105,0.947761194,0.954102135,0.976923077,0.962121212,0.971417543,0:00:01,,,,,,
rf,9,0.98923284,0.962686567,0.963408288,0.977272727,0.969924812,0.978880229,0:00:01,,,,,,
rf,10,0.98923284,0.950704225,0.964944373,0.992647059,0.971223022,0.974520166,0:00:01,,,,,,
dt,1,0.974462366,0.936305732,0.923134677,0.942307692,0.939297125,0.960486767,0:00:00,,,,,,
dt,2,0.990591398,0.968992248,0.967087013,0.9765625,0.972762646,0.9820571,0:00:00,,,,,,
dt,3,0.982526882,0.987012987,0.948517482,0.932515337,0.958990536,0.98418446,0:00:00,,,,,,
dt,4,0.97983871,0.941935484,0.938511626,0.960526316,0.951140065,0.965874363,0:00:00,,,,,,
dt,5,0.977150538,0.936170213,0.925426398,0.942857143,0.939501779,0.961451607,0:00:00,,,,,,
dt,6,0.975806452,0.904458599,0.926401337,0.979310345,0.940397351,0.949673933,0:00:00,,,,,,
dt,7,0.981182796,0.931972789,0.940042161,0.971631206,0.951388889,0.962636311,0:00:00,,,,,,
dt,8,0.977119785,0.940298507,0.922843941,0.933333333,0.936802974,0.962760091,0:00:00,,,,,,
dt,9,0.977119785,0.917910448,0.921712981,0.953488372,0.935361217,0.954029116,0:00:00,,,,,,
dt,10,0.979811575,0.943661972,0.934536733,0.95035461,0.946996466,0.966007359,0:00:00,,,,,,
