dateFormat,2,CustomField::itracker\\itracker-persistence\\src\\main\\java\\org\\itracker\\model\\CustomField.java::private String dateFormat;,CustomFieldForm::itracker\\itracker-web\\src\\main\\java\\org\\itracker\\web\\forms\\CustomFieldForm.java::String dateFormat = null;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
owners,2,Project::itracker\\itracker-persistence\\src\\main\\java\\org\\itracker\\model\\Project.java::private List<User> owners = new ArrayList<User>();,ProjectForm::itracker\\itracker-web\\src\\main\\java\\org\\itracker\\web\\forms\\ProjectForm.java::private Integer[] owners;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
numItemsOnIndex,2,UserPreferences::itracker\\itracker-persistence\\src\\main\\java\\org\\itracker\\model\\UserPreferences.java::private int numItemsOnIndex = 0; // all,UserForm::itracker\\itracker-web\\src\\main\\java\\org\\itracker\\web\\forms\\UserForm.java::private String numItemsOnIndex = null;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resolution,4,Issue::itracker\\itracker-persistence\\src\\main\\java\\org\\itracker\\model\\Issue.java::private String resolution;,IssueSearchQuery::itracker\\itracker-persistence\\src\\main\\java\\org\\itracker\\model\\IssueSearchQuery.java::private String resolution = null;,IssueForm::itracker\\itracker-web\\src\\main\\java\\org\\itracker\\web\\forms\\IssueForm.java::private String resolution = null;,SearchForm::itracker\\itracker-web\\src\\main\\java\\org\\itracker\\web\\forms\\SearchForm.java::private String resolution;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
issueHistoryDAO,3,IssueHistoryDAOImplIT::itracker\\itracker-persistence\\src\\test\\java\\org\\itracker\\persistence\\dao\\IssueHistoryDAOImplIT.java::private IssueHistoryDAO issueHistoryDAO;,IssueServiceImpl::itracker\\itracker-services\\src\\main\\java\\org\\itracker\\services\\implementations\\IssueServiceImpl.java::private IssueHistoryDAO issueHistoryDAO;,IssueServiceIT::itracker\\itracker-services\\src\\test\\java\\org\\itracker\\services\\IssueServiceIT.java::private IssueHistoryDAO issueHistoryDAO;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
version,2,Configuration::itracker\\itracker-persistence\\src\\main\\java\\org\\itracker\\model\\Configuration.java::private String version;,SystemConfiguration::itracker\\itracker-persistence\\src\\main\\java\\org\\itracker\\model\\SystemConfiguration.java::private String version;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
applicationPath,2,AbstractSeleniumTestCase::itracker\\itracker-web\\src\\test\\java\\org\\itracker\\selenium\\AbstractSeleniumTestCase.java::protected String applicationPath;,SeleniumManager::itracker\\itracker-web\\src\\test\\java\\org\\itracker\\selenium\\SeleniumManager.java::private static String applicationPath;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
attachments,2,Issue::itracker\\itracker-persistence\\src\\main\\java\\org\\itracker\\model\\Issue.java::private List<IssueAttachment> attachments = new ArrayList<IssueAttachment>();,ListAttachmentsPTO::itracker\\itracker-web\\src\\main\\java\\org\\itracker\\web\\ptos\\ListAttachmentsPTO.java::List<IssueAttachment> attachments = new ArrayList<IssueAttachment>();,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
targetVersion,4,Issue::itracker\\itracker-persistence\\src\\main\\java\\org\\itracker\\model\\Issue.java::private Version targetVersion;,IssueSearchQuery::itracker\\itracker-persistence\\src\\main\\java\\org\\itracker\\model\\IssueSearchQuery.java::private Integer targetVersion = null;,IssueForm::itracker\\itracker-web\\src\\main\\java\\org\\itracker\\web\\forms\\IssueForm.java::private Integer targetVersion = null;,SearchForm::itracker\\itracker-web\\src\\main\\java\\org\\itracker\\web\\forms\\SearchForm.java::private Integer targetVersion;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
issueRelationDAO,3,IssueRelationDAOImplIT::itracker\\itracker-persistence\\src\\test\\java\\org\\itracker\\persistence\\dao\\IssueRelationDAOImplIT.java::private IssueRelationDAO issueRelationDAO;,IssueServiceImpl::itracker\\itracker-services\\src\\main\\java\\org\\itracker\\services\\implementations\\IssueServiceImpl.java::private IssueRelationDAO issueRelationDAO;,IssueServiceIT::itracker\\itracker-services\\src\\test\\java\\org\\itracker\\services\\IssueServiceIT.java::private IssueRelationDAO issueRelationDAO;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SYSTEM_ERROR,2,PasswordException::itracker\\itracker-core\\src\\main\\java\\org\\itracker\\PasswordException.java::public static final int SYSTEM_ERROR = -6;,AuthenticatorException::itracker\\itracker-services\\src\\main\\java\\org\\itracker\\services\\exceptions\\AuthenticatorException.java::public static final int SYSTEM_ERROR = -5;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iss,7,IssueActivityTest::itracker\\itracker-persistence\\src\\test\\java\\org\\itracker\\model\\IssueActivityTest.java::private IssueActivity iss;,IssueAttachmentTest::itracker\\itracker-persistence\\src\\test\\java\\org\\itracker\\model\\IssueAttachmentTest.java::private IssueAttachment iss;,IssueFieldTest::itracker\\itracker-persistence\\src\\test\\java\\org\\itracker\\model\\IssueFieldTest.java::private IssueField iss;,IssueHistoryTest::itracker\\itracker-persistence\\src\\test\\java\\org\\itracker\\model\\IssueHistoryTest.java::private IssueHistory iss;,IssueRelationTest::itracker\\itracker-persistence\\src\\test\\java\\org\\itracker\\model\\IssueRelationTest.java::private IssueRelation iss;,IssueSearchQueryTest::itracker\\itracker-persistence\\src\\test\\java\\org\\itracker\\model\\IssueSearchQueryTest.java::private IssueSearchQuery iss;,IssueTest::itracker\\itracker-persistence\\src\\test\\java\\org\\itracker\\model\\IssueTest.java::private Issue iss;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAGE_TITLE_KEY,3,"MoveIssueAction::itracker\\itracker-web\\src\\main\\java\\org\\itracker\\web\\actions\\project\\MoveIssueAction.java::private static final String PAGE_TITLE_KEY = ""itracker.web.moveissue.title"";","MoveIssueFormAction::itracker\\itracker-web\\src\\main\\java\\org\\itracker\\web\\actions\\project\\MoveIssueFormAction.java::private static final String PAGE_TITLE_KEY = ""itracker.web.moveissue.title"";","Constants::itracker\\itracker-web\\src\\main\\java\\org\\itracker\\web\\util\\Constants.java::public static final String PAGE_TITLE_KEY = ""pageTitleKey"";",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
optionreuseusers,2,AdminActionForm::itracker\\itracker-web\\src\\main\\java\\org\\itracker\\web\\forms\\AdminActionForm.java::private Boolean optionreuseusers;,ImportForm::itracker\\itracker-web\\src\\main\\java\\org\\itracker\\web\\forms\\ImportForm.java::private Boolean optionreuseusers;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
userLocale,2,UserPreferences::itracker\\itracker-persistence\\src\\main\\java\\org\\itracker\\model\\UserPreferences.java::private String userLocale = ITrackerResources.getDefaultLocale();,UserForm::itracker\\itracker-web\\src\\main\\java\\org\\itracker\\web\\forms\\UserForm.java::private String userLocale = null;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
customField,2,CustomFieldValue::itracker\\itracker-persistence\\src\\main\\java\\org\\itracker\\model\\CustomFieldValue.java::private CustomField customField;,IssueField::itracker\\itracker-persistence\\src\\main\\java\\org\\itracker\\model\\IssueField.java::private CustomField customField;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arg0,4,FormatIconActionTag::itracker\\itracker-web\\src\\main\\java\\org\\itracker\\web\\taglib\\FormatIconActionTag.java::private String arg0 = null;,FormatImageActionTag::itracker\\itracker-web\\src\\main\\java\\org\\itracker\\web\\taglib\\FormatImageActionTag.java::private String arg0 = null;,FormatLinkTag::itracker\\itracker-web\\src\\main\\java\\org\\itracker\\web\\taglib\\FormatLinkTag.java::private String arg0 = null;,FormatMessageTag::itracker\\itracker-web\\src\\main\\java\\org\\itracker\\web\\taglib\\FormatMessageTag.java::private String arg0 = null;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
projectId,9,IssueSearchQuery::itracker\\itracker-persistence\\src\\main\\java\\org\\itracker\\model\\IssueSearchQuery.java::private Integer projectId = -1;,AssignIssueForm::itracker\\itracker-web\\src\\main\\java\\org\\itracker\\web\\forms\\AssignIssueForm.java::String projectId;,ComponentForm::itracker\\itracker-web\\src\\main\\java\\org\\itracker\\web\\forms\\ComponentForm.java::Integer projectId;,IssueForm::itracker\\itracker-web\\src\\main\\java\\org\\itracker\\web\\forms\\IssueForm.java::private Integer projectId = null;,MoveIssueForm::itracker\\itracker-web\\src\\main\\java\\org\\itracker\\web\\forms\\MoveIssueForm.java::private Integer projectId;,ProjectScriptForm::itracker\\itracker-web\\src\\main\\java\\org\\itracker\\web\\forms\\ProjectScriptForm.java::private  Integer projectId;,VersionForm::itracker\\itracker-web\\src\\main\\java\\org\\itracker\\web\\forms\\VersionForm.java::Integer projectId;,MailNotification::itracker\\itracker-web\\src\\main\\java\\org\\itracker\\web\\scheduler\\tasks\\MailNotification.java::private String projectId;,FormatPaginationLinkTag::itracker\\itracker-web\\src\\main\\java\\org\\itracker\\web\\taglib\\FormatPaginationLinkTag.java::private Integer projectId = null;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
locale,6,Language::itracker\\itracker-persistence\\src\\main\\java\\org\\itracker\\model\\Language.java::private String locale;,CustomFieldByNameComparator::itracker\\itracker-persistence\\src\\main\\java\\org\\itracker\\model\\util\\CustomFieldUtilities.java::private final Locale locale;,CustomFieldValueByNameComparator::itracker\\itracker-persistence\\src\\main\\java\\org\\itracker\\model\\util\\CustomFieldUtilities.java::private final Locale locale;,LanguageForm::itracker\\itracker-web\\src\\main\\java\\org\\itracker\\web\\forms\\LanguageForm.java::private String locale = null;,ProjectScriptPTO::itracker\\itracker-web\\src\\main\\java\\org\\itracker\\web\\ptos\\ProjectScriptPTO.java::private final Locale locale;,FormatMessageTag::itracker\\itracker-web\\src\\main\\java\\org\\itracker\\web\\taglib\\FormatMessageTag.java::private String locale = null;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
