javaclassnum,fieldsprob,fieldsavg,fieldssum
0,0.5,3.625,29
0,0.5,3.625,29
0,0.5,1.5,12
0,0.375,1.75,14
0,0.375,2.875,23
1,1.0,31.75,254
1,1.0,59.0,236
1,0.6,25.4,254
0,0.2857142857142857,1.2142857142857142,17
0,0.5,1.5714285714285714,22
1,0.7857142857142857,17.714285714285715,248
0,0.6,1.8,9
2,1.0,26.333333333333332,79
3,0.5714285714285714,11.428571428571429,80
2,1.0,26.666666666666668,80
1,1.0,59.0,236
0,0.9736842105263158,3.789473684210526,144
0,0.9736842105263158,3.789473684210526,144
1,1.0,31.75,254
1,1.0,27.0,54
2,1.0,14.5,58
1,0.7857142857142857,17.714285714285715,248
1,0.6,25.4,254
2,1.0,14.0,56
0,1.0,8.0,8
0,1.0,8.0,8
1,0.8333333333333334,2.0,12
1,0.6666666666666666,1.3333333333333333,4
0,1.0,1.5,3
0,1.0,1.5,3
3,0.5714285714285714,11.428571428571429,80
2,1.0,26.666666666666668,80
1,1.0,31.75,254
1,0.7857142857142857,17.714285714285715,248
3,1.0,7.25,29
2,1.0,26.333333333333332,79
1,1.0,59.0,236
1,0.6,25.4,254
3,0.8571428571428571,4.714285714285714,33
0,0.9736842105263158,3.789473684210526,144
0,0.9736842105263158,3.789473684210526,144
1,1.0,31.75,254
1,0.6,25.4,254
1,0.875,2.375,19
0,1.0,1.6,8
1,0.875,2.625,21
0,1.0,1.5,3
0,1.0,1.5,3
1,0.6666666666666666,1.3333333333333333,4
0,0.3333333333333333,0.3333333333333333,2
0,0.4,0.6,3
2,1.0,14.5,58
3,0.8571428571428571,4.714285714285714,33
2,1.0,26.666666666666668,80
2,1.0,14.5,58
0,0.2,0.2,1
0,0.2,0.4,2
0,0.2,2.0,10
0,0.6,1.0,5
0,0.4,2.9,29
0,0.2,3.5,35
0,0.2,3.5,35
0,0.23684210526315788,1.4210526315789473,54
0,0.9736842105263158,3.789473684210526,144
0,0.9736842105263158,3.789473684210526,144
0,0.23684210526315788,1.4210526315789473,54
0,0.09090909090909091,0.09090909090909091,1
0,0.18181818181818182,0.18181818181818182,2
1,0.875,2.375,19
1,0.875,2.625,21
1,0.7857142857142857,17.714285714285715,248
0,0.75,1.75,7
0,1.0,1.6,8
0,0.6666666666666666,1.8333333333333333,11
1,0.6,25.4,254
1,1.0,59.0,236
0,0.5,1.5,12
0,0.75,2.25,18
1,1.0,31.75,254
1,0.7857142857142857,17.714285714285715,248
0,0.9736842105263158,3.789473684210526,144
0,0.9736842105263158,3.789473684210526,144
1,0.6,25.4,254
0,0.5,1.0,4
3,1.0,7.25,29
0,0.75,1.5,6
0,1.0,2.0,6
0,0.3333333333333333,0.6666666666666666,2
0,0.6,1.0,5
0,1.0,3.0,15
3,0.8,2.4,12
0,0.9736842105263158,3.789473684210526,144
0,0.5714285714285714,2.2857142857142856,32
0,0.5,1.5714285714285714,22
0,0.2857142857142857,1.2142857142857142,17
1,0.7857142857142857,17.714285714285715,248
0,1.0,1.6,8
0,0.75,1.75,7
0,0.5,1.5,12
0,0.5,3.625,29
1,1.0,31.75,254
0,0.75,2.25,18
0,0.375,2.875,23
0,0.375,1.75,14
0,0.5,2.5,20
0,0.25,1.25,10
0,0.05263157894736842,0.8157894736842105,31
0,0.9736842105263158,3.789473684210526,144
0,0.6,1.0,5
0,1.0,3.0,15
3,0.8,2.4,12
1,0.875,2.625,21
1,0.875,2.375,19
0,1.0,2.0,6
0,1.0,2.0,6
0,1.0,3.0,15
0,1.0,3.0,15
0,1.0,3.0,15
0,0.2,0.4,2
0,0.4,1.0,5
0,0.2,0.4,2
3,0.8,2.4,12
0,1.0,3.0,15
0,0.23684210526315788,1.4210526315789473,54
0,0.9736842105263158,3.789473684210526,144
0,0.4,3.6,36
0,1.0,3.0,15
3,0.8,2.4,12
0,0.23684210526315788,1.4210526315789473,54
0,0.9736842105263158,3.789473684210526,144
0,0.6666666666666666,1.8333333333333333,11
0,0.15789473684210525,0.631578947368421,24
0,0.13157894736842105,0.42105263157894735,16
2,0.6428571428571429,1.2857142857142858,18
0,0.5,0.5,1
0,0.6666666666666666,0.6666666666666666,2
0,0.5,1.0,4
2,1.0,14.5,58
0,0.5,0.5,2
2,1.0,14.0,56
1,1.0,31.75,254
1,0.7857142857142857,17.714285714285715,248
1,0.8333333333333334,2.0,12
0,0.2857142857142857,0.5714285714285714,4
0,0.2857142857142857,0.42857142857142855,3
1,0.8333333333333334,2.0,12
1,0.875,2.375,19
1,0.875,2.625,21
1,0.875,2.625,21
1,0.875,2.375,19
2,0.6428571428571429,1.2857142857142858,18
3,0.8571428571428571,4.714285714285714,33
1,0.8333333333333334,2.0,12
0,0.2857142857142857,0.5714285714285714,4
0,0.16666666666666666,0.3333333333333333,2
0,0.75,7.0,28
0,0.21428571428571427,2.0,28
0,0.3333333333333333,0.6666666666666666,2
0,0.2857142857142857,0.5714285714285714,4
0,0.16666666666666666,0.3333333333333333,2
0,0.75,7.0,28
0,0.21428571428571427,2.0,28
0,0.3333333333333333,0.6666666666666666,2
0,0.14285714285714285,0.2857142857142857,2
0,0.2,0.4,2
0,0.3,1.1,11
0,0.3333333333333333,0.6666666666666666,4
0,0.75,2.75,11
0,0.14285714285714285,0.6428571428571429,9
0,0.3333333333333333,0.6666666666666666,2
0,0.14285714285714285,0.14285714285714285,1
0,0.2,0.2,1
0,0.2,1.3,13
0,0.16666666666666666,0.16666666666666666,1
0,0.5,3.25,13
0,0.14285714285714285,0.9285714285714286,13
0,0.3333333333333333,0.3333333333333333,1
0,0.14285714285714285,0.14285714285714285,1
0,0.2,0.2,1
0,0.2,2.2,22
0,0.16666666666666666,0.16666666666666666,1
0,0.5,5.5,22
0,0.14285714285714285,1.5714285714285714,22
0,0.3333333333333333,0.3333333333333333,1
0,0.14285714285714285,21.714285714285715,152
0,0.2,30.4,152
0,0.3333333333333333,26.333333333333332,158
0,0.3333333333333333,50.666666666666664,152
0,0.14285714285714285,21.714285714285715,152
0,0.2,30.4,152
0,0.3333333333333333,26.333333333333332,158
0,0.3333333333333333,50.666666666666664,152
0,0.14285714285714285,21.714285714285715,152
0,0.2,30.4,152
0,0.3333333333333333,26.333333333333332,158
0,0.3333333333333333,50.666666666666664,152
0,0.2857142857142857,0.2857142857142857,2
0,0.4,0.4,2
0,0.3,1.4,14
0,0.16666666666666666,0.16666666666666666,1
0,0.375,1.75,14
0,0.75,3.5,14
0,0.3333333333333333,0.3333333333333333,1
0,0.14285714285714285,0.14285714285714285,1
0,0.2,0.2,1
0,0.3,1.4,14
0,0.16666666666666666,0.16666666666666666,1
0,0.375,1.75,14
0,0.75,3.5,14
0,0.3333333333333333,0.3333333333333333,1
0,0.14285714285714285,21.714285714285715,152
0,0.2,30.4,152
0,0.3333333333333333,26.333333333333332,158
0,0.3333333333333333,50.666666666666664,152
0,0.42857142857142855,1.1428571428571428,8
0,0.3,2.0,20
0,0.16666666666666666,0.16666666666666666,1
0,0.375,2.5,20
0,0.75,5.0,20
0,0.21428571428571427,1.4285714285714286,20
0,0.3333333333333333,0.3333333333333333,1
0,0.09090909090909091,0.7272727272727273,8
0,0.16666666666666666,1.3333333333333333,8
0,0.25,2.0,8
0,0.5,4.0,8
0,0.09090909090909091,0.7272727272727273,8
0,0.16666666666666666,1.3333333333333333,8
0,0.25,2.0,8
0,0.5,4.0,8
0,0.36363636363636365,0.8181818181818182,9
0,1.0,4.0,4
0,0.25,1.0,4
0,1.0,2.5,5
0,0.2222222222222222,1.1111111111111112,10
0,0.16666666666666666,0.3333333333333333,2
0,1.0,2.0,4
0,1.0,2.0,4
0,0.6666666666666666,1.0,3
0,0.3333333333333333,0.4444444444444444,4
0,0.16666666666666666,0.3333333333333333,2
0,0.6666666666666666,1.0,3
0,0.3333333333333333,0.4444444444444444,4
0,0.16666666666666666,0.3333333333333333,2
0,0.6666666666666666,9.0,27
0,1.0,9.333333333333334,28
0,0.6666666666666666,9.0,27
0,1.0,9.333333333333334,28
0,0.6666666666666666,9.0,27
0,1.0,9.333333333333334,28
0,0.6666666666666666,9.0,27
0,1.0,9.333333333333334,28
0,0.6666666666666666,9.0,27
0,1.0,9.333333333333334,28
0,0.6666666666666666,9.0,27
0,1.0,9.333333333333334,28
0,0.6666666666666666,9.0,27
0,1.0,9.333333333333334,28
0,0.6666666666666666,9.0,27
0,1.0,9.333333333333334,28
0,0.6666666666666666,9.0,27
0,1.0,9.333333333333334,28
0,0.25,3.25,13
0,0.25,3.25,13
0,0.25,3.25,13
0,0.25,3.25,13
0,0.25,3.25,13
0,0.25,3.25,13
0,0.25,3.25,13
0,0.25,3.25,13
0,0.2857142857142857,1.0,7
0,0.4,1.6,8
0,0.25,0.375,3
0,0.25,0.375,3
0,0.14285714285714285,0.14285714285714285,1
0,0.2857142857142857,1.0,7
0,0.4,1.6,8
0,0.6666666666666666,1.0,3
0,0.6666666666666666,1.0,3
0,1.0,2.0,4
0,1.0,2.0,4
0,0.6,1.8,9
0,0.16666666666666666,0.16666666666666666,1
0,0.1875,0.5625,9
0,0.3333333333333333,15.555555555555555,140
0,0.25,0.5,2
0,1.0,2.0,2
0,0.42857142857142855,0.7142857142857143,5
0,0.3333333333333333,0.5,3
0,1.0,9.333333333333334,28
0,0.6,2.2,11
0,0.5,0.75,3
0,1.0,1.5,3
0,1.0,1.25,5
0,0.5,0.75,3
0,0.42857142857142855,0.7142857142857143,5
0,0.1875,0.5625,9
0,0.3333333333333333,15.555555555555555,140
0,0.25,0.5,2
0,1.0,2.0,2
0,0.42857142857142855,0.7142857142857143,5
