item,ItemItem::jtrac\\jtrac\\src\\main\\java\\info\\jtrac\\domain\\ItemItem.java::private Item item;,1,"jtrac\jtrac\src\main\resources\jtrac.hbm.xml::jtrac.hbm.xml::<many-to-one name=""item"" column=""item_id"" not-null=""true""/>::92",,,
column,ExcelImportColumnPage::jtrac\\jtrac\\src\\main\\java\\info\\jtrac\\wicket\\ExcelImportColumnPage.java::private Column column;,1,"jtrac\jtrac\src\main\java\info\jtrac\wicket\ExcelImportColumnPage.html::ExcelImportColumnPage.html::<select wicket:id=""column""/>::6",,,
form,SvnStatsPage::jtrac\\jtrac\\src\\main\\java\\info\\jtrac\\wicket\\SvnStatsPage.java::private Form form;,1,"jtrac\jtrac\src\main\java\info\jtrac\wicket\SvnStatsPage.html::SvnStatsPage.html::<form wicket:id=""form"">::5",,,
locale,User::jtrac\\jtrac\\src\\main\\java\\info\\jtrac\\domain\\User.java::private String locale;,3,"jtrac\jtrac\src\main\java\info\jtrac\wicket\UserFormPage.html::UserFormPage.html::<select wicket:id=""user.locale""/>::47","jtrac\jtrac\src\main\resources\jtrac.hbm.xml::jtrac.hbm.xml::<property name=""locale"" column=""locale"" length=""20""/>::166","jtrac\jtrac\src\main\java\info\jtrac\wicket\UserListPage.html::UserListPage.html::<td wicket:id=""locale""></td>::26",
action,ExcelImportPage::jtrac\\jtrac\\src\\main\\java\\info\\jtrac\\wicket\\ExcelImportPage.java::private int action;,1,"jtrac\jtrac\src\main\java\info\jtrac\wicket\ExcelImportPage.html::ExcelImportPage.html::<select wicket:id=""action""/>::16",,,
heading,YuiDialog::jtrac\\jtrac\\src\\main\\java\\info\\jtrac\\wicket\\yui\\YuiDialog.java::private String heading;,1,"jtrac\jtrac\src\main\java\info\jtrac\wicket\yui\YuiDialog.html::YuiDialog.html::<div class=""hd"" wicket:id=""heading""></div>::13",,,
hide,"SvnStatsPage::jtrac\\jtrac\\src\\main\\java\\info\\jtrac\\wicket\\SvnStatsPage.java::private WebMarkupContainer hide = new WebMarkupContainer(""hide"");",1,"jtrac\jtrac\src\main\java\info\jtrac\wicket\SvnStatsPage.html::SvnStatsPage.html::<table class=""bdr-collapse"" wicket:id=""hide"">::26",,,
roles,Metadata::jtrac\\jtrac\\src\\main\\java\\info\\jtrac\\domain\\Metadata.java::private Map<String* Role> roles;,1,"jtrac\jtrac\src\main\java\info\jtrac\wicket\SpacePermissionsPage.html::SpacePermissionsPage.html::<tr wicket:id=""roles"">::42",,,
options,Field::jtrac\\jtrac\\src\\main\\java\\info\\jtrac\\domain\\Field.java::private Map<String* String> options;,2,"jtrac\jtrac\src\main\java\info\jtrac\wicket\SpaceFieldListPage.html::SpaceFieldListPage.html::<span wicket:id=""options"">::27","jtrac\jtrac\src\main\java\info\jtrac\wicket\SpaceFieldFormPage.html::SpaceFieldFormPage.html::<tr wicket:id=""options"">::31",,
history,Item::jtrac\\jtrac\\src\\main\\java\\info\\jtrac\\domain\\Item.java::private Set<History> history;,2,"jtrac\jtrac\src\main\resources\jtrac.hbm.xml::jtrac.hbm.xml::<set name=""history"" order-by=""id"" cascade=""all"" inverse=""true"">::25","jtrac\jtrac\src\main\java\info\jtrac\wicket\ItemViewPanel.html::ItemViewPanel.html::<tr wicket:id=""history"" valign=""top"">::58",,
attachments,Item::jtrac\\jtrac\\src\\main\\java\\info\\jtrac\\domain\\Item.java::private Set<Attachment> attachments;,1,"jtrac\jtrac\src\main\resources\jtrac.hbm.xml::jtrac.hbm.xml::<set name=""attachments"" cascade=""all"" inverse=""true"">::45",,,
visible,ColumnHeading::jtrac\\jtrac\\src\\main\\java\\info\\jtrac\\domain\\ColumnHeading.java::private boolean visible = true;,1,"jtrac\jtrac\src\main\java\info\jtrac\wicket\ItemSearchFormPanel.html::ItemSearchFormPanel.html::<input type=""checkbox"" wicket:id=""visible""/>::31",,,
container,YuiCalendar::jtrac\\jtrac\\src\\main\\java\\info\\jtrac\\wicket\\yui\\YuiCalendar.java::private WebMarkupContainer container;,1,"jtrac\jtrac\src\main\java\info\jtrac\wicket\yui\YuiCalendar.html::YuiCalendar.html::<div wicket:id=""container"" style=""display:none;position:absolute""></div>::4",,,
rows,ExcelFile::jtrac\\jtrac\\src\\main\\java\\info\\jtrac\\domain\\ExcelFile.java::private List<List<Cell>> rows;,3,"jtrac\jtrac\src\main\java\info\jtrac\wicket\ExcelImportColumnPage.html::ExcelImportColumnPage.html::<tr wicket:id=""rows"">::43","jtrac\jtrac\src\main\java\info\jtrac\wicket\ExcelImportColumnPage.html::ExcelImportColumnPage.html::<tr wicket:id=""rows"">::29","jtrac\jtrac\src\main\java\info\jtrac\wicket\ExcelImportPage.html::ExcelImportPage.html::<tr wicket:id=""rows"">::34",
locked,User::jtrac\\jtrac\\src\\main\\java\\info\\jtrac\\domain\\User.java::private boolean locked;,4,"jtrac\jtrac\src\main\java\info\jtrac\wicket\UserFormPage.html::UserFormPage.html::<span wicket:id=""locked"">::18","jtrac\jtrac\src\main\resources\jtrac.hbm.xml::jtrac.hbm.xml::<property name=""locked"" column=""locked""/>::167","jtrac\jtrac\src\main\java\info\jtrac\wicket\UserFormPage.html::UserFormPage.html::<input type=""checkbox"" wicket:id=""user.locked""/>::19","jtrac\jtrac\src\main\java\info\jtrac\wicket\UserListPage.html::UserListPage.html::<td align=""center""><img src=""../resources/error.gif"" wicket:id=""locked""/></td>::27"
email,User::jtrac\\jtrac\\src\\main\\java\\info\\jtrac\\domain\\User.java::private String email;,3,"jtrac\jtrac\src\main\resources\jtrac.hbm.xml::jtrac.hbm.xml::<property name=""email"" column=""email"" length=""50""/>::165","jtrac\jtrac\src\main\java\info\jtrac\wicket\UserListPage.html::UserListPage.html::<td wicket:id=""email""></td>::25","jtrac\jtrac\src\main\java\info\jtrac\wicket\UserFormPage.html::UserFormPage.html::<input wicket:id=""user.email"" size=""35""/>::39",
values,FilterCriteria::jtrac\\jtrac\\src\\main\\java\\info\\jtrac\\domain\\FilterCriteria.java::private List values;,1,"jtrac\jtrac\src\main\java\info\jtrac\wicket\ItemSearchFormPanel.html::ItemSearchFormPanel.html::<wicket:fragment wicket:id=""multiSelect""><span wicket:id=""values""></span></wicket:fragment>::38",,,
timeStamp,AbstractItem::jtrac\\jtrac\\src\\main\\java\\info\\jtrac\\domain\\AbstractItem.java::private Date timeStamp;,3,"jtrac\jtrac\src\main\java\info\jtrac\wicket\ItemViewPanel.html::ItemViewPanel.html::<td wicket:id=""timeStamp""></td>::63","jtrac\jtrac\src\main\resources\jtrac.hbm.xml::jtrac.hbm.xml::<property name=""timeStamp"" column=""time_stamp""/>::125","jtrac\jtrac\src\main\resources\jtrac.hbm.xml::jtrac.hbm.xml::<property name=""timeStamp"" column=""time_stamp""/>::19",
attachment,History::jtrac\\jtrac\\src\\main\\java\\info\\jtrac\\domain\\History.java::private Attachment attachment;,3,"jtrac\jtrac\src\main\java\info\jtrac\wicket\ItemViewPanel.html::ItemViewPanel.html::<td wicket:id=""comment""><span wicket:id=""attachment"" style=""padding-right:0.5em""></span><span wicket:id=""comment""></span></td>::62","jtrac\jtrac\src\main\java\info\jtrac\wicket\ItemListPanel.html::ItemListPanel.html::<wicket:fragment wicket:id=""detail""><span wicket:id=""attachment""></span><span wicket:id=""detail""></span></wicket:fragment>::31","jtrac\jtrac\src\main\resources\jtrac.hbm.xml::jtrac.hbm.xml::<many-to-one name=""attachment"" column=""attachment_id""/>::122",
tag,ItemTag::jtrac\\jtrac\\src\\main\\java\\info\\jtrac\\domain\\ItemTag.java::private Tag tag;,1,"jtrac\jtrac\src\main\resources\jtrac.hbm.xml::jtrac.hbm.xml::<many-to-one name=""tag"" column=""tag_id"" not-null=""true""/>::101",,,
expression,FilterCriteria::jtrac\\jtrac\\src\\main\\java\\info\\jtrac\\domain\\FilterCriteria.java::private Expression expression;,1,"jtrac\jtrac\src\main\java\info\jtrac\wicket\ItemSearchFormPanel.html::ItemSearchFormPanel.html::<td class=""alt""><select wicket:id=""expression""/></td>::33",,,
warning,ConfirmPage::jtrac\\jtrac\\src\\main\\java\\info\\jtrac\\wicket\\ConfirmPage.java::private String warning;,1,"jtrac\jtrac\src\main\java\info\jtrac\wicket\ConfirmPage.html::ConfirmPage.html::<img src=""resources/warning.gif"" class=""nav-link""/><span wicket:id=""warning"" class=""error""></span>::7",,,
authenticationProvider,ProviderManagerFactoryBean::jtrac\\jtrac\\src\\main\\java\\info\\jtrac\\config\\ProviderManagerFactoryBean.java::private AuthenticationProvider authenticationProvider;,1,"jtrac\jtrac\src\main\webapp\WEB-INF\applicationContext-acegi.xml::applicationContext-acegi.xml::<property name=""authenticationProvider"" ref=""authenticationProvider""/>::17",,,
passwordEncoder,JtracImpl::jtrac\\jtrac\\src\\main\\java\\info\\jtrac\\JtracImpl.java::private PasswordEncoder passwordEncoder;,1,"jtrac\jtrac\src\main\webapp\WEB-INF\applicationContext.xml::applicationContext.xml::<property name=""passwordEncoder"" ref=""passwordEncoder""/>::26",,,
priority,AbstractItem::jtrac\\jtrac\\src\\main\\java\\info\\jtrac\\domain\\AbstractItem.java::private Integer priority;,2,"jtrac\jtrac\src\main\resources\jtrac.hbm.xml::jtrac.hbm.xml::<property name=""priority"" column=""priority""/>::132","jtrac\jtrac\src\main\resources\jtrac.hbm.xml::jtrac.hbm.xml::<property name=""priority"" column=""priority""/>::56",,
itemUsers,AbstractItem::jtrac\\jtrac\\src\\main\\java\\info\\jtrac\\domain\\AbstractItem.java::private Set<ItemUser> itemUsers;,3,"jtrac\jtrac\src\main\java\info\jtrac\wicket\ItemFormPage.html::ItemFormPage.html::<td wicket:id=""itemUsers""></td>::75","jtrac\jtrac\src\main\java\info\jtrac\wicket\ItemViewFormPanel.html::ItemViewFormPanel.html::<td wicket:id=""itemUsers""></td>::47","jtrac\jtrac\src\main\resources\jtrac.hbm.xml::jtrac.hbm.xml::<set name=""itemUsers"" cascade=""all"">::29",
relatedItems,AbstractItem::jtrac\\jtrac\\src\\main\\java\\info\\jtrac\\domain\\AbstractItem.java::private Set<ItemItem> relatedItems;,2,"jtrac\jtrac\src\main\resources\jtrac.hbm.xml::jtrac.hbm.xml::<set name=""relatedItems"" cascade=""all"" inverse=""true"">::33","jtrac\jtrac\src\main\java\info\jtrac\wicket\ItemViewPanel.html::ItemViewPanel.html::<span wicket:id=""relatedItems"">::11",,
fileName,Attachment::jtrac\\jtrac\\src\\main\\java\\info\\jtrac\\domain\\Attachment.java::private String fileName;,2,"jtrac\jtrac\src\main\java\info\jtrac\wicket\AttachmentLinkPanel.html::AttachmentLinkPanel.html::<span wicket:id=""attachment""><a href=""#"" target=""_blank""><img src=""resources/attachment.gif"" class=""nav-link""/><span wicket:id=""fileName""></span></a></span>::2","jtrac\jtrac\src\main\resources\jtrac.hbm.xml::jtrac.hbm.xml::<property name=""fileName"" column=""file_name""/>::221",,
value2,FilterCriteria::jtrac\\jtrac\\src\\main\\java\\info\\jtrac\\domain\\FilterCriteria.java::private Object value2;,2,"jtrac\jtrac\src\main\java\info\jtrac\wicket\ItemSearchFormPanel.html::ItemSearchFormPanel.html::<wicket:fragment wicket:id=""dateField""><span wicket:id=""value""></span> <span wicket:id=""value2""></span></wicket:fragment>::40","jtrac\jtrac\src\main\java\info\jtrac\wicket\ItemSearchFormPanel.html::ItemSearchFormPanel.html::<wicket:fragment wicket:id=""textField""><input wicket:id=""value""/> <input wicket:id=""value2""/></wicket:fragment>::39",,
indexSearcher,JtracImpl::jtrac\\jtrac\\src\\main\\java\\info\\jtrac\\JtracImpl.java::private IndexSearcher indexSearcher;,1,"jtrac\jtrac\src\main\webapp\WEB-INF\applicationContext.xml::applicationContext.xml::<property name=""indexSearcher"" ref=""indexSearcher""/>::28",,,
cusStr02,AbstractItem::jtrac\\jtrac\\src\\main\\java\\info\\jtrac\\domain\\AbstractItem.java::private String cusStr02;,2,"jtrac\jtrac\src\main\resources\jtrac.hbm.xml::jtrac.hbm.xml::<property name=""cusStr02"" column=""cus_str_02""/>::71","jtrac\jtrac\src\main\resources\jtrac.hbm.xml::jtrac.hbm.xml::<property name=""cusStr02"" column=""cus_str_02""/>::147",,
cusStr03,AbstractItem::jtrac\\jtrac\\src\\main\\java\\info\\jtrac\\domain\\AbstractItem.java::private String cusStr03;,2,"jtrac\jtrac\src\main\resources\jtrac.hbm.xml::jtrac.hbm.xml::<property name=""cusStr03"" column=""cus_str_03""/>::72","jtrac\jtrac\src\main\resources\jtrac.hbm.xml::jtrac.hbm.xml::<property name=""cusStr03"" column=""cus_str_03""/>::148",,
cusStr01,AbstractItem::jtrac\\jtrac\\src\\main\\java\\info\\jtrac\\domain\\AbstractItem.java::private String cusStr01;,2,"jtrac\jtrac\src\main\resources\jtrac.hbm.xml::jtrac.hbm.xml::<property name=""cusStr01"" column=""cus_str_01""/>::70","jtrac\jtrac\src\main\resources\jtrac.hbm.xml::jtrac.hbm.xml::<property name=""cusStr01"" column=""cus_str_01""/>::146",,
cusStr04,AbstractItem::jtrac\\jtrac\\src\\main\\java\\info\\jtrac\\domain\\AbstractItem.java::private String cusStr04;,2,"jtrac\jtrac\src\main\resources\jtrac.hbm.xml::jtrac.hbm.xml::<property name=""cusStr04"" column=""cus_str_04""/>::149","jtrac\jtrac\src\main\resources\jtrac.hbm.xml::jtrac.hbm.xml::<property name=""cusStr04"" column=""cus_str_04""/>::73",,
cusStr05,AbstractItem::jtrac\\jtrac\\src\\main\\java\\info\\jtrac\\domain\\AbstractItem.java::private String cusStr05;,2,"jtrac\jtrac\src\main\resources\jtrac.hbm.xml::jtrac.hbm.xml::<property name=""cusStr05"" column=""cus_str_05""/>::74","jtrac\jtrac\src\main\resources\jtrac.hbm.xml::jtrac.hbm.xml::<property name=""cusStr05"" column=""cus_str_05""/>::150",,
mappingResources,SchemaHelper::jtrac\\jtrac\\src\\main\\java\\info\\jtrac\\hibernate\\SchemaHelper.java::private String[] mappingResources;,1,"jtrac\jtrac\src\main\webapp\WEB-INF\applicationContext.xml::applicationContext.xml::<property name=""mappingResources"" value=""jtrac.hbm.xml""/>::95",,,
cusTim03,AbstractItem::jtrac\\jtrac\\src\\main\\java\\info\\jtrac\\domain\\AbstractItem.java::private Date cusTim03;,2,"jtrac\jtrac\src\main\resources\jtrac.hbm.xml::jtrac.hbm.xml::<property name=""cusTim03"" column=""cus_tim_03""/>::77","jtrac\jtrac\src\main\resources\jtrac.hbm.xml::jtrac.hbm.xml::<property name=""cusTim03"" column=""cus_tim_03""/>::153",,
cusTim02,AbstractItem::jtrac\\jtrac\\src\\main\\java\\info\\jtrac\\domain\\AbstractItem.java::private Date cusTim02;,2,"jtrac\jtrac\src\main\resources\jtrac.hbm.xml::jtrac.hbm.xml::<property name=""cusTim02"" column=""cus_tim_02""/>::76","jtrac\jtrac\src\main\resources\jtrac.hbm.xml::jtrac.hbm.xml::<property name=""cusTim02"" column=""cus_tim_02""/>::152",,
cusTim01,AbstractItem::jtrac\\jtrac\\src\\main\\java\\info\\jtrac\\domain\\AbstractItem.java::private Date cusTim01;,2,"jtrac\jtrac\src\main\resources\jtrac.hbm.xml::jtrac.hbm.xml::<property name=""cusTim01"" column=""cus_tim_01""/>::75","jtrac\jtrac\src\main\resources\jtrac.hbm.xml::jtrac.hbm.xml::<property name=""cusTim01"" column=""cus_tim_01""/>::151",,
relatingItems,AbstractItem::jtrac\\jtrac\\src\\main\\java\\info\\jtrac\\domain\\AbstractItem.java::private Set<ItemItem> relatingItems;,2,"jtrac\jtrac\src\main\resources\jtrac.hbm.xml::jtrac.hbm.xml::<set name=""relatingItems"" inverse=""true"">::37","jtrac\jtrac\src\main\java\info\jtrac\wicket\ItemViewPanel.html::ItemViewPanel.html::<span wicket:id=""relatingItems"">::17",,
showHistory,ItemSearch::jtrac\\jtrac\\src\\main\\java\\info\\jtrac\\domain\\ItemSearch.java::private boolean showHistory;,1,"jtrac\jtrac\src\main\java\info\jtrac\wicket\ItemSearchFormPanel.html::ItemSearchFormPanel.html::<input type=""checkbox"" wicket:id=""showHistory""/>::13",,,
validationQuery,DataSourceFactoryBean::jtrac\\jtrac\\src\\main\\java\\info\\jtrac\\config\\DataSourceFactoryBean.java::private String validationQuery;,1,"jtrac\jtrac\src\main\webapp\WEB-INF\applicationContext.xml::applicationContext.xml::<property name=""validationQuery"" value=""${database.validationQuery}""/>::58",,,
severity,AbstractItem::jtrac\\jtrac\\src\\main\\java\\info\\jtrac\\domain\\AbstractItem.java::private Integer severity;,2,"jtrac\jtrac\src\main\resources\jtrac.hbm.xml::jtrac.hbm.xml::<property name=""severity"" column=""severity""/>::131","jtrac\jtrac\src\main\resources\jtrac.hbm.xml::jtrac.hbm.xml::<property name=""severity"" column=""severity"" index=""idx_items_severity""/>::55",,
cusDbl03,AbstractItem::jtrac\\jtrac\\src\\main\\java\\info\\jtrac\\domain\\AbstractItem.java::private Double cusDbl03;,2,"jtrac\jtrac\src\main\resources\jtrac.hbm.xml::jtrac.hbm.xml::<property name=""cusDbl03"" column=""cus_dbl_03""/>::59","jtrac\jtrac\src\main\resources\jtrac.hbm.xml::jtrac.hbm.xml::<property name=""cusDbl03"" column=""cus_dbl_03""/>::135",,
guestAllowed,Space::jtrac\\jtrac\\src\\main\\java\\info\\jtrac\\domain\\Space.java::private boolean guestAllowed;,2,"jtrac\jtrac\src\main\resources\jtrac.hbm.xml::jtrac.hbm.xml::<property name=""guestAllowed"" column=""guest_allowed""/>::193","jtrac\jtrac\src\main\java\info\jtrac\wicket\SpaceFormPage.html::SpaceFormPage.html::<input type=""checkbox"" wicket:id=""space.guestAllowed""/>::42",,
cusDbl02,AbstractItem::jtrac\\jtrac\\src\\main\\java\\info\\jtrac\\domain\\AbstractItem.java::private Double cusDbl02;,2,"jtrac\jtrac\src\main\resources\jtrac.hbm.xml::jtrac.hbm.xml::<property name=""cusDbl02"" column=""cus_dbl_02""/>::58","jtrac\jtrac\src\main\resources\jtrac.hbm.xml::jtrac.hbm.xml::<property name=""cusDbl02"" column=""cus_dbl_02""/>::134",,
cusDbl01,AbstractItem::jtrac\\jtrac\\src\\main\\java\\info\\jtrac\\domain\\AbstractItem.java::private Double cusDbl01;,2,"jtrac\jtrac\src\main\resources\jtrac.hbm.xml::jtrac.hbm.xml::<property name=""cusDbl01"" column=""cus_dbl_01""/>::133","jtrac\jtrac\src\main\resources\jtrac.hbm.xml::jtrac.hbm.xml::<property name=""cusDbl01"" column=""cus_dbl_01""/>::57",,
indexer,JtracImpl::jtrac\\jtrac\\src\\main\\java\\info\\jtrac\\JtracImpl.java::private Indexer indexer;,1,"jtrac\jtrac\src\main\webapp\WEB-INF\applicationContext.xml::applicationContext.xml::<property name=""indexer"" ref=""indexer""/>::27",,,
cusInt10,AbstractItem::jtrac\\jtrac\\src\\main\\java\\info\\jtrac\\domain\\AbstractItem.java::private Integer cusInt10;,2,"jtrac\jtrac\src\main\resources\jtrac.hbm.xml::jtrac.hbm.xml::<property name=""cusInt10"" column=""cus_int_10""/>::69","jtrac\jtrac\src\main\resources\jtrac.hbm.xml::jtrac.hbm.xml::<property name=""cusInt10"" column=""cus_int_10""/>::145",,
locales,JtracImpl::jtrac\\jtrac\\src\\main\\java\\info\\jtrac\\JtracImpl.java::private Map<String* String> locales;,1,"jtrac\jtrac\src\main\webapp\WEB-INF\applicationContext.xml::applicationContext.xml::<property name=""localeList"" value=""${jtrac.locales}""/>::30",,,
cusInt01,AbstractItem::jtrac\\jtrac\\src\\main\\java\\info\\jtrac\\domain\\AbstractItem.java::private Integer cusInt01;,2,"jtrac\jtrac\src\main\resources\jtrac.hbm.xml::jtrac.hbm.xml::<property name=""cusInt01"" column=""cus_int_01""/>::136","jtrac\jtrac\src\main\resources\jtrac.hbm.xml::jtrac.hbm.xml::<property name=""cusInt01"" column=""cus_int_01""/>::60",,
