UmsMember private Integer luckeyCount,UmsMemberMapper xml luckeyCount jdbcType INTEGER historyIntegration jdbcType INTEGER,1
SmsCoupon private BigDecimal amount,SmsCouponMapper xml if test amount null,1
UmsMember private Integer historyIntegration,UmsMemberMapper xml historyIntegration jdbcType INTEGER,1
PmsAlbum private String coverPic,PmsAlbumMapper xml values name jdbcType VARCHAR coverPic jdbcType VARCHAR picCount jdbcType INTEGER,1
UmsMemberLevel private Integer priviledgeSignIn,UmsMemberLevelMapper xml priviledgeSignIn jdbcType INTEGER,1
UmsMemberRuleSetting private Integer continueSignPoint,UmsMemberRuleSettingMapper xml values continueSignDay jdbcType INTEGER continueSignPoint jdbcType INTEGER,1
UmsMemberStatisticsInfo private Integer loginCount,UmsMemberStatisticsInfoMapper xml login count loginCount jdbcType INTEGER,1
UmsRoleMenuRelation private Long menuId,UmsRoleMenuRelationMapper xml menu id record menuId jdbcType BIGINT,1
UmsMemberRuleSetting private Integer maxPointPerOrder,UmsMemberRuleSettingMapper xml if test maxPointPerOrder null,1
SmsCoupon private Integer publishCount,SmsCouponMapper xml if test publishCount null,1
PmsProductOperateLog private BigDecimal salePriceOld,PmsProductOperateLogMapper xml result column sale price old jdbcType DECIMAL property salePriceOld,1
OmsOrder private String billReceiverEmail,OmsOrderMapper xml if test billReceiverEmail null,1
OmsOrder private Date modifyTime,OmsOrderMapper xml modify time record modifyTime jdbcType TIMESTAMP,1
UmsMemberLevel private Integer priviledgeBirthday,UmsMemberLevelMapper xml if test priviledgeBirthday null,1
UmsMemberStatisticsInfo private BigDecimal consumeAmount,UmsMemberStatisticsInfoMapper xml if test consumeAmount null,1
UmsRoleResourceRelation private Long resourceId,UmsRoleResourceRelationMapper xml if test resourceId null,1
SmsCoupon private Integer platform,SmsCouponMapper xml if test platform null,1
PmsProduct private String serviceIds,PmsProductMapper xml service ids record serviceIds jdbcType VARCHAR,1
CmsMemberReport private Integer handleStatus,CmsMemberReportMapper xml handleStatus jdbcType INTEGER,1
UmsMemberLevel private Integer priviledgeSignIn,UmsMemberLevelMapper xml priviledge sign in record priviledgeSignIn jdbcType INTEGER,1
SmsCoupon private BigDecimal minPoint,SmsCouponMapper xml min point minPoint jdbcType DECIMAL,1
UmsMember private String nickname,UmsMemberMapper xml result column nickname jdbcType VARCHAR property nickname,1
PmsProduct private String detailMobileHtml,PmsProductMapper xml detail mobile html record detailMobileHtml jdbcType LONGVARCHAR,1
PmsSkuStock private String skuCode,PmsSkuStockMapper xml sku code record skuCode jdbcType VARCHAR,1
UmsIntegrationConsumeSetting private Integer couponStatus,UmsIntegrationConsumeSettingMapper xml coupon status couponStatus jdbcType INTEGER,1
OmsOrder private String billReceiverEmail,OmsOrderMapper xml bill receiver email billReceiverEmail jdbcType VARCHAR,1
SmsCoupon private Integer platform,SmsCouponMapper xml if test record platform null,1
SmsHomeRecommendSubject private String subjectName,SmsHomeRecommendSubjectMapper xml subject name subjectName jdbcType VARCHAR,1
EsProduct private List EsProductAttributeValue attrValueList,EsProductDao xml collection property attrValueList columnPrefix attr ofType com macro mall search domain EsProductAttributeValue,1
OmsCartItem private Integer quantity,OmsCartItemMapper xml quantity record quantity jdbcType INTEGER,1
OmsOrderItem private Integer productQuantity,OmsOrderItemMapper xml if test productQuantity null,1
PmsAlbumPic private Long albumId,PmsAlbumPicMapper xml values albumId jdbcType BIGINT pic jdbcType VARCHAR,1
OmsOrderSetting private Integer confirmOvertime,OmsOrderSettingMapper xml if test confirmOvertime null,1
OmsOrder private String billContent,OmsOrderMapper xml billContent jdbcType VARCHAR billReceiverPhone jdbcType VARCHAR billReceiverEmail jdbcType VARCHAR,1
UmsMemberRuleSetting private Integer continueSignDay,UmsMemberRuleSettingMapper xml if test record continueSignDay null,1
OmsOrder private Integer confirmStatus,OmsOrderMapper xml if test confirmStatus null,1
PmsBrand private Integer productCommentCount,PmsBrandMapper xml productCommentCount jdbcType INTEGER,1
UmsMember private Integer historyIntegration,UmsMemberMapper xml if test historyIntegration null,1
SmsCoupon private BigDecimal amount,SmsCouponMapper xml amount,1
UmsMemberLevel private Integer commentGrowthPoint,UmsMemberLevelMapper xml comment growth point record commentGrowthPoint jdbcType INTEGER,1
UmsMemberRuleSetting private Integer continueSignDay,UmsMemberRuleSettingMapper xml continue sign day record continueSignDay jdbcType INTEGER,1
PmsProductVertifyRecord private String detail,PmsProductVertifyRecordMapper xml status jdbcType INTEGER detail jdbcType VARCHAR,1
SmsFlashPromotion private Date endDate,SmsFlashPromotionMapper xml values title jdbcType VARCHAR startDate jdbcType DATE endDate jdbcType DATE,1
PmsComment private String memberIp,PmsCommentMapper xml star jdbcType INTEGER memberIp jdbcType VARCHAR createTime jdbcType TIMESTAMP,1
PmsMemberPrice private BigDecimal memberPrice,PmsMemberPriceMapper xml memberPrice jdbcType DECIMAL,1
PmsProductOperateLog private Integer usePointLimitOld,PmsProductOperateLogMapper xml use point limit old usePointLimitOld jdbcType INTEGER,1
UmsMember private String nickname,UmsMemberMapper xml nickname,1
SmsCoupon private Integer platform,SmsCouponMapper xml platform record platform jdbcType INTEGER,1
