coupon,SmsCouponHistoryDetail.java,mall\\mall-portal\\src\\main\\java\\com\\macro\\mall\\portal\\domain\\SmsCouponHistoryDetail.java,"<association property=""coupon"" resultMap=""com.macro.mall.mapper.SmsCouponMapper.BaseResultMap"" columnPrefix=""c_"">",6,SmsCouponHistoryDao.xml,mall\mall-portal\src\main\resources\dao\SmsCouponHistoryDao.xml
amount,SmsCoupon.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\SmsCoupon.java,#{count*jdbcType=INTEGER}* #{amount*jdbcType=DECIMAL}* #{perLimit*jdbcType=INTEGER}*,127,SmsCouponMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\SmsCouponMapper.xml
amount,SmsCoupon.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\SmsCoupon.java,"<if test=""amount != null"">",204,SmsCouponMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\SmsCouponMapper.xml
amount,SmsCoupon.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\SmsCoupon.java,amount*,152,SmsCouponMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\SmsCouponMapper.xml
amount,SmsCoupon.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\SmsCoupon.java,"<if test=""amount != null"">",352,SmsCouponMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\SmsCouponMapper.xml
amount,SmsCoupon.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\SmsCoupon.java,count* amount* per_limit*,121,SmsCouponMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\SmsCouponMapper.xml
amount,SmsCoupon.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\SmsCoupon.java,"<result column=""amount"" jdbcType=""DECIMAL"" property=""amount"" />",10,SmsCouponMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\SmsCouponMapper.xml
amount,SmsCoupon.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\SmsCoupon.java,amount = #{record.amount*jdbcType=DECIMAL}*,320,SmsCouponMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\SmsCouponMapper.xml
amount,SmsCoupon.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\SmsCoupon.java,"<if test=""record.amount != null"">",269,SmsCouponMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\SmsCouponMapper.xml
amount,SmsCoupon.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\SmsCoupon.java,"<if test=""amount != null"">",151,SmsCouponMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\SmsCouponMapper.xml
amount,SmsCoupon.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\SmsCoupon.java,amount = #{amount*jdbcType=DECIMAL}*,353,SmsCouponMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\SmsCouponMapper.xml
amount,SmsCoupon.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\SmsCoupon.java,amount = #{record.amount*jdbcType=DECIMAL}*,270,SmsCouponMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\SmsCouponMapper.xml
amount,SmsCoupon.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\SmsCoupon.java,amount = #{amount*jdbcType=DECIMAL}*,400,SmsCouponMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\SmsCouponMapper.xml
amount,SmsCoupon.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\SmsCoupon.java,id* type* name* platform* count* amount* per_limit* min_point* start_time* end_time*,83,SmsCouponMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\SmsCouponMapper.xml
amount,SmsCoupon.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\SmsCoupon.java,#{amount*jdbcType=DECIMAL}*,205,SmsCouponMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\SmsCouponMapper.xml
address,UmsAdminLoginLog.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\UmsAdminLoginLog.java,id* admin_id* create_time* ip* address* user_agent,71,UmsAdminLoginLogMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\UmsAdminLoginLogMapper.xml
address,UmsAdminLoginLog.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\UmsAdminLoginLog.java,"<if test=""address != null"">",208,UmsAdminLoginLogMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\UmsAdminLoginLogMapper.xml
address,UmsAdminLoginLog.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\UmsAdminLoginLog.java,address = #{record.address*jdbcType=VARCHAR}*,190,UmsAdminLoginLogMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\UmsAdminLoginLogMapper.xml
address,UmsAdminLoginLog.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\UmsAdminLoginLog.java,#{address*jdbcType=VARCHAR}*,145,UmsAdminLoginLogMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\UmsAdminLoginLogMapper.xml
address,UmsAdminLoginLog.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\UmsAdminLoginLog.java,address* user_agent),108,UmsAdminLoginLogMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\UmsAdminLoginLogMapper.xml
address,UmsAdminLoginLog.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\UmsAdminLoginLog.java,"<if test=""address != null"">",144,UmsAdminLoginLogMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\UmsAdminLoginLogMapper.xml
address,UmsAdminLoginLog.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\UmsAdminLoginLog.java,"<if test=""record.address != null"">",173,UmsAdminLoginLogMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\UmsAdminLoginLogMapper.xml
address,UmsAdminLoginLog.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\UmsAdminLoginLog.java,address = #{record.address*jdbcType=VARCHAR}*,174,UmsAdminLoginLogMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\UmsAdminLoginLogMapper.xml
address,UmsAdminLoginLog.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\UmsAdminLoginLog.java,address = #{address*jdbcType=VARCHAR}*,209,UmsAdminLoginLogMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\UmsAdminLoginLogMapper.xml
address,UmsAdminLoginLog.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\UmsAdminLoginLog.java,"<result column=""address"" jdbcType=""VARCHAR"" property=""address"" />",9,UmsAdminLoginLogMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\UmsAdminLoginLogMapper.xml
address,UmsAdminLoginLog.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\UmsAdminLoginLog.java,"<if test=""address != null"">",127,UmsAdminLoginLogMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\UmsAdminLoginLogMapper.xml
address,UmsAdminLoginLog.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\UmsAdminLoginLog.java,address = #{address*jdbcType=VARCHAR}*,222,UmsAdminLoginLogMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\UmsAdminLoginLogMapper.xml
address,UmsAdminLoginLog.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\UmsAdminLoginLog.java,#{address*jdbcType=VARCHAR}* #{userAgent*jdbcType=VARCHAR}),110,UmsAdminLoginLogMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\UmsAdminLoginLogMapper.xml
address,UmsAdminLoginLog.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\UmsAdminLoginLog.java,address*,128,UmsAdminLoginLogMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\UmsAdminLoginLogMapper.xml
detail,PmsProductVertifyRecord.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\PmsProductVertifyRecord.java,status* detail),108,PmsProductVertifyRecordMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\PmsProductVertifyRecordMapper.xml
detail,PmsProductVertifyRecord.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\PmsProductVertifyRecord.java,#{detail*jdbcType=VARCHAR}*,148,PmsProductVertifyRecordMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\PmsProductVertifyRecordMapper.xml
detail,PmsProductVertifyRecord.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\PmsProductVertifyRecord.java,#{status*jdbcType=INTEGER}* #{detail*jdbcType=VARCHAR}),110,PmsProductVertifyRecordMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\PmsProductVertifyRecordMapper.xml
detail,PmsProductVertifyRecord.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\PmsProductVertifyRecord.java,detail = #{record.detail*jdbcType=VARCHAR}*,177,PmsProductVertifyRecordMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\PmsProductVertifyRecordMapper.xml
detail,PmsProductVertifyRecord.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\PmsProductVertifyRecord.java,detail*,131,PmsProductVertifyRecordMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\PmsProductVertifyRecordMapper.xml
detail,PmsProductVertifyRecord.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\PmsProductVertifyRecord.java,"<if test=""detail != null"">",211,PmsProductVertifyRecordMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\PmsProductVertifyRecordMapper.xml
detail,PmsProductVertifyRecord.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\PmsProductVertifyRecord.java,"<result column=""detail"" jdbcType=""VARCHAR"" property=""detail"" />",10,PmsProductVertifyRecordMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\PmsProductVertifyRecordMapper.xml
detail,PmsProductVertifyRecord.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\PmsProductVertifyRecord.java,id* product_id* create_time* vertify_man* status* detail,71,PmsProductVertifyRecordMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\PmsProductVertifyRecordMapper.xml
detail,PmsProductVertifyRecord.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\PmsProductVertifyRecord.java,detail = #{detail*jdbcType=VARCHAR}*,212,PmsProductVertifyRecordMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\PmsProductVertifyRecordMapper.xml
detail,PmsProductVertifyRecord.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\PmsProductVertifyRecord.java,#{item.detail*jdbcType=VARCHAR}),12,PmsProductVertifyRecordDao.xml,mall\mall-admin\src\main\resources\dao\PmsProductVertifyRecordDao.xml
detail,PmsProductVertifyRecord.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\PmsProductVertifyRecord.java,"<if test=""detail != null"">",147,PmsProductVertifyRecordMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\PmsProductVertifyRecordMapper.xml
detail,PmsProductVertifyRecord.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\PmsProductVertifyRecord.java,"<if test=""record.detail != null"">",176,PmsProductVertifyRecordMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\PmsProductVertifyRecordMapper.xml
detail,PmsProductVertifyRecord.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\PmsProductVertifyRecord.java,"<if test=""detail != null"">",130,PmsProductVertifyRecordMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\PmsProductVertifyRecordMapper.xml
detail,PmsProductVertifyRecord.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\PmsProductVertifyRecord.java,detail = #{record.detail*jdbcType=VARCHAR},191,PmsProductVertifyRecordMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\PmsProductVertifyRecordMapper.xml
detail,PmsProductVertifyRecord.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\PmsProductVertifyRecord.java,detail = #{detail*jdbcType=VARCHAR},223,PmsProductVertifyRecordMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\PmsProductVertifyRecordMapper.xml
pics,PmsComment.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\PmsComment.java,#{readCount*jdbcType=INTEGER}* #{pics*jdbcType=VARCHAR}* #{memberIcon*jdbcType=VARCHAR}*,148,PmsCommentMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\PmsCommentMapper.xml
pics,PmsComment.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\PmsComment.java,"<if test=""record.pics != null"">",287,PmsCommentMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\PmsCommentMapper.xml
pics,PmsComment.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\PmsComment.java,"<if test=""pics != null"">",378,PmsCommentMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\PmsCommentMapper.xml
pics,PmsComment.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\PmsComment.java,read_count* pics* member_icon*,143,PmsCommentMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\PmsCommentMapper.xml
pics,PmsComment.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\PmsComment.java,product_attribute* collect_couont* read_count* pics* member_icon* replay_count,83,PmsCommentMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\PmsCommentMapper.xml
pics,PmsComment.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\PmsComment.java,pics = #{record.pics*jdbcType=VARCHAR}*,288,PmsCommentMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\PmsCommentMapper.xml
pics,PmsComment.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\PmsComment.java,pics = #{pics*jdbcType=VARCHAR}*,379,PmsCommentMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\PmsCommentMapper.xml
pics,PmsComment.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\PmsComment.java,#{pics*jdbcType=VARCHAR}*,232,PmsCommentMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\PmsCommentMapper.xml
pics,PmsComment.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\PmsComment.java,pics = #{record.pics*jdbcType=VARCHAR}*,317,PmsCommentMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\PmsCommentMapper.xml
pics,PmsComment.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\PmsComment.java,pics = #{pics*jdbcType=VARCHAR}*,405,PmsCommentMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\PmsCommentMapper.xml
pics,PmsComment.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\PmsComment.java,"<if test=""pics != null"">",187,PmsCommentMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\PmsCommentMapper.xml
pics,PmsComment.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\PmsComment.java,"<if test=""pics != null"">",231,PmsCommentMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\PmsCommentMapper.xml
pics,PmsComment.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\PmsComment.java,"<result column=""pics"" jdbcType=""VARCHAR"" property=""pics"" />",16,PmsCommentMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\PmsCommentMapper.xml
pics,PmsComment.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\PmsComment.java,pics*,188,PmsCommentMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\PmsCommentMapper.xml
pics,PmsComment.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\PmsComment.java,pics = #{record.pics*jdbcType=VARCHAR}*,338,PmsCommentMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\PmsCommentMapper.xml
pics,PmsComment.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\PmsComment.java,pics = #{pics*jdbcType=VARCHAR}*,423,PmsCommentMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\PmsCommentMapper.xml
weight,PmsProduct.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\PmsProduct.java,weight* preview_status* service_ids*,179,PmsProductMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\PmsProductMapper.xml
weight,PmsProduct.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\PmsProduct.java,#{weight*jdbcType=DECIMAL}* #{previewStatus*jdbcType=INTEGER}* #{serviceIds*jdbcType=VARCHAR}*,193,PmsProductMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\PmsProductMapper.xml
weight,PmsProduct.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\PmsProduct.java,"<result column=""weight"" jdbcType=""DECIMAL"" property=""weight"" />",30,PmsProductMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\PmsProductMapper.xml
