id,org powerstone workflow model FlowUserPerformer FlowNodeBinding flowNodeBinding Long userID id,org powerstone workflow model FlowUserPerformer id flowNodeBinding userID,1,FlowUserPerformer,FlowUserPerformer,FlowUserPerformer.hbm.xml,powerstone\src\org\powerstone\workflow\model\FlowUserPerformer.java,powerstone\src\org\powerstone\workflow\model\FlowUserPerformer.hbm.xml,org powerstone workflow model FlowUserPerformer WF FLOW USER PERFORMER id PK ID java lang Long native flowNodeBinding FlowNodeBinding none auto FK NODE BINDING userID long VC true, hibernate class table WF FLOW USER PERFORMER p Title PowerStone id column PK ID unsaved value generator native return Long many to one FK NODE BINDING org powerstone workflow model FlowNodeBinding property VC type long not null true String FlowUserPerformer flowNodeBinding userID getId Optional  setId this empty getFlowNodeBinding setFlowNodeBinding getUserID setUserID equals object if instanceof false fup new EqualsBuilder append isEquals hashCode HashCodeBuilder toString toHashCode ToStringBuilder ToStringStyle MULTI LINE STYLE NodeBinding UserID liyingquan gmail com diamond china msn
id,org powerstone workflow model FlowTaskRefuse Long id String refuseFor refuseUser FlowTask flowTask,org powerstone workflow model FlowTaskRefuse id flowTask refuseFor refuseUser,1,FlowTaskRefuse,FlowTaskRefuse,FlowTaskRefuse.hbm.xml,powerstone\src\org\powerstone\workflow\model\FlowTaskRefuse.java,powerstone\src\org\powerstone\workflow\model\FlowTaskRefuse.hbm.xml,org powerstone workflow model FlowTaskRefuse WF FLOW TASK REFUSE id PK ID java lang Long native refuseFor string VC FOR true refuseUser USER flowTask FlowTask none auto FK, hibernate class table WF FLOW TASK REFUSE p Title PowerStone Description workflow powered by Spring Copyright c Company Co Ltd author daquan version id column PK ID unsaved value generator native return Long property VC FOR length type string not null true String USER many to one FK org powerstone model FlowTask FlowTaskRefuse refuseFor refuseUser flowTask getId Optional  empty setId this getRefuseFor setRefuseFor getRefuseUser setRefuseUser getFlowTask setFlowTask equals object if instanceof false ftu new EqualsBuilder append isEquals hashCode HashCodeBuilder toString toHashCode ToStringBuilder ToStringStyle MULTI LINE STYLE RefuseFor RefuseUser liyingquan gmail com diamond china msn
id,org powerstone workflow model FlowTaskAssigner Log log String userID FlowTask flowTask Long id,org powerstone workflow model FlowTaskAssigner id flowTask userID,1,FlowTaskAssigner,FlowTaskAssigner,FlowTaskAssigner.hbm.xml,powerstone\src\org\powerstone\workflow\model\FlowTaskAssigner.java,powerstone\src\org\powerstone\workflow\model\FlowTaskAssigner.hbm.xml,org powerstone workflow model FlowTaskAssigner WF FLOW TASK ASSIGNER id PK ID java lang Long native userID string VC USER true flowTask FlowTask none auto FK IsTaskAssigner, hibernate class table WF FLOW TASK ASSIGNER query name IsTaskAssigner select fta from FlowTaskAssigner inner join flowTask ft where userID and taskID p Title PowerStone id column PK ID unsaved value generator native return Long property VC USER length type string not null true String many to one FK org powerstone workflow model FlowTask unique append this getId toString ftu log Optional  setId empty getUserID setUserID getFlowTask setFlowTask equals object if isDebugEnabled debug instanceof false new EqualsBuilder isEquals hashCode HashCodeBuilder toHashCode ToStringBuilder ToStringStyle MULTI LINE STYLE UserID liyingquan gmail com diamond china msn
id,org powerstone workflow model FlowProcTransition Log log Long id String fromNodeID workflowTransitionID toNodeID conditionType conditionExpress FlowProcTransaction flowProcTransaction ca BaseObject,org powerstone workflow model FlowProcTransition id flowProcTransaction fromNodeID workflowTransitionID toNodeID,1,FlowProcTransition,FlowProcTransition,FlowProcTransition.hbm.xml,powerstone\src\org\powerstone\workflow\model\FlowProcTransition.java,powerstone\src\org\powerstone\workflow\model\FlowProcTransition.hbm.xml,org powerstone workflow model FlowProcTransition WF FLOW PROC TRANSITION id PK ID java lang Long native fromNodeID string VC FROM NODE true workflowTransitionID WORKFLOW toNodeID TO flowProcTransaction FlowProcTransaction none auto FK TRANSACTION, hibernate class table WF FLOW PROC TRANSITION p Title PowerStone id column PK ID unsaved value generator native return Long property VC FROM NODE length type string not null true String WORKFLOW TO many to one FK TRANSACTION org powerstone workflow model FlowProcTransaction FlowProcTransition BaseObject log fromNodeID workflowTransitionID toNodeID conditionType conditionExpress flowProcTransaction getId Optional  setId this empty getFromNodeID setFromNodeID getWorkflowTransitionID setWorkflowTransitionID getToNodeID setToNodeID getFlowProcTransaction setFlowProcTransaction getConditionType setConditionType getConditionExpress setConditionExpress equals object if instanceof false fnt isDebugEnabled debug n new EqualsBuilder append isEquals hashCode HashCodeBuilder toString toHashCode ToStringBuilder ToStringStyle MULTI LINE STYLE TransitionID liyingquan gmail com diamond china msn
id,org powerstone workflow model NewTask Long id FlowTask flowTask String taskCandidateUserID,org powerstone workflow model NewTask id flowTask taskCandidateUserID,1,NewTask,NewTask,NewTask.hbm.xml,powerstone\src\org\powerstone\workflow\model\NewTask.java,powerstone\src\org\powerstone\workflow\model\NewTask.hbm.xml,org powerstone workflow model NewTask WF FLOW TASK NEW id PK ID java lang Long native flowTask FlowTask none auto FK taskCandidateUserID string VC CANDIDATE USER true, hibernate class table WF FLOW TASK NEW p Title PowerStone id column PK ID unsaved value generator native return Long many to one FK org powerstone workflow model FlowTask property VC CANDIDATE USER length type string not null true String NewTask flowTask taskCandidateUserID getId Optional  setId this empty getFlowTask setFlowTask getTaskCandidateUserID setTaskCandidateUserID equals object if instanceof false nt new EqualsBuilder append isEquals hashCode HashCodeBuilder toString toHashCode ToStringBuilder ToStringStyle MULTI LINE STYLE CandidateUserID liyingquan gmail com diamond china msn
id,org powerstone workflow model FlowTaskUser String userID FlowTask flowTask Long id,org powerstone workflow model FlowTaskUser id flowTask userID,1,FlowTaskUser,FlowTaskUser,FlowTaskUser.hbm.xml,powerstone\src\org\powerstone\workflow\model\FlowTaskUser.java,powerstone\src\org\powerstone\workflow\model\FlowTaskUser.hbm.xml,org powerstone workflow model FlowTaskUser WF FLOW TASK USER id PK ID java lang Long native userID string VC true flowTask FlowTask none auto FK IsTaskOwner, hibernate class table WF FLOW TASK USER query name IsTaskOwner select ftu from FlowTaskUser inner join flowTask ft where userID and taskID id column PK ID unsaved value generator native return Long property VC length type string not null true String many to one FK org powerstone workflow model FlowTask append this getId toString Optional  setId empty getUserID setUserID getFlowTask setFlowTask equals object if instanceof false new EqualsBuilder isEquals hashCode HashCodeBuilder toHashCode ToStringBuilder ToStringStyle MULTI LINE STYLE UserID liyingquan gmail com diamond china msn
id,org powerstone workflow model FlowRolePerformer FlowNodeBinding flowNodeBinding Long roleID id,org powerstone workflow model FlowRolePerformer id flowNodeBinding roleID,1,FlowRolePerformer,FlowRolePerformer,FlowRolePerformer.hbm.xml,powerstone\src\org\powerstone\workflow\model\FlowRolePerformer.java,powerstone\src\org\powerstone\workflow\model\FlowRolePerformer.hbm.xml,org powerstone workflow model FlowRolePerformer WF FLOW ROLE PERFORMER id PK ID java lang Long native flowNodeBinding FlowNodeBinding none auto FK NODE BINDING roleID long VC true, hibernate class table WF FLOW ROLE PERFORMER p Title PowerStone id column PK ID unsaved value generator native return Long many to one FK NODE BINDING org powerstone workflow model FlowNodeBinding property VC type long not null true String FlowRolePerformer flowNodeBinding roleID getId Optional  setId this empty getFlowNodeBinding setFlowNodeBinding getRoleID setRoleID equals object if instanceof false frp new EqualsBuilder append isEquals hashCode HashCodeBuilder toString toHashCode ToStringBuilder ToStringStyle MULTI LINE STYLE NodeBinding RoleID liyingquan gmail com diamond china msn
id,org powerstone ca model Resource Long id String resourceID resourceName actionURL WebModule webModule,org powerstone ca model Resource id webModule resourceID resourceName actionURL,1,Resource,Resource,Resource.hbm.xml,powerstone\src\org\powerstone\ca\model\Resource.java,powerstone\src\org\powerstone\ca\model\Resource.hbm.xml,org powerstone ca model Resource CA RESOURCE id PK ID java lang Long native resourceID string VC true resourceName NAME actionURL ACTION URL webModule WebModule none auto FK WEB MODULE AllResources AllWebModules ResourceByResourceID ResourceByName, hibernate class table CA RESOURCE query name AllResources select rs from Resource as AllWebModules wm WebModule ResourceByResourceID where resourceID ResourceByName resourceName p Title PowerStone id column PK ID unsaved value generator native return Long property VC length type string not null true unique String NAME ACTION URL many to one FK WEB MODULE org powerstone ca model actionURL webModule getId Optional  getResourceID getResourceName getActionURL getWebModule setActionURL this empty setId setResourceID setResourceName setWebModule equals object if instanceof false resource new EqualsBuilder append isEquals hashCode HashCodeBuilder toString toHashCode ToStringBuilder ToStringStyle MULTI LINE STYLE liyingquan gmail com diamond china msn
id,org powerstone ca model User String ANONYMOUS USER NAME ID Long id userName password realName sex email List groups roles rights webModules memo state STATE NORMAL REMOVED DISABLED Log log confirmPass oldPass,org powerstone ca model User id userName password realName sex email memo state groups roles rights webModules,1,User,User,User.hbm.xml,powerstone\src\org\powerstone\ca\model\User.java,powerstone\src\org\powerstone\ca\model\User.hbm.xml,org powerstone ca model User CA USER id PK ID java lang Long native userName string VC NAME true password PASSWORD realName REAL sex SEX email EMAIL memo MEMO state STATE groups JOIN GROUP save update FK Group auto roles ROLE Role rights all delete orphan UserRight webModules WEBMODULE WebModule WEB MODULE AllUsers UsersByState UsersHaveNoGroup ByUserName ByEmail UsersOfResource UserRightsByCombineKeys, hibernate class table CA USER query name AllUsers select u from User as order by id UsersByState where state UsersHaveNoGroup not in g users Group bug groups size sql ByUserName userName ByEmail email UsersOfResource left join rights ur resource UserRightsByCombineKeys UserRight user and privilege p Title PowerStone userID column PK ID unsaved value generator native return Long property VC NAME length type string null true unique String PASSWORD REAL SEX EMAIL MEMO STATE bag JOIN GROUP cascade save update lazy collection key FK many to org powerstone ca model List this getGroups indexOf group add xxx will result insert two rows roles outer auto ROLE Role all delete orphan inverse one webModules WEBMODULE WebModule WEB MODULE ANONYMOUS password realName sex memo NORMAL REMOVED DISABLED log confirmPass oldPass getId Optional  getUserName getPassword getConfirmPass empty setConfirmPass getRealName getSex getEmail getMemo getState remove setState isRemoved equals isInGroup getUsers joinGroup if warn is joining a has already been leaveGroup leaving isn t getRoles joinRole role isInRole leaveRole getRights getWebModules setEmail setGroups setId setPassword setRealName setRights setRoles setSex setUserName setWebModules setMemo object instanceof false new EqualsBuilder append isEquals hashCode HashCodeBuilder toString toHashCode ToStringBuilder ToStringStyle MULTI LINE STYLE addRight userRight setUser else tempt right clearRights for Iterator it iterator hasNext next clear getOldPass setOldPass liyingquan gmail com diamond china msn
id,org powerstone workflow model FlowProcRelativeData Log log Long id FlowProc flowProc FlowNodeOutputParamBinding flowNodeOutputParamBinding String driverParamValue,org powerstone workflow model FlowProcRelativeData id flowProc flowNodeOutputParamBinding driverParamValue,1,FlowProcRelativeData,FlowProcRelativeData,FlowProcRelativeData.hbm.xml,powerstone\src\org\powerstone\workflow\model\FlowProcRelativeData.java,powerstone\src\org\powerstone\workflow\model\FlowProcRelativeData.hbm.xml,org powerstone workflow model FlowProcRelativeData WF FLOW PROC RELATIVE DATA id PK ID java lang Long native flowProc FlowProc none auto FK flowNodeOutputParamBinding FlowNodeOutputParamBinding FKFLOWNODEOUTPUTPARAMBINDINGID driverParamValue string VC DRIVER PARAM VALUE true, hibernate class table WF FLOW PROC RELATIVE DATA id column PK ID unsaved value generator native return Long many to one FK org powerstone workflow model FlowProc FKFLOWNODEOUTPUTPARAMBINDINGID FlowNodeOutputParamBinding property VC DRIVER PARAM VALUE length type string not null true String FlowProcException FlowProcRelativeData log flowProc flowNodeOutputParamBinding driverParamValue getId Optional  setId this empty getFlowProc setFlowProc getFlowNodeOutputParamBinding setFlowNodeOutputParamBinding getDriverParamValue setDriverParamValue getCorrespondingNodeParamValue if getFlowNodeOutputParamEnumeBindings size FlowNodeOutputParamEnumeBinding nodeOutputParamEnumeBinding findNodeOutputParamEnumeBindingByNodeParamEnume getNodeOutputParamEnume else warn ExceptionMessage ERROR FLOWPROC UN MATCHED OUTPUT equals object instanceof false fpr new EqualsBuilder append toString isEquals hashCode HashCodeBuilder toHashCode ToStringBuilder ToStringStyle MULTI LINE STYLE liyingquan gmail com diamond china msn
