User private String userName,User hbm xml select u from User as u where u userName,1
WorkflowNode private String nodeName,configNodePerformer jsp c out value currNode nodeName,1
BusinessType private Long typeID new Long,listTaskKinds jsp c out value businessType typeName font color FF id new c out value businessType typeID,1
WorkflowMeta private BusinessType businessType,FlowTask hbm xml select count from NewTask nt join nt flowTask task join task flowNodeBinding flowDeploy workflowMeta businessType bt where nt taskCandidateUserID and task taskState in and bt typeID,1
FlowDeploy private List flowNodeBindings new ArrayList,FlowDeploy hbm xml name flowNodeBindings,1
Resource private String resourceID,validation xml field property resourceID depends required mask maxlength minlength,1
FlowTask private String taskState TASK STATE FREE,FlowTask hbm xml select count from NewTask nt join nt flowTask task join task flowNodeBinding flowDeploy workflowMeta businessType bt where nt taskCandidateUserID and task taskState in and bt typeID,1
FlowProcTransition private String workflowTransitionID,FlowProcTransition hbm xml name workflowTransitionID,1
BusinessType private Long typeID new Long,businessTypeForm jsp c if test not empty typeID,1
WorkflowDriver private String flowDriverName,validation xml field property flowDriverName depends required maxlength,1
WFDriverOutputParam private List driverOutputParamEnumes new ArrayList,seeDriverDetail jsp c forEach items theOutputParam driverOutputParamEnumes,1
BusinessType private Long typeID new Long,listAllBusinessTypes jsp a href request getContextPath wf edit bt bt typeID c out value businessType typeID,1
FlowTask private String taskState TASK STATE FREE,FlowTask hbm xml select bt typeID count from FlowTaskUser tu join tu flowTask task join tu flowTask flowNodeBinding flowDeploy workflowMeta businessType bt where tu userID and task taskState in group by bt,1
BusinessType private List workflowMetas new ArrayList,BusinessType hbm xml name workflowMetas,1
BusinessType private String typeName,BusinessType hbm xml name typeName,1
WorkflowMeta private Long flowMetaID new Long,seeFlowMeta jsp request getContextPath wf remove flow meta fm flowMetaID c out value workflowMeta flowMetaID,1
BusinessType private Long typeID new Long,listBusinessTypesToJoin jsp value c out value businessType typeID,1
WorkflowMeta private BusinessType businessType,WorkflowMeta hbm xml from WorkflowMeta wm WHERE wm businessType is null,1
WFDriverOutputParam private Long driverOutputParamID new Long,seeDriverDetail jsp onclick deleteOutputParam c out value theDriver flowDriverID c out value theOutputParam driverOutputParamID,1
WorkflowMeta private FlowMetaFile flowFileInUse,seeFlowMeta jsp fmt message key flowMeta create time c out value workflowMeta flowFileInUse createdTime,1
UserToken private String ipAddress,UserToken hbm xml name ipAddress,1
UserToken private String token,UserToken hbm xml name token,1
WorkflowMeta private Long flowMetaID new Long,seeFlowMeta jsp onclick window location replace request getContextPath wf preview image form fm flowMetaID c out value workflowMeta flowMetaID,1
WorkflowDriver private Long flowDriverID new Long,WorkflowDriver hbm xml name flowDriverID,1
WorkflowMeta private FlowMetaFile flowFileInUse,listAllBusinessTypes jsp c out value flowMeta flowFileInUse flowMetaName,1
BusinessType private String typeName,listAllBusinessTypes jsp c out value businessType typeName c out value businessType flowMetasNum,1
FlowTask private String taskState TASK STATE FREE,FlowTask hbm xml select count from FlowTaskUser tu join tu flowTask task join tu flowTask flowNodeBinding flowDeploy workflowMeta businessType bt where tu userID and task taskState in and bt typeID,1
WorkflowMeta private BusinessType businessType,FlowTask hbm xml select count from FlowTaskUser tu join tu flowTask task join tu flowTask flowNodeBinding flowDeploy workflowMeta businessType bt where tu userID and task taskState in and bt typeID,1
WorkflowNode private String nodeName,configNodePerformer jsp c out value currNode nodeName,1
FlowProc private Long flowProcID new Long,FlowTask hbm xml select task from FlowTask task join task flowProcTransaction flowProc flowProc where flowProc flowProcID,1
FlowNodeBinding private String performerDetail,FlowNodeBinding hbm xml name performerDetail,1
User private String realName,User hbm xml name realName,1
WorkflowEngineImpl private WorkflowDriverManager flowDriverManager,workflow engine context xml property name flowDriverManager ref bean workflowDriverManager property,1
EhCacheBasedResourceCache Cache cache,acegi context xml property name cache,1
FlowMetaFileDAOTest FlowMetaFile fmf,FlowMetaFile hbm xml from FlowMetaFile fmf order by fmf flowFileID asc,1
WorkflowMeta private BusinessType businessType,FlowTask hbm xml select bt typeID count from FlowTaskUser tu join tu flowTask task join tu flowTask flowNodeBinding flowDeploy workflowMeta businessType bt where tu userID and task taskState in group by bt,1
FlowTask private Integer sendEmail NEW TASK NOT EMAILED,FlowTask hbm xml name sendEmail,1
WorkflowNode private String nodeID,listFlowNodes jsp onClick changeColor this deployNode c out value theNode nodeID,1
FlowProcTransaction private Long transactionID new Long,FlowProcTransaction hbm xml name transactionID,1
FlowTask private String taskState TASK STATE FREE,FlowTask hbm xml select task from FlowTask task join task flowNodeBinding node where node nodeBindingID and task taskState,1
BusinessType private String typeName,listBusinessTypesToJoin jsp td align left c out value businessType typeName td,1
FlowTask private String taskState TASK STATE FREE,FlowTask hbm xml select bt typeID count from FlowTaskUser tu join tu flowTask task join tu flowTask flowNodeBinding flowDeploy workflowMeta businessType bt where tu userID and task taskState group by bt,1
DaoAuthenticationService private String authoritiesByUsernameQuery,acegi context xml property name authoritiesByUsernameQuery,1
Group private Long groupID new Long,Group hbm xml select user from User as user left join user groups as groups where groups groupID,1
DaoAuthenticationService private String loadUsersQuery,acegi context xml property name loadUsersQuery,1
UserToken private String lastAccessTime,UserToken hbm xml name lastAccessTime,1
WorkflowMeta private BusinessType businessType,FlowTask hbm xml select bt typeID count from FlowTaskUser tu join tu flowTask task join tu flowTask flowNodeBinding flowDeploy workflowMeta businessType bt where tu userID and task taskState group by bt,1
Resource private String actionURL,validation xml field property actionURL depends required mask maxlength,1
WorkflowMeta private Long flowMetaID new Long,listBusinessTypesToJoin jsp url request getContextPath wf see flow meta fm flowMetaID c out value flowMeta flowMetaID,1
FlowNodeOutputParamEnumeBinding private WFDriverOutputParamEnume wfDriverOutputParamEnume,FlowNodeOutputParamEnumeBinding hbm xml name wfDriverOutputParamEnume,1
Group private Long groupID new Long,Group hbm xml select g from Group as g order by g groupID,1
WorkflowMeta private BusinessType businessType,listBusinessTypesToJoin jsp c if test empty flowMeta businessType,1
BusinessType private Long typeID new Long,FlowTask hbm xml select count from FlowTaskUser tu join tu flowTask task join tu flowTask flowNodeBinding flowDeploy workflowMeta businessType bt where tu userID and task taskState in and bt typeID,1
FlowTask private String taskState TASK STATE FREE,FlowTask hbm xml select count from FlowTaskAssigner fta join fta flowTask task where fta userID and task taskState in,1
User private String userName,userForm jsp spring bind path user userName,1
