cache,EhCacheBasedResourceCache::powerstone\\src\\org\\powerstone\\acegi\\cache\\EhCacheBasedResourceCache.java::Cache cache;,1,"powerstone\web\WEB-INF\acegi_context.xml::acegi_context.xml::<property name=""cache"">::329",,,,,,,,,,,,,,,,,,,,,,,,,,
role,RoleRight::powerstone\\src\\org\\powerstone\\ca\\model\\RoleRight.java::private Role role;,2,"powerstone\src\org\powerstone\ca\model\RoleRight.hbm.xml::RoleRight.hbm.xml::name=""role""::45",powerstone\src\org\powerstone\ca\model\Role.hbm.xml::Role.hbm.xml::select rr from RoleRight as rr where rr.role.roleID = ? and rr.resource.id = ? and rr.privilege = ?::96,,,,,,,,,,,,,,,,,,,,,,,,,
businessType,WorkflowMeta::powerstone\\src\\org\\powerstone\\workflow\\model\\WorkflowMeta.java::private BusinessType businessType;,15,powerstone\src\org\powerstone\workflow\model\FlowTask.hbm.xml::FlowTask.hbm.xml::select bt.typeID*count(*) from FlowTaskUser tu join tu.flowTask task join tu.flowTask.flowNodeBinding.flowDeploy.workflowMeta.businessType bt where tu.userID = ? and task.taskState= ? group by bt::200,powerstone\src\org\powerstone\workflow\model\FlowTask.hbm.xml::FlowTask.hbm.xml::select count(*) from FlowTaskUser tu join tu.flowTask task join tu.flowTask.flowNodeBinding.flowDeploy.workflowMeta.businessType bt where tu.userID = ? and task.taskState in(?) and bt.typeID = ?::215,"powerstone\src\org\powerstone\workflow\model\WorkflowMeta.hbm.xml::WorkflowMeta.hbm.xml::name=""businessType""::82","powerstone\web\WEB-INF\views\business_type\listBusinessTypesToJoin.jsp::listBusinessTypesToJoin.jsp::<c:if test=""${empty flowMeta.businessType}"">::21",powerstone\src\org\powerstone\workflow\model\FlowTask.hbm.xml::FlowTask.hbm.xml::select task from FlowTaskUser tu join tu.flowTask task join tu.flowTask.flowNodeBinding.flowDeploy.workflowMeta.businessType bt where tu.userID = ? and bt.typeID = ? and task.taskState in(?*?) order by task.startTime desc::212,"powerstone\web\WEB-INF\views\business_type\listBusinessTypesToJoin.jsp::listBusinessTypesToJoin.jsp::'<c:out value=""${flowMeta.businessType.typeID}""/>'::19",powerstone\src\org\powerstone\workflow\model\FlowTask.hbm.xml::FlowTask.hbm.xml::select task from NewTask nt join nt.flowTask task join task.flowNodeBinding.flowDeploy.workflowMeta.businessType bt where nt.taskCandidateUserID = ? and bt.typeID = ? and task.taskState in(?) order by task.createTime desc::209,"powerstone\web\WEB-INF\views\business_type\listBusinessTypesToJoin.jsp::listBusinessTypesToJoin.jsp::<c:if test=""${flowMeta.businessType.typeID == businessType.typeID}"">::82",powerstone\src\org\powerstone\workflow\model\WorkflowMeta.hbm.xml::WorkflowMeta.hbm.xml::from WorkflowMeta wm WHERE wm.businessType is null::104,powerstone\src\org\powerstone\workflow\model\FlowTask.hbm.xml::FlowTask.hbm.xml::select task from FlowTaskUser tu join tu.flowTask task join tu.flowTask.flowNodeBinding.flowDeploy.workflowMeta.businessType bt where tu.userID = ? and bt.typeID = ? and task.taskState in(?) order by task.overTime desc::218,"powerstone\web\WEB-INF\views\business_type\listBusinessTypesToJoin.jsp::listBusinessTypesToJoin.jsp::<c:if test=""${!empty flowMeta.businessType}"">::81","powerstone\web\WEB-INF\views\business_type\listBusinessTypesToJoin.jsp::listBusinessTypesToJoin.jsp::<c:if test=""${!empty flowMeta.businessType}"">::18",powerstone\src\org\powerstone\workflow\model\FlowTask.hbm.xml::FlowTask.hbm.xml::select count(*) from NewTask nt join nt.flowTask task join task.flowNodeBinding.flowDeploy.workflowMeta.businessType bt where nt.taskCandidateUserID = ? and task.taskState in(?) and bt.typeID = ?::203,powerstone\src\org\powerstone\workflow\model\FlowTask.hbm.xml::FlowTask.hbm.xml::select bt.typeID*count(*) from FlowTaskUser tu join tu.flowTask task join tu.flowTask.flowNodeBinding.flowDeploy.workflowMeta.businessType bt where tu.userID = ? and task.taskState in (?*?) group by bt::182,powerstone\src\org\powerstone\workflow\model\FlowTask.hbm.xml::FlowTask.hbm.xml::select count(*) from FlowTaskUser tu join tu.flowTask task join tu.flowTask.flowNodeBinding.flowDeploy.workflowMeta.businessType bt where tu.userID = ? and task.taskState in(?*?) and bt.typeID = ?::206,powerstone\src\org\powerstone\workflow\model\FlowTask.hbm.xml::FlowTask.hbm.xml::select bt.typeID*count(*) from NewTask nt join nt.flowTask task join task.flowNodeBinding.flowDeploy.workflowMeta.businessType bt where nt.taskCandidateUserID = ? and task.taskState in (?) group by bt::179,,,,,,,,,,,
typeID,BusinessType::powerstone\\src\\org\\powerstone\\workflow\\model\\BusinessType.java::private Long typeID = new Long( -1);,27,"powerstone\web\WEB-INF\views\work_list\listTaskKinds.jsp::listTaskKinds.jsp::href='<%=request.getContextPath()%>/list_executing_tasks.wl?typeID=<c:out value=""${businessType.typeID}""/>'>::78","powerstone\web\WEB-INF\views\business_type\businessTypeForm.jsp::businessTypeForm.jsp::<spring:bind path=""businessType.typeID"">::33","powerstone\src\org\powerstone\workflow\model\BusinessType.hbm.xml::BusinessType.hbm.xml::name=""typeID""::15","powerstone\web\WEB-INF\views\business_type\listAllBusinessTypes.jsp::listAllBusinessTypes.jsp::<a href='<%=request.getContextPath()%>/wf/edit_bt.bt?typeID=<c:out value=""${businessType.typeID}""/>'::85",powerstone\src\org\powerstone\workflow\model\FlowTask.hbm.xml::FlowTask.hbm.xml::select count(*) from FlowTaskUser tu join tu.flowTask task join tu.flowTask.flowNodeBinding.flowDeploy.workflowMeta.businessType bt where tu.userID = ? and task.taskState in(?) and bt.typeID = ?::215,"powerstone\web\WEB-INF\views\work_list\listTaskKinds.jsp::listTaskKinds.jsp::<a target=""right"" onclick=changeColor('exe_<c:out value=""${businessType.typeID}""/>')::77","powerstone\web\WEB-INF\views\business_type\listBusinessTypesToJoin.jsp::listBusinessTypesToJoin.jsp::'<c:out value=""${flowMeta.businessType.typeID}""/>'::19",powerstone\src\org\powerstone\workflow\model\BusinessType.hbm.xml::BusinessType.hbm.xml::from BusinessType bt order by bt.typeID asc::64,"powerstone\web\WEB-INF\views\business_type\listBusinessTypesToJoin.jsp::listBusinessTypesToJoin.jsp::onclick=""selectMe('<c:out value=""${businessType.typeID}""/>')"" /></td>::87",powerstone\src\org\powerstone\workflow\model\FlowTask.hbm.xml::FlowTask.hbm.xml::select bt.typeID*count(*) from FlowTaskUser tu join tu.flowTask task join tu.flowTask.flowNodeBinding.flowDeploy.workflowMeta.businessType bt where tu.userID = ? and task.taskState in (?*?) group by bt::182,powerstone\src\org\powerstone\workflow\model\FlowTask.hbm.xml::FlowTask.hbm.xml::select bt.typeID*count(*) from FlowTaskUser tu join tu.flowTask task join tu.flowTask.flowNodeBinding.flowDeploy.workflowMeta.businessType bt where tu.userID = ? and task.taskState= ? group by bt::200,"powerstone\web\WEB-INF\views\work_list\listTaskKinds.jsp::listTaskKinds.jsp::<a target=""right""  class=""tablelinke"" onclick=changeColor('finished_<c:out value=""${businessType.typeID}""/>')::117","powerstone\web\WEB-INF\views\business_type\listBusinessTypesToJoin.jsp::listBusinessTypesToJoin.jsp::value='<c:out value=""${businessType.typeID}""/>'::86","powerstone\web\WEB-INF\views\work_list\listTaskKinds.jsp::listTaskKinds.jsp::href='<%=request.getContextPath()%>/list_finished_tasks.wl?typeID=<c:out value=""${businessType.typeID}""/>'>::118","powerstone\web\WEB-INF\views\work_list\listTaskKinds.jsp::listTaskKinds.jsp::<c:out value=""${businessType.typeName}""/>(<font color=""#FF0000"" id='finished_<c:out value=""${businessType.typeID}""/>'>::119","powerstone\web\WEB-INF\views\work_list\listTaskKinds.jsp::listTaskKinds.jsp::<c:out value=""${businessType1.typeName}""/>(<font color=""#FF0000"" id='new_<c:out value=""${businessType1.typeID}""/>'>::62",powerstone\src\org\powerstone\workflow\model\FlowTask.hbm.xml::FlowTask.hbm.xml::select task from FlowTaskUser tu join tu.flowTask task join tu.flowTask.flowNodeBinding.flowDeploy.workflowMeta.businessType bt where tu.userID = ? and bt.typeID = ? and task.taskState in(?*?) order by task.startTime desc::212,"powerstone\web\WEB-INF\views\work_list\listTaskKinds.jsp::listTaskKinds.jsp::<c:out value=""${businessType.typeName}""/>(<font color=""#FF0000"" id='exe_<c:out value=""${businessType.typeID}""/>'>::79",powerstone\src\org\powerstone\workflow\model\FlowTask.hbm.xml::FlowTask.hbm.xml::select task from NewTask nt join nt.flowTask task join task.flowNodeBinding.flowDeploy.workflowMeta.businessType bt where nt.taskCandidateUserID = ? and bt.typeID = ? and task.taskState in(?) order by task.createTime desc::209,"powerstone\web\WEB-INF\views\work_list\listTaskKinds.jsp::listTaskKinds.jsp::<a target=""right"" onclick=changeColor('new_<c:out value=""${businessType1.typeID}""/>')::60","powerstone\web\WEB-INF\views\business_type\listBusinessTypesToJoin.jsp::listBusinessTypesToJoin.jsp::<c:if test=""${flowMeta.businessType.typeID == businessType.typeID}"">::82",powerstone\src\org\powerstone\workflow\model\FlowTask.hbm.xml::FlowTask.hbm.xml::select task from FlowTaskUser tu join tu.flowTask task join tu.flowTask.flowNodeBinding.flowDeploy.workflowMeta.businessType bt where tu.userID = ? and bt.typeID = ? and task.taskState in(?) order by task.overTime desc::218,"powerstone\web\WEB-INF\views\work_list\listTaskKinds.jsp::listTaskKinds.jsp::href='<%=request.getContextPath()%>/list_new_tasks.wl?typeID=<c:out value=""${businessType1.typeID}""/>'>::61",powerstone\src\org\powerstone\workflow\model\FlowTask.hbm.xml::FlowTask.hbm.xml::select count(*) from NewTask nt join nt.flowTask task join task.flowNodeBinding.flowDeploy.workflowMeta.businessType bt where nt.taskCandidateUserID = ? and task.taskState in(?) and bt.typeID = ?::203,"powerstone\web\WEB-INF\views\business_type\businessTypeForm.jsp::businessTypeForm.jsp::<c:if test=""${not empty typeID}"">::53",powerstone\src\org\powerstone\workflow\model\FlowTask.hbm.xml::FlowTask.hbm.xml::select count(*) from FlowTaskUser tu join tu.flowTask task join tu.flowTask.flowNodeBinding.flowDeploy.workflowMeta.businessType bt where tu.userID = ? and task.taskState in(?*?) and bt.typeID = ?::206,powerstone\src\org\powerstone\workflow\model\FlowTask.hbm.xml::FlowTask.hbm.xml::select bt.typeID*count(*) from NewTask nt join nt.flowTask task join task.flowNodeBinding.flowDeploy.workflowMeta.businessType bt where nt.taskCandidateUserID = ? and task.taskState in (?) group by bt::179
password,User::powerstone\\src\\org\\powerstone\\ca\\model\\User.java::private String password;,6,"powerstone\web\WEB-INF\views\user_group\userForm.jsp::userForm.jsp::<spring:bind path=""user.password"">::89","powerstone\web\WEB-INF\validation.xml::validation.xml::<field property=""password"" depends=""twofields*minlength"">::33","powerstone\web\WEB-INF\views\user_group\userForm.jsp::userForm.jsp::<spring:bind path=""user.password"">::69","powerstone\src\org\powerstone\ca\model\User.hbm.xml::User.hbm.xml::name=""password""::39","powerstone\web\WEB-INF\views\user_group\userForm.jsp::userForm.jsp::<input type=""password"" class=""input1"" name=""<c:out value=""${status.expression}""/>""::70","powerstone\web\WEB-INF\views\user_group\userForm.jsp::userForm.jsp::<input type=""password"" class=""input1"" name=""<c:out value=""${status.expression}""/>"" value=""<c:out value=""${status.value}""/>""/>::81",,,,,,,,,,,,,,,,,,,,,
groupID,Group::powerstone\\src\\org\\powerstone\\ca\\model\\Group.java::private Long groupID = new Long( -1);,5,powerstone\src\org\powerstone\ca\model\Group.hbm.xml::Group.hbm.xml::select user from User as user left join user.groups as groups where groups.groupID = ?::118,powerstone\src\org\powerstone\ca\model\Group.hbm.xml::Group.hbm.xml::select gr from GroupRight as gr where gr.group.groupID = ? and gr.resource.id = ? and gr.privilege = ?::121,"powerstone\src\org\powerstone\ca\model\Group.hbm.xml::Group.hbm.xml::name=""groupID""::15",powerstone\src\org\powerstone\ca\model\Group.hbm.xml::Group.hbm.xml::select g from Group as g order by g.groupID::115,"powerstone\web\WEB-INF\views\user_group\groupForm.jsp::groupForm.jsp::<spring:bind path=""group.groupID"">::38",,,,,,,,,,,,,,,,,,,,,,
email,User::powerstone\\src\\org\\powerstone\\ca\\model\\User.java::private String email;,5,powerstone\src\org\powerstone\ca\model\User.hbm.xml::User.hbm.xml::select u from User as u where u.email = ?::183,"powerstone\web\WEB-INF\views\user_group\userForm.jsp::userForm.jsp::<spring:bind path=""user.email"">::114","powerstone\web\WEB-INF\views\user_group\myInfoForm.jsp::myInfoForm.jsp::<spring:bind path=""user.email"">::67","powerstone\src\org\powerstone\ca\model\User.hbm.xml::User.hbm.xml::name=""email""::62","powerstone\web\WEB-INF\validation.xml::validation.xml::<field property=""email"" depends=""required*email"">::52",,,,,,,,,,,,,,,,,,,,,,
taskState,FlowTask::powerstone\\src\\org\\powerstone\\workflow\\model\\FlowTask.java::private String taskState = TASK_STATE_FREE;,17,powerstone\src\org\powerstone\workflow\model\FlowTask.hbm.xml::FlowTask.hbm.xml::select bt.typeID*count(*) from FlowTaskUser tu join tu.flowTask task join tu.flowTask.flowNodeBinding.flowDeploy.workflowMeta.businessType bt where tu.userID = ? and task.taskState= ? group by bt::200,powerstone\src\org\powerstone\workflow\model\FlowTask.hbm.xml::FlowTask.hbm.xml::select task from FlowTaskAssigner fta join fta.flowTask task where fta.userID = ? and task.taskState in (?)::188,powerstone\src\org\powerstone\workflow\model\FlowTask.hbm.xml::FlowTask.hbm.xml::select count(*) from FlowTaskUser tu join tu.flowTask task join tu.flowTask.flowNodeBinding.flowDeploy.workflowMeta.businessType bt where tu.userID = ? and task.taskState in(?) and bt.typeID = ?::215,"powerstone\src\org\powerstone\workflow\model\FlowTask.hbm.xml::FlowTask.hbm.xml::name=""taskState""::30",powerstone\src\org\powerstone\workflow\model\FlowTask.hbm.xml::FlowTask.hbm.xml::select task from FlowTaskUser tu join tu.flowTask task join tu.flowTask.flowNodeBinding.flowDeploy.workflowMeta.businessType bt where tu.userID = ? and bt.typeID = ? and task.taskState in(?*?) order by task.startTime desc::212,powerstone\src\org\powerstone\workflow\model\FlowTask.hbm.xml::FlowTask.hbm.xml::select task from FlowTask task where task.taskState in (?)::185,powerstone\src\org\powerstone\workflow\model\FlowTask.hbm.xml::FlowTask.hbm.xml::select task from NewTask nt join nt.flowTask task join task.flowNodeBinding.flowDeploy.workflowMeta.businessType bt where nt.taskCandidateUserID = ? and bt.typeID = ? and task.taskState in(?) order by task.createTime desc::209,powerstone\src\org\powerstone\workflow\model\FlowTask.hbm.xml::FlowTask.hbm.xml::select task from FlowTask task where task.taskState in (?) and task.sendEmail = ?::197,powerstone\src\org\powerstone\workflow\model\FlowTask.hbm.xml::FlowTask.hbm.xml::select task from FlowTaskUser tu join tu.flowTask task join tu.flowTask.flowNodeBinding.flowDeploy.workflowMeta.businessType bt where tu.userID = ? and bt.typeID = ? and task.taskState in(?) order by task.overTime desc::218,powerstone\src\org\powerstone\workflow\model\FlowTask.hbm.xml::FlowTask.hbm.xml::select count(*) from FlowTaskAssigner fta join fta.flowTask task where fta.userID = ? and task.taskState in (?)::191,powerstone\src\org\powerstone\workflow\model\FlowTask.hbm.xml::FlowTask.hbm.xml::select count(*) from NewTask nt join nt.flowTask task join task.flowNodeBinding.flowDeploy.workflowMeta.businessType bt where nt.taskCandidateUserID = ? and task.taskState in(?) and bt.typeID = ?::203,powerstone\src\org\powerstone\workflow\model\FlowProc.hbm.xml::FlowProc.hbm.xml::select theFP from FlowProc theFP where theFP.flowProcID in (select fp.flowProcID from FlowTask ft join ft.flowProcTransaction.flowProc fp where fp.flowDeploy.flowDeployID = ? and ft.taskState not in (?) group by fp having count(ft) >0)::121,powerstone\src\org\powerstone\workflow\model\FlowTask.hbm.xml::FlowTask.hbm.xml::select bt.typeID*count(*) from FlowTaskUser tu join tu.flowTask task join tu.flowTask.flowNodeBinding.flowDeploy.workflowMeta.businessType bt where tu.userID = ? and task.taskState in (?*?) group by bt::182,powerstone\src\org\powerstone\workflow\model\FlowTask.hbm.xml::FlowTask.hbm.xml::select count(*) from FlowTaskUser tu join tu.flowTask task join tu.flowTask.flowNodeBinding.flowDeploy.workflowMeta.businessType bt where tu.userID = ? and task.taskState in(?*?) and bt.typeID = ?::206,powerstone\src\org\powerstone\workflow\model\FlowTask.hbm.xml::FlowTask.hbm.xml::select bt.typeID*count(*) from NewTask nt join nt.flowTask task join task.flowNodeBinding.flowDeploy.workflowMeta.businessType bt where nt.taskCandidateUserID = ? and task.taskState in (?) group by bt::179,powerstone\src\org\powerstone\workflow\model\FlowTask.hbm.xml::FlowTask.hbm.xml::select task from FlowTaskUser tu join tu.flowTask task where task.taskState in (?) and tu.userID = ?::194,powerstone\src\org\powerstone\workflow\model\FlowTask.hbm.xml::FlowTask.hbm.xml::select task from FlowTask task join task.flowNodeBinding node where node.nodeBindingID = ? and task.taskState = ?::176,,,,,,,,,,
flowMetaID,WorkflowMeta::powerstone\\src\\org\\powerstone\\workflow\\model\\WorkflowMeta.java::private Long flowMetaID = new Long( -1);,11,"powerstone\web\WEB-INF\views\flow_meta\seeFlowMeta.jsp::seeFlowMeta.jsp::""<%=request.getContextPath()%>/wf/remove_flow_meta.fm?flowMetaID=<c:out value=""${workflowMeta.flowMetaID}""/>"";::129","powerstone\web\WEB-INF\views\flow_meta\seeFlowMeta.jsp::seeFlowMeta.jsp::onclick=""window.location.replace('<%=request.getContextPath()%>/wf/preview_image_form.fm?flowMetaID=<c:out value=""${workflowMeta.flowMetaID}""/>');""/>::182","powerstone\web\WEB-INF\views\business_type\listBusinessTypesToJoin.jsp::listBusinessTypesToJoin.jsp::url=""<%=request.getContextPath()%>/wf/see_flow_meta.fm?flowMetaID=<c:out value=""${flowMeta.flowMetaID}""/>"";::41","powerstone\src\org\powerstone\workflow\model\WorkflowMeta.hbm.xml::WorkflowMeta.hbm.xml::name=""flowMetaID""::15","powerstone\web\WEB-INF\views\business_type\listBusinessTypesToJoin.jsp::listBusinessTypesToJoin.jsp::<input type=""hidden"" name=""flowMetaID"" value='<c:out value=""${flowMeta.flowMetaID}""/>'/>::74","powerstone\web\WEB-INF\views\business_type\listAllBusinessTypes.jsp::listAllBusinessTypes.jsp::<a href=""#"" onclick=""changeSonColor('other-<c:out value=""${idee.count}""/>'*'<c:out value=""${flowMeta.flowMetaID}""/>')"">::120","powerstone\web\WEB-INF\views\flow_meta\seeFlowMeta.jsp::seeFlowMeta.jsp::'<%=request.getContextPath()%>/wf/list_bt_to_join.bt?flowMetaID=<c:out value=""${workflowMeta.flowMetaID}""/>');::21","powerstone\web\WEB-INF\views\business_type\listAllBusinessTypes.jsp::listAllBusinessTypes.jsp::<a onclick=""changeSonColor('<c:out value=""${ide.count}""/>-<c:out value=""${idee.count}""/>'*'<c:out value=""${flowMeta.flowMetaID}""/>')"">::98","powerstone\web\WEB-INF\views\flow_meta\seeFlowMeta.jsp::seeFlowMeta.jsp::href='<%=request.getContextPath()%>/wf/preview_big.fm?flowMetaID=<c:out value=""${workflowMeta.flowMetaID}""/>'::166",powerstone\src\org\powerstone\workflow\model\WorkflowMeta.hbm.xml::WorkflowMeta.hbm.xml::from WorkflowMeta wm order by wm.flowMetaID asc::98,"powerstone\web\WEB-INF\views\flow_meta\seeFlowMeta.jsp::seeFlowMeta.jsp::><img src='<%=request.getContextPath()%>/wf/preview_flow_meta.fm?flowMetaID=<c:out value=""${workflowMeta.flowMetaID}""/>'::167",,,,,,,,,,,,,,,,
flowDeployID,FlowDeploy::powerstone\\src\\org\\powerstone\\workflow\\model\\FlowDeploy.java::private Long flowDeployID = new Long( -1);,3,powerstone\src\org\powerstone\workflow\model\FlowProc.hbm.xml::FlowProc.hbm.xml::select theFP from FlowProc theFP where theFP.flowProcID in (select fp.flowProcID from FlowTask ft join ft.flowProcTransaction.flowProc fp where fp.flowDeploy.flowDeployID = ? and ft.taskState not in (?) group by fp having count(ft) >0)::121,"powerstone\src\org\powerstone\workflow\model\FlowDeploy.hbm.xml::FlowDeploy.hbm.xml::name=""flowDeployID""::15","powerstone\web\WEB-INF\views\flow_deploy\flowDeployForm.jsp::flowDeployForm.jsp::<spring:bind path=""flowDeploy.flowDeployID"">::33",,,,,,,,,,,,,,,,,,,,,,,,
groups,User::powerstone\\src\\org\\powerstone\\ca\\model\\User.java::private List groups = new ArrayList();,2,powerstone\src\org\powerstone\ca\model\Group.hbm.xml::Group.hbm.xml::select user from User as user left join user.groups as groups where groups.groupID = ?::118,"powerstone\src\org\powerstone\ca\model\User.hbm.xml::User.hbm.xml::name=""groups""::86",,,,,,,,,,,,,,,,,,,,,,,,,
webModuleID,WebModule::powerstone\\src\\org\\powerstone\\ca\\model\\WebModule.java::private Long webModuleID = new Long( -1);,3,"powerstone\web\WEB-INF\views\resource_manage\webModuleForm.jsp::webModuleForm.jsp::<input type=""hidden"" name=""webModuleID"" value=""<c:out value=""${status.value}""/>""/>::40","powerstone\src\org\powerstone\ca\model\WebModule.hbm.xml::WebModule.hbm.xml::name=""webModuleID""::15","powerstone\web\WEB-INF\views\resource_manage\webModuleForm.jsp::webModuleForm.jsp::<spring:bind path=""webModule.webModuleID"">::39",,,,,,,,,,,,,,,,,,,,,,,,
roles,User::powerstone\\src\\org\\powerstone\\ca\\model\\User.java::private List roles = new ArrayList();,1,"powerstone\src\org\powerstone\ca\model\User.hbm.xml::User.hbm.xml::name=""roles""::106",,,,,,,,,,,,,,,,,,,,,,,,,,
