cache,EhCacheBasedResourceCache.java,powerstone\\src\\org\\powerstone\\acegi\\cache\\EhCacheBasedResourceCache.java,"<property name=""cache"">",329,acegi_context.xml,powerstone\web\WEB-INF\acegi_context.xml
role,RoleRight.java,powerstone\\src\\org\\powerstone\\ca\\model\\RoleRight.java,"name=""role""",45,RoleRight.hbm.xml,powerstone\src\org\powerstone\ca\model\RoleRight.hbm.xml
role,RoleRight.java,powerstone\\src\\org\\powerstone\\ca\\model\\RoleRight.java,select rr from RoleRight as rr where rr.role.roleID = ? and rr.resource.id = ? and rr.privilege = ?,96,Role.hbm.xml,powerstone\src\org\powerstone\ca\model\Role.hbm.xml
businessType,WorkflowMeta.java,powerstone\\src\\org\\powerstone\\workflow\\model\\WorkflowMeta.java,select bt.typeID*count(*) from FlowTaskUser tu join tu.flowTask task join tu.flowTask.flowNodeBinding.flowDeploy.workflowMeta.businessType bt where tu.userID = ? and task.taskState= ? group by bt,200,FlowTask.hbm.xml,powerstone\src\org\powerstone\workflow\model\FlowTask.hbm.xml
businessType,WorkflowMeta.java,powerstone\\src\\org\\powerstone\\workflow\\model\\WorkflowMeta.java,select count(*) from FlowTaskUser tu join tu.flowTask task join tu.flowTask.flowNodeBinding.flowDeploy.workflowMeta.businessType bt where tu.userID = ? and task.taskState in(?) and bt.typeID = ?,215,FlowTask.hbm.xml,powerstone\src\org\powerstone\workflow\model\FlowTask.hbm.xml
businessType,WorkflowMeta.java,powerstone\\src\\org\\powerstone\\workflow\\model\\WorkflowMeta.java,"name=""businessType""",82,WorkflowMeta.hbm.xml,powerstone\src\org\powerstone\workflow\model\WorkflowMeta.hbm.xml
businessType,WorkflowMeta.java,powerstone\\src\\org\\powerstone\\workflow\\model\\WorkflowMeta.java,"<c:if test=""${empty flowMeta.businessType}"">",21,listBusinessTypesToJoin.jsp,powerstone\web\WEB-INF\views\business_type\listBusinessTypesToJoin.jsp
businessType,WorkflowMeta.java,powerstone\\src\\org\\powerstone\\workflow\\model\\WorkflowMeta.java,select task from FlowTaskUser tu join tu.flowTask task join tu.flowTask.flowNodeBinding.flowDeploy.workflowMeta.businessType bt where tu.userID = ? and bt.typeID = ? and task.taskState in(?*?) order by task.startTime desc,212,FlowTask.hbm.xml,powerstone\src\org\powerstone\workflow\model\FlowTask.hbm.xml
businessType,WorkflowMeta.java,powerstone\\src\\org\\powerstone\\workflow\\model\\WorkflowMeta.java,"<c:out value=""${flowMeta.businessType.typeID}""/>'",19,listBusinessTypesToJoin.jsp,powerstone\web\WEB-INF\views\business_type\listBusinessTypesToJoin.jsp
businessType,WorkflowMeta.java,powerstone\\src\\org\\powerstone\\workflow\\model\\WorkflowMeta.java,select task from NewTask nt join nt.flowTask task join task.flowNodeBinding.flowDeploy.workflowMeta.businessType bt where nt.taskCandidateUserID = ? and bt.typeID = ? and task.taskState in(?) order by task.createTime desc,209,FlowTask.hbm.xml,powerstone\src\org\powerstone\workflow\model\FlowTask.hbm.xml
businessType,WorkflowMeta.java,powerstone\\src\\org\\powerstone\\workflow\\model\\WorkflowMeta.java,"<c:if test=""${flowMeta.businessType.typeID == businessType.typeID}"">",82,listBusinessTypesToJoin.jsp,powerstone\web\WEB-INF\views\business_type\listBusinessTypesToJoin.jsp
businessType,WorkflowMeta.java,powerstone\\src\\org\\powerstone\\workflow\\model\\WorkflowMeta.java,from WorkflowMeta wm WHERE wm.businessType is null,104,WorkflowMeta.hbm.xml,powerstone\src\org\powerstone\workflow\model\WorkflowMeta.hbm.xml
businessType,WorkflowMeta.java,powerstone\\src\\org\\powerstone\\workflow\\model\\WorkflowMeta.java,select task from FlowTaskUser tu join tu.flowTask task join tu.flowTask.flowNodeBinding.flowDeploy.workflowMeta.businessType bt where tu.userID = ? and bt.typeID = ? and task.taskState in(?) order by task.overTime desc,218,FlowTask.hbm.xml,powerstone\src\org\powerstone\workflow\model\FlowTask.hbm.xml
businessType,WorkflowMeta.java,powerstone\\src\\org\\powerstone\\workflow\\model\\WorkflowMeta.java,"<c:if test=""${!empty flowMeta.businessType}"">",81,listBusinessTypesToJoin.jsp,powerstone\web\WEB-INF\views\business_type\listBusinessTypesToJoin.jsp
businessType,WorkflowMeta.java,powerstone\\src\\org\\powerstone\\workflow\\model\\WorkflowMeta.java,"<c:if test=""${!empty flowMeta.businessType}"">",18,listBusinessTypesToJoin.jsp,powerstone\web\WEB-INF\views\business_type\listBusinessTypesToJoin.jsp
businessType,WorkflowMeta.java,powerstone\\src\\org\\powerstone\\workflow\\model\\WorkflowMeta.java,select count(*) from NewTask nt join nt.flowTask task join task.flowNodeBinding.flowDeploy.workflowMeta.businessType bt where nt.taskCandidateUserID = ? and task.taskState in(?) and bt.typeID = ?,203,FlowTask.hbm.xml,powerstone\src\org\powerstone\workflow\model\FlowTask.hbm.xml
businessType,WorkflowMeta.java,powerstone\\src\\org\\powerstone\\workflow\\model\\WorkflowMeta.java,select bt.typeID*count(*) from FlowTaskUser tu join tu.flowTask task join tu.flowTask.flowNodeBinding.flowDeploy.workflowMeta.businessType bt where tu.userID = ? and task.taskState in (?*?) group by bt,182,FlowTask.hbm.xml,powerstone\src\org\powerstone\workflow\model\FlowTask.hbm.xml
businessType,WorkflowMeta.java,powerstone\\src\\org\\powerstone\\workflow\\model\\WorkflowMeta.java,select count(*) from FlowTaskUser tu join tu.flowTask task join tu.flowTask.flowNodeBinding.flowDeploy.workflowMeta.businessType bt where tu.userID = ? and task.taskState in(?*?) and bt.typeID = ?,206,FlowTask.hbm.xml,powerstone\src\org\powerstone\workflow\model\FlowTask.hbm.xml
businessType,WorkflowMeta.java,powerstone\\src\\org\\powerstone\\workflow\\model\\WorkflowMeta.java,select bt.typeID*count(*) from NewTask nt join nt.flowTask task join task.flowNodeBinding.flowDeploy.workflowMeta.businessType bt where nt.taskCandidateUserID = ? and task.taskState in (?) group by bt,179,FlowTask.hbm.xml,powerstone\src\org\powerstone\workflow\model\FlowTask.hbm.xml
typeID,BusinessType.java,powerstone\\src\\org\\powerstone\\workflow\\model\\BusinessType.java,"href='<%=request.getContextPath()%>/list_executing_tasks.wl?typeID=<c:out value=""${businessType.typeID}""/>'>",78,listTaskKinds.jsp,powerstone\web\WEB-INF\views\work_list\listTaskKinds.jsp
typeID,BusinessType.java,powerstone\\src\\org\\powerstone\\workflow\\model\\BusinessType.java,"<spring:bind path=""businessType.typeID"">",33,businessTypeForm.jsp,powerstone\web\WEB-INF\views\business_type\businessTypeForm.jsp
