url,FormSample::sagan\\sagan-site\\src\\main\\java\\sagan\\site\\projects\\admin\\ProjectFormSamples.java::private String url;,2,"sagan\sagan-site\src\main\resources\templates\admin\project\edit-samples.html::edit-samples.html::<td><input class=""input"" type=""text"" data-th-field=""*{newSample.url}""/></td>::83","sagan\sagan-site\src\main\resources\templates\admin\project\edit-samples.html::edit-samples.html::<td><input class=""input"" type=""text"" data-th-field=""*{samples[__${sampleStat.index}__].url}""/>::75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
name,FormGeneration::sagan\\sagan-site\\src\\main\\java\\sagan\\site\\projects\\admin\\ProjectFormGenerations.java::private String name;,4,"sagan\sagan-site\src\main\resources\templates\admin\project\edit-support.html::edit-support.html::data-th-errors=""*{newGeneration.name}"">Name must end with '.x'</p></td>::79","sagan\sagan-site\src\main\resources\templates\admin\project\edit-support.html::edit-support.html::<p class=""help is-danger"" data-th-if=""${#fields.hasErrors('newGeneration.name')}""::78","sagan\sagan-site\src\main\resources\templates\admin\project\edit-support.html::edit-support.html::<td><input class=""input"" type=""text"" data-th-field=""*{newGeneration.name}"" placeholder=""2.1.x or Name.x""/>::77","sagan\sagan-site\src\main\resources\templates\admin\project\edit-support.html::edit-support.html::<td><input type=""hidden"" data-th-field=""*{generations[__${generationStat.index}__].name}""/><span data-th-text=""${generation.name}"">2.1.x</span></td>::66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
name,ProjectFormMetadata::sagan\\sagan-site\\src\\main\\java\\sagan\\site\\projects\\admin\\ProjectFormMetadata.java::String name;,4,"sagan\sagan-site\src\main\resources\templates\admin\project\edit-metadata.html::edit-metadata.html::<p class=""help is-danger"" data-th-if=""${#fields.hasErrors('name')}"" data-th-errors=""*{name}"">Incorrect::65","sagan\sagan-site\src\main\resources\templates\admin\project\new.html::new.html::type=""text"" data-th-field=""*{name}"" name=""name"" placeholder=""Name"">::40","sagan\sagan-site\src\main\resources\templates\admin\project\new.html::new.html::<p class=""help is-danger"" data-th-if=""${#fields.hasErrors('name')}"" data-th-errors=""*{name}"">Incorrect::41","sagan\sagan-site\src\main\resources\templates\admin\project\edit-metadata.html::edit-metadata.html::type=""text"" data-th-field=""*{name}"" name=""name"" placeholder=""Name"">::64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
name,ProjectGroup::sagan\\sagan-site\\src\\main\\java\\sagan\\site\\projects\\ProjectGroup.java::private String name;,2,"sagan\sagan-site\src\main\resources\templates\admin\project\edit-info.html::edit-info.html::<option data-th-each=""group : ${groups}"" data-th-value=""${group.name}"" data-th-text=""${group.label}"">::99","sagan\sagan-site\src\main\resources\templates\projects\index.html::index.html::<li class='blue pointer rad-5 border-box flex jc-between ai-center' data-th-each=""group : ${groups}"" data-th-attr=""data-group=${group.name}"" data-th-inline=""text"">[[${group.label}]]<img class='filter-exit'data-th-src=""@{/images/close.svg}"" alt=''></li>::26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
name,Project::sagan\\sagan-site\\src\\main\\java\\sagan\\site\\projects\\Project.java::private String name;,6,"sagan\sagan-site\src\main\resources\templates\guides\gs\guide.html::guide.html::<li data-th-each=""project : ${projects}""><a data-th-href=""${project.display.siteUrl}"" data-th-text=""${project.name}"">Spring Framework</a></li>::57","sagan\sagan-site\src\main\resources\templates\projects\index.html::index.html::<h3 class='h3 m-0 antialiased' data-th-text=""${project.name}"">Spring Boot</h3>::53","sagan\sagan-site\src\main\resources\templates\projects\index.html::index.html::<h3 class='h3 m-0 antialiased' data-th-text=""${project.name}"">Spring Boot</h3>::36","sagan\sagan-site\src\main\resources\templates\projects\index.html::index.html::<h3 class='h3 blue m-0 antialiased' data-th-text=""${project.name}"">Spring Boot</h3>::68","sagan\sagan-site\src\main\resources\templates\projects\index.html::index.html::<h3 class='h3 m-0 antialiased' data-th-text=""${project.name}"">Spring Kubernetes</h3>::20","sagan\sagan-site\src\main\resources\templates\admin\project\index.html::index.html::<td><a data-th-href=""@{'/admin/projects/' + ${project.id}}"" data-th-text=""${project.name}"">spring-framework</a></td>::34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
name,MemberProfile::sagan\\sagan-site\\src\\main\\java\\sagan\\site\\team\\MemberProfile.java::private String name;,12,"sagan\sagan-site\src\main\resources\templates\learn\index.html::index.html::<p><span class='author' data-th-text=""${newestPost.author.name}"">Author Name</span> |::19","sagan\sagan-site\src\main\resources\templates\learn\index.html::index.html::<p><span class='author' data-th-text=""${post.author.name}"">Author Name</span> |::26","sagan\sagan-site\src\main\resources\templates\blog\_full_post.html::_full_post.html::<a class=""author"" rel=""author"" data-th-text=""${post.author.name}"" data-th-href=""@{'/team/'+${post.author.username}}"" data-th-unless=""${post.author.hidden}"">Author</a>::19","sagan\sagan-site\src\main\resources\templates\blog\index.html::index.html::<span class='author' data-th-text=""${post.author.name}"" data-th-if=""${post.author.hidden}"">Author</span>::85","sagan\sagan-site\src\main\resources\templates\blog\index.html::index.html::<span class='author' data-th-text=""${newestPost.author.name}"" data-th-if=""${newestPost.author.hidden}"">Author</span>::45","sagan\sagan-site\src\main\resources\templates\blog\index.html::index.html::<a class='author' data-th-text=""${newestPost.author.name}""::43","sagan\sagan-site\src\main\resources\templates\blog\_full_post.html::_full_post.html::<span class='author' data-th-text=""${post.author.name}"" data-th-if=""${post.author.hidden}"">Author</span>::20","sagan\sagan-site\src\main\resources\templates\blog\index.html::index.html::<a class='author' data-th-text=""${post.author.name}""::83","sagan\sagan-site\src\main\resources\templates\admin\blog\_posts_table.html::_posts_table.html::<span data-th-text=""${post.author.name}"">Emily Spring</span>::19","sagan\sagan-site\src\main\resources\templates\admin\team\edit.html::edit.html::<p class=""help is-danger"" data-th-if=""${#fields.hasErrors('name')}"" data-th-errors=""*{name}"">Incorrect::24","sagan\sagan-site\src\main\resources\templates\admin\team\edit.html::edit.html::<p class=""help is-danger"" data-th-if=""${#fields.hasErrors('jobTitle')}"" data-th-errors=""*{name}"">Incorrect::34","sagan\sagan-site\src\main\resources\templates\admin\team\edit.html::edit.html::type=""text"" data-th-field=""*{name}"" name=""name"" placeholder=""Name"">::23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
title,FormSample::sagan\\sagan-site\\src\\main\\java\\sagan\\site\\projects\\admin\\ProjectFormSamples.java::private String title;,2,"sagan\sagan-site\src\main\resources\templates\admin\project\edit-samples.html::edit-samples.html::<td><input class=""input"" type=""text"" data-th-field=""*{newSample.title}"" value=""true""/></td>::81","sagan\sagan-site\src\main\resources\templates\admin\project\edit-samples.html::edit-samples.html::<td><input class=""input"" type=""text"" data-th-field=""*{samples[__${sampleStat.index}__].title}""/>::71",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
title,Post::sagan\\sagan-site\\src\\main\\java\\sagan\\site\\blog\\Post.java::private String title;,12,"sagan\sagan-site\src\main\resources\templates\blog\show.html::show.html::<meta property=""og:title"" data-th-content=""${post.title}"">::18","sagan\sagan-site\src\main\resources\templates\blog\index.html::index.html::<a data-th-href=""@{${post.path}}"" data-th-text=""${post.title}"">::70","sagan\sagan-site\src\main\resources\templates\blog\show.html::show.html::<meta name=""twitter:title"" data-th-content=""${post.title}"">::10","sagan\sagan-site\src\main\resources\templates\admin\blog\_posts_table.html::_posts_table.html::<td><a data-th-href=""@{${post.editPath}}"" data-th-text=""${post.title}"">This week in Spring</a></td>::13","sagan\sagan-site\src\main\resources\templates\blog\index.html::index.html::<h2 class='blog--title'><a data-th-href=""@{${newestPost.path}}"" data-th-text=""${newestPost.title}"">Blog post title</a></h2>::33","sagan\sagan-site\src\main\resources\templates\learn\index.html::index.html::<a class='blue h3 antialiased link-darken' data-th-href=""@{${newestPost.path}}"" data-th-text=""${newestPost.title}"">Newest blog post title</a>::18","sagan\sagan-site\src\main\resources\templates\team\show.html::show.html::class=""member-post--title"" data-th-text=""${post.title}"">::81","sagan\sagan-site\src\main\resources\templates\learn\index.html::index.html::<a class='blue h3 antialiased link-darken' data-th-href=""@{${post.path}}"" data-th-text=""${post.title}"">Blog post title</a>::25","sagan\sagan-site\src\main\resources\templates\admin\blog\new.html::new.html::<p class=""help is-danger"" data-th-if=""${#fields.hasErrors('title')}"" data-th-errors=""*{title}"">Incorrect::22","sagan\sagan-site\src\main\resources\templates\admin\blog\new.html::new.html::type=""text"" data-th-field=""*{title}"" name=""title"" placeholder=""Blog post title"">::21","sagan\sagan-site\src\main\resources\templates\admin\blog\new.html::new.html::<input class=""input"" data-th-classappend=""(${#fields.hasErrors('title')}? ' is-danger')""::20","sagan\sagan-site\src\main\resources\templates\blog\show.html::show.html::<div class=""desktop-only"" data-th-unless=""${title}"">::29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
post,PostView::sagan\\sagan-site\\src\\main\\java\\sagan\\site\\blog\\support\\PostView.java::private final Post post;,55,"sagan\sagan-site\src\main\resources\templates\blog\show.html::show.html::<meta name=""twitter:creator"" data-th-if=""${post.author.hasTwitterUsername()}""::12","sagan\sagan-site\src\main\resources\templates\blog\index.html::index.html::data-th-text=""${post.category}"">Category</a>::78","sagan\sagan-site\src\main\resources\templates\blog\index.html::index.html::data-th-text='${#dates.format(post.publishAt* ""MMMM d* yyyy"")}'>June 18* 2013::90","sagan\sagan-site\src\main\resources\templates\blog\show.html::show.html::<div data-th-object=""${post}"">::26","sagan\sagan-site\src\main\resources\templates\admin\blog\_posts_table.html::_posts_table.html::<span class=""tag is-primary"" data-th-text=""${post.category}"">News</span>::23","sagan\sagan-site\src\main\resources\templates\blog\index.html::index.html::<span class='author' data-th-text=""${post.author.name}"" data-th-if=""${post.author.hidden}"">Author</span>::85","sagan\sagan-site\src\main\resources\templates\blog\show.html::show.html::<meta property=""og:description"" data-th-content=""${post.renderedSummary}"">::21","sagan\sagan-site\src\main\resources\templates\team\show.html::show.html::<div data-th-class=""${'meta-data--icon icon blog-icon '+ #strings.toLowerCase(post.category).replace(' '*'-')}""></div>::85","sagan\sagan-site\src\main\resources\templates\blog\show.html::show.html::<meta property=""og:title"" data-th-content=""${post.title}"">::18","sagan\sagan-site\src\main\resources\templates\blog\index.html::index.html::<a data-th-href=""@{${post.path}}"" data-th-text=""${post.title}"">::70","sagan\sagan-site\src\main\resources\templates\blog\index.html::index.html::<a class='comments' data-th-attr=""data-disqus-identifier=${post.id}""::95","sagan\sagan-site\src\main\resources\templates\admin\blog\_posts_table.html::_posts_table.html::<a class='author' data-th-href=""@{'/team/'+${post.author.username}}"">::15","sagan\sagan-site\src\main\resources\templates\blog\index.html::index.html::<div data-th-utext=""${post.renderedSummary}"">::100","sagan\sagan-site\src\main\resources\templates\blog\show.html::show.html::<meta name=""twitter:image:src"" data-th-unless=""${#strings.isEmpty(post.author.avatarUrl)}""::14","sagan\sagan-site\src\main\resources\templates\blog\index.html::index.html::data-th-if=""${post.showReadMore()}"">::105","sagan\sagan-site\src\main\resources\templates\blog\show.html::show.html::<meta property=""og:article:published_time"" data-th-content=""${post.publishAt}"">::23","sagan\sagan-site\src\main\resources\templates\blog\show.html::show.html::<meta name=""twitter:title"" data-th-content=""${post.title}"">::10","sagan\sagan-site\src\main\resources\templates\team\show.html::show.html::data-th-text='${#dates.format(post.publishAt* ""MMMM d* yyyy"")}'>June::93","sagan\sagan-site\src\main\resources\templates\team\show.html::show.html::data-th-if=""${post.showReadMore()}"">::105","sagan\sagan-site\src\main\resources\templates\blog\_full_post.html::_full_post.html::data-th-href=""@{/admin/blog/{id}-{slug}/edit(id=${post.id}*slug=${slug})}"">Edit blog post</a></span>::7","sagan\sagan-site\src\main\resources\templates\blog\index.html::index.html::<article class=""blog--container blog-preview"" data-th-each=""post : ${posts}"">::68","sagan\sagan-site\src\main\resources\templates\blog\index.html::index.html::data-th-href=""@{${post.path} + '#disqus_thread'}"">0 Comment</a>::96","sagan\sagan-site\src\main\resources\templates\blog\show.html::show.html::<meta property=""og:image"" data-th-unless=""${#strings.isEmpty(post.author.avatarUrl)}""::19","sagan\sagan-site\src\main\resources\templates\team\show.html::show.html::<time class='date' pubdate data-th-datetime=""${post.publishAt}""::92","sagan\sagan-site\src\main\resources\templates\blog\index.html::index.html::data-th-href=""@{'/team/'+${post.author.username}}"" data-th-unless=""${post.author.hidden}"">Author</a>::84","sagan\sagan-site\src\main\resources\templates\team\show.html::show.html::<article class=""member-post--container"" data-th-each=""post : ${posts}"">::78","sagan\sagan-site\src\main\resources\templates\blog\_full_post.html::_full_post.html::<img class=""meta-data--icon"" data-th-src=""@{${post.author.avatarUrl} + '?s=20&amp;d=mm'}"" />::18","sagan\sagan-site\src\main\resources\templates\blog\index.html::index.html::<time class='date' pubdate data-th-datetime=""${post.publishAt}""::89","sagan\sagan-site\src\main\resources\templates\team\show.html::show.html::<a class=""member-post--title-link"" data-th-href=""@{${post.path}}""><h2::80","sagan\sagan-site\src\main\resources\templates\team\show.html::show.html::data-th-href=""@{'/blog/category/'+${post.category.urlSlug}}""::87","sagan\sagan-site\src\main\resources\templates\blog\show.html::show.html::<meta name=""twitter:description"" data-th-content=""${post.renderedSummary}"">::11","sagan\sagan-site\src\main\resources\templates\blog\_full_post.html::_full_post.html::<a class=""author"" rel=""author"" data-th-text=""${post.author.name}"" data-th-href=""@{'/team/'+${post.author.username}}"" data-th-unless=""${post.author.hidden}"">Author</a>::19","sagan\sagan-site\src\main\resources\templates\admin\blog\_posts_table.html::_posts_table.html::<td data-th-text=""${post.formattedPublishDate}"">January 01* 2020</td>::25","sagan\sagan-site\src\main\resources\templates\blog\show.html::show.html::data-th-content=""${post.author.avatarUrl} + '?s=200'"">::20","sagan\sagan-site\src\main\resources\templates\blog\index.html::index.html::<a class=""blog-preview--readmore desktop-only"" data-th-href=""@{${post.path}}""::104","sagan\sagan-site\src\main\resources\templates\admin\blog\index.html::index.html::<tr data-th-each=""post : ${posts}"" data-th-insert=""admin/blog/_posts_table post-row""></tr>::77","sagan\sagan-site\src\main\resources\templates\team\show.html::show.html::<a class=""blog-preview--readmore"" data-th-href=""@{${post.path}}""::104","sagan\sagan-site\src\main\resources\templates\team\show.html::show.html::data-th-text=""${post.category}"">Category</a>::88","sagan\sagan-site\src\main\resources\templates\admin\blog\_posts_table.html::_posts_table.html::<td><a data-th-href=""@{${post.editPath}}"" data-th-text=""${post.title}"">This week in Spring</a></td>::13","sagan\sagan-site\src\main\resources\templates\blog\index.html::index.html::<div data-th-class=""${'meta-data--icon icon blog-icon '+ #strings.toLowerCase(post.category).replace(' '*'-')}""></div>::76","sagan\sagan-site\src\main\resources\templates\admin\blog\index.html::index.html::<tr data-th-each=""post : ${scheduled}"" data-th-insert=""admin/blog/_posts_table post-row"">::66","sagan\sagan-site\src\main\resources\templates\blog\show.html::show.html::data-th-content=""${post.author.avatarUrl} + '?s=200'"">::15","sagan\sagan-site\src\main\resources\templates\blog\_full_post.html::_full_post.html::<span class='author' data-th-text=""${post.author.name}"" data-th-if=""${post.author.hidden}"">Author</span>::20","sagan\sagan-site\src\main\resources\templates\blog\_full_post.html::_full_post.html::<time class='date' pubdate data-th-datetime=""${post.publishAt}"" data-th-text='${post.formattedPublishDate}'>June 18* 2013</time>::24","sagan\sagan-site\src\main\resources\templates\blog\_full_post.html::_full_post.html::<div data-th-class=""${'meta-data--icon icon blog-icon '+ #strings.toLowerCase(post.category).replace(' '*'-')}""></div>::14","sagan\sagan-site\src\main\resources\templates\admin\blog\index.html::index.html::<tr data-th-each=""post : ${drafts}"" data-th-insert=""admin/blog/_posts_table post-row"">::56","sagan\sagan-site\src\main\resources\templates\blog\index.html::index.html::<a class='author' data-th-text=""${post.author.name}""::83","sagan\sagan-site\src\main\resources\templates\admin\blog\_posts_table.html::_posts_table.html::<span data-th-text=""${post.author.name}"">Emily Spring</span>::19","sagan\sagan-site\src\main\resources\templates\blog\_full_post.html::_full_post.html::<a class='category' data-th-href=""@{'/blog/category/' + *{category.urlSlug}}"" data-th-text=""${post.category}"">Category</a>::15","sagan\sagan-site\src\main\resources\templates\team\show.html::show.html::class=""member-post--title"" data-th-text=""${post.title}"">::81","sagan\sagan-site\src\main\resources\templates\blog\index.html::index.html::data-th-src=""@{${post.author.avatarUrl} + '?s=20&amp;d=mm'}""/>::82","sagan\sagan-site\src\main\resources\templates\blog\index.html::index.html::<a class='category' data-th-href=""@{'/blog/category/'+${post.category.urlSlug}}""::77","sagan\sagan-site\src\main\resources\templates\team\show.html::show.html::<section data-th-utext=""${post.renderedSummary}"" class='member-post--summary'>This has::100","sagan\sagan-site\src\main\resources\templates\blog\_full_post.html::_full_post.html::<a class='comments' data-th-attr=""data-disqus-identifier=${post.id}"" data-th-href=""@{${post.path} + '#disqus_thread'}"">0 Comment</a>::28","sagan\sagan-site\src\main\resources\templates\blog\show.html::show.html::data-th-content=""'@' + ${post.author.twitterUsername}"">::13"
hidden,MemberProfile::sagan\\sagan-site\\src\\main\\java\\sagan\\site\\team\\MemberProfile.java::private boolean hidden;,7,"sagan\sagan-site\src\main\resources\templates\blog\_full_post.html::_full_post.html::<a class=""author"" rel=""author"" data-th-text=""${post.author.name}"" data-th-href=""@{'/team/'+${post.author.username}}"" data-th-unless=""${post.author.hidden}"">Author</a>::19","sagan\sagan-site\src\main\resources\templates\blog\index.html::index.html::data-th-href=""@{'/team/'+${newestPost.author.username}}"" data-th-unless=""${newestPost.author.hidden}"">Author</a>::44","sagan\sagan-site\src\main\resources\templates\blog\index.html::index.html::<span class='author' data-th-text=""${post.author.name}"" data-th-if=""${post.author.hidden}"">Author</span>::85","sagan\sagan-site\src\main\resources\templates\blog\_full_post.html::_full_post.html::<span class='author' data-th-text=""${post.author.name}"" data-th-if=""${post.author.hidden}"">Author</span>::20","sagan\sagan-site\src\main\resources\templates\blog\index.html::index.html::<span class='author' data-th-text=""${newestPost.author.name}"" data-th-if=""${newestPost.author.hidden}"">Author</span>::45","sagan\sagan-site\src\main\resources\templates\blog\index.html::index.html::data-th-href=""@{'/team/'+${post.author.username}}"" data-th-unless=""${post.author.hidden}"">Author</a>::84","sagan\sagan-site\src\main\resources\templates\admin\team\edit.html::edit.html::<label class=""checkbox""><input class=""checkbox"" type=""checkbox"" data-th-field=""*{hidden}""::40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,PageElement::sagan\\sagan-site\\src\\main\\java\\sagan\\site\\support\\nav\\PageElement.java::private final String label;,4,"sagan\sagan-site\src\main\resources\templates\admin\blog\index.html::index.html::data-th-href=""@{/admin/blog(page=${element.label})}"" data-th-text=""${element.label}"">1</a>::90","sagan\sagan-site\src\main\resources\templates\blog\index.html::index.html::<a data-th-href=""@{/blog(page=${element.label})}"" data-th-text=""${element.label}""::115","sagan\sagan-site\src\main\resources\templates\blog\index.html::index.html::<div data-th-text=""${element.label}""::119","sagan\sagan-site\src\main\resources\templates\blog\index.html::index.html::<div data-th-text=""${element.label}"" data-th-if=""${!element.navigable && element.currentPage}""::117",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,ProjectGroup::sagan\\sagan-site\\src\\main\\java\\sagan\\site\\projects\\ProjectGroup.java::private String label;,1,"sagan\sagan-site\src\main\resources\templates\admin\project\edit-info.html::edit-info.html::<option data-th-each=""group : ${groups}"" data-th-value=""${group.name}"" data-th-text=""${group.label}"">::99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,SpringToolsDownload::sagan\\sagan-site\\src\\main\\java\\sagan\\site\\tools\\SpringToolsDownload.java::private String label;,5,"sagan\sagan-site\src\main\resources\templates\tools\list.html::list.html::data-th-href=""${download.downloadUrl}""><strong data-th-text=""|${download.label} ${download.version}|"">Spring Tools 4</strong><br><span class='smaller thin tt-none'>VSCode Marketplace</span></a>::40","sagan\sagan-site\src\main\resources\templates\admin\tools\edit.html::edit.html::<td><input class=""input"" type=""text"" data-th-field=""*{downloads[__${downloadStat.index}__].label}""/></td>::40","sagan\sagan-site\src\main\resources\templates\admin\tools\edit.html::edit.html::<td><input class=""input"" type=""text"" data-th-field=""*{downloads[__${size}__].label}""/></td>::47","sagan\sagan-site\src\main\resources\templates\tools\list.html::list.html::data-th-each=""download : ${theia.downloads}"" data-th-href=""${download.downloadUrl}""><strong data-th-text=""|${download.label} ${download.version}|"">Spring Tools 4</strong><br><span class='smaller thin tt-none'>Installation for Theia</span></a>::53","sagan\sagan-site\src\main\resources\templates\tools\list.html::list.html::data-th-href=""${download.downloadUrl}"" data-th-text=""|${download.version} ${download.label}|"">v4.5 STS4 Linux 64-bit</a>::26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
description,FormSample::sagan\\sagan-site\\src\\main\\java\\sagan\\site\\projects\\admin\\ProjectFormSamples.java::private String description;,2,"sagan\sagan-site\src\main\resources\templates\admin\project\edit-samples.html::edit-samples.html::<td><textarea class=""textarea"" data-th-field=""*{newSample.description}""></textarea></td>::82","sagan\sagan-site\src\main\resources\templates\admin\project\edit-samples.html::edit-samples.html::data-th-field=""*{samples[__${sampleStat.index}__].description}""></textarea></td>::74",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
author,Post::sagan\\sagan-site\\src\\main\\java\\sagan\\site\\blog\\Post.java::private MemberProfile author;,21,"sagan\sagan-site\src\main\resources\templates\blog\show.html::show.html::<meta name=""twitter:creator"" data-th-if=""${post.author.hasTwitterUsername()}""::12","sagan\sagan-site\src\main\resources\templates\learn\index.html::index.html::<p><span class='author' data-th-text=""${newestPost.author.name}"">Author Name</span> |::19","sagan\sagan-site\src\main\resources\templates\blog\_full_post.html::_full_post.html::<a class=""author"" rel=""author"" data-th-text=""${post.author.name}"" data-th-href=""@{'/team/'+${post.author.username}}"" data-th-unless=""${post.author.hidden}"">Author</a>::19","sagan\sagan-site\src\main\resources\templates\blog\show.html::show.html::<meta name=""twitter:image:src"" data-th-unless=""${#strings.isEmpty(post.author.avatarUrl)}""::14","sagan\sagan-site\src\main\resources\templates\blog\index.html::index.html::<a class='author' data-th-text=""${post.author.name}""::83","sagan\sagan-site\src\main\resources\templates\blog\show.html::show.html::data-th-content=""${post.author.avatarUrl} + '?s=200'"">::20","sagan\sagan-site\src\main\resources\templates\blog\index.html::index.html::data-th-href=""@{'/team/'+${newestPost.author.username}}"" data-th-unless=""${newestPost.author.hidden}"">Author</a>::44","sagan\sagan-site\src\main\resources\templates\admin\blog\_posts_table.html::_posts_table.html::<span data-th-text=""${post.author.name}"">Emily Spring</span>::19","sagan\sagan-site\src\main\resources\templates\blog\index.html::index.html::<a class='author' data-th-text=""${newestPost.author.name}""::43","sagan\sagan-site\src\main\resources\templates\blog\index.html::index.html::<span class='author' data-th-text=""${post.author.name}"" data-th-if=""${post.author.hidden}"">Author</span>::85","sagan\sagan-site\src\main\resources\templates\blog\index.html::index.html::data-th-src=""@{${post.author.avatarUrl} + '?s=20&amp;d=mm'}""/>::82","sagan\sagan-site\src\main\resources\templates\blog\index.html::index.html::<span class='author' data-th-text=""${newestPost.author.name}"" data-th-if=""${newestPost.author.hidden}"">Author</span>::45","sagan\sagan-site\src\main\resources\templates\learn\index.html::index.html::<p><span class='author' data-th-text=""${post.author.name}"">Author Name</span> |::26","sagan\sagan-site\src\main\resources\templates\blog\show.html::show.html::<meta property=""og:image"" data-th-unless=""${#strings.isEmpty(post.author.avatarUrl)}""::19","sagan\sagan-site\src\main\resources\templates\blog\index.html::index.html::data-th-href=""@{'/team/'+${post.author.username}}"" data-th-unless=""${post.author.hidden}"">Author</a>::84","sagan\sagan-site\src\main\resources\templates\blog\_full_post.html::_full_post.html::<img class=""meta-data--icon"" data-th-src=""@{${post.author.avatarUrl} + '?s=20&amp;d=mm'}"" />::18","sagan\sagan-site\src\main\resources\templates\blog\index.html::index.html::data-th-src=""@{${newestPost.author.avatarUrl} + '?s=20&amp;d=mm'}""/>::42","sagan\sagan-site\src\main\resources\templates\blog\show.html::show.html::data-th-content=""'@' + ${post.author.twitterUsername}"">::13","sagan\sagan-site\src\main\resources\templates\admin\blog\_posts_table.html::_posts_table.html::<a class='author' data-th-href=""@{'/team/'+${post.author.username}}"">::15","sagan\sagan-site\src\main\resources\templates\blog\show.html::show.html::data-th-content=""${post.author.avatarUrl} + '?s=200'"">::15","sagan\sagan-site\src\main\resources\templates\blog\_full_post.html::_full_post.html::<span class='author' data-th-text=""${post.author.name}"" data-th-if=""${post.author.hidden}"">Author</span>::20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
