javaclassnum,fieldsprob,fieldsavg,fieldssum
0,0.3333333333333333,5.5,33
0,0.3333333333333333,5.5,33
0,0.3333333333333333,5.5,33
0,0.3333333333333333,5.5,33
0,0.3333333333333333,5.5,33
0,0.3333333333333333,5.5,33
0,0.3333333333333333,5.5,33
0,0.3333333333333333,5.5,33
0,0.3333333333333333,5.5,33
0,0.3333333333333333,5.5,33
0,0.3333333333333333,5.5,33
0,0.3333333333333333,5.5,33
0,0.3333333333333333,5.5,33
0,0.3333333333333333,5.5,33
1,1.0,2.0,2
1,1.0,1.0,3
1,1.0,3.6666666666666665,11
1,1.0,1.0,2
0,0.5,1.8333333333333333,11
1,1.0,3.6666666666666665,11
1,1.0,1.0,3
1,1.0,1.0,2
0,0.5,1.8333333333333333,11
2,0.4,1.6,8
2,0.4,0.8,4
1,0.6666666666666666,2.0,6
1,0.25,1.25,5
1,1.0,3.6666666666666665,11
1,1.0,1.0,3
1,0.4,0.6,3
1,0.5,0.6666666666666666,4
1,0.5,0.6666666666666666,4
1,0.3333333333333333,0.3333333333333333,2
0,0.625,1.625,13
0,1.0,1.0,4
0,0.5,0.625,5
1,0.3333333333333333,0.3333333333333333,2
1,0.4,0.4,2
0,1.0,16.0,16
0,1.0,16.0,16
0,1.0,16.0,16
0,1.0,16.0,16
0,1.0,16.0,16
0,1.0,16.0,16
0,1.0,16.0,16
0,1.0,16.0,16
0,1.0,16.0,16
0,1.0,16.0,16
0,1.0,16.0,16
0,1.0,16.0,16
0,1.0,16.0,16
0,1.0,16.0,16
0,0.6666666666666666,1.0,3
0,0.3333333333333333,0.6666666666666666,2
0,1.0,1.0,3
0,1.0,3.6666666666666665,11
0,0.3333333333333333,0.3333333333333333,2
0,1.0,5.0,10
0,1.0,3.6666666666666665,11
0,1.0,1.0,3
0,0.3333333333333333,0.3333333333333333,2
0,1.0,5.0,10
0,0.4,1.6,8
0,0.4,1.6,8
0,0.4,1.6,8
0,0.3333333333333333,0.3333333333333333,1
0,0.4,0.8,4
0,0.4,0.8,4
0,0.4,0.8,4
0,0.3333333333333333,0.3333333333333333,1
0,1.0,3.6666666666666665,11
0,1.0,1.0,3
0,0.125,0.25,2
0,0.125,0.25,2
0,0.5,0.5,1
0,0.2857142857142857,0.2857142857142857,2
0,0.2857142857142857,0.2857142857142857,2
0,0.5,0.5,1
