version,User.java,springside\\examples\\showcase\\src\\main\\java\\org\\springside\\examples\\showcase\\common\\entity\\User.java,"<input type=""hidden"" name=""workingVersion"" value=""${version}""/>",24,user-input.jsp,springside\examples\showcase\src\main\webapp\WEB-INF\content\common\user-input.jsp
sql,JdbcLogWriter.java,springside\\examples\\showcase\\src\\main\\java\\org\\springside\\examples\\showcase\\log\\appender\\JdbcLogWriter.java,"<property name=""sql"">",17,applicationContext-log.xml,springside\examples\showcase\src\main\resources\log\applicationContext-log.xml
enabled,AutoLoginFilter.java,springside\\examples\\showcase\\src\\main\\java\\org\\springside\\examples\\showcase\\security\\AutoLoginFilter.java,"<property name=""enabled"" value=""${security.autologin.enabled}"" />",42,applicationContext-security.xml,springside\examples\showcase\src\main\resources\security\applicationContext-security.xml
order,Page.java,springside\\modules\\core\\src\\main\\java\\org\\springside\\modules\\orm\\Page.java,"<input type=""hidden"" name=""page.order"" id=""order"" value=""${page.order}""/>",25,user.jsp,springside\examples\mini-web\src\main\webapp\WEB-INF\content\account\user.jsp
order,Page.java,springside\\modules\\core\\src\\main\\java\\org\\springside\\modules\\orm\\Page.java,"<input type=""hidden"" name=""page.order"" id=""order"" value=""${symbol_dollar}{page.order}""/>",28,user.jsp,springside\tools\maven\archetype\src\main\resources\archetype-resources\src\main\webapp\WEB-INF\content\account\user.jsp
port,JmxClientService.java,springside\\examples\\showcase\\src\\main\\java\\org\\springside\\examples\\showcase\\jmx\\client\\JmxClientService.java,"<property name=""port"" value=""${jmx.rmi_port}"" />",10,applicationContext-jmx-client.xml,springside\examples\showcase\src\main\resources\jmx\applicationContext-jmx-client.xml
host,JmxClientService.java,springside\\examples\\showcase\\src\\main\\java\\org\\springside\\examples\\showcase\\jmx\\client\\JmxClientService.java,"<property name=""host"" value=""${server.addr}"" />",9,applicationContext-jmx-client.xml,springside\examples\showcase\src\main\resources\jmx\applicationContext-jmx-client.xml
pageNo,Page.java,springside\\modules\\core\\src\\main\\java\\org\\springside\\modules\\orm\\Page.java,"<input type=""hidden"" name=""page.pageNo"" id=""pageNo"" value=""${page.pageNo}""/>",23,user.jsp,springside\examples\mini-web\src\main\webapp\WEB-INF\content\account\user.jsp
pageNo,Page.java,springside\\modules\\core\\src\\main\\java\\org\\springside\\modules\\orm\\Page.java,"<input type=""hidden"" name=""page.pageNo"" id=""pageNo"" value=""${symbol_dollar}{page.pageNo}""/>",26,user.jsp,springside\tools\maven\archetype\src\main\resources\archetype-resources\src\main\webapp\WEB-INF\content\account\user.jsp
allRoleList,RoleAction.java,springside\\examples\\mini-web\\src\\main\\java\\org\\springside\\examples\\miniweb\\web\\account\\RoleAction.java,"<s:iterator value=""allRoleList"">",32,role.jsp,springside\tools\maven\archetype\src\main\resources\archetype-resources\src\main\webapp\WEB-INF\content\account\user.jsp
allRoleList,RoleAction.java,springside\\examples\\mini-web\\src\\main\\java\\org\\springside\\examples\\miniweb\\web\\account\\RoleAction.java,"<s:iterator value=""allRoleList"">",35,role.jsp,springside\tools\maven\archetype\src\main\resources\archetype-resources\src\main\webapp\WEB-INF\content\account\role.jsp
authorityList,Role.java,springside\\examples\\mini-web\\src\\main\\java\\org\\springside\\examples\\miniweb\\entity\\account\\Role.java,"<cache name=""${package}.entity.account.Role.authorityList"" maxElementsInMemory=""10000""",20,ehcache-hibernate-local.xml,springside\tools\maven\archetype\src\main\resources\archetype-resources\src\main\resources\ehcache\ehcache-hibernate-local.xml
authorityList,Role.java,springside\\examples\\mini-web\\src\\main\\java\\org\\springside\\examples\\miniweb\\entity\\account\\Role.java,"<cache name=""org.springside.examples.miniweb.entity.account.Role.authorityList"" maxElementsInMemory=""10000""",17,ehcache-hibernate-local.xml,springside\examples\mini-web\src\main\resources\ehcache\ehcache-hibernate-local.xml
orderBy,Page.java,springside\\modules\\core\\src\\main\\java\\org\\springside\\modules\\orm\\Page.java,"<input type=""hidden"" name=""page.orderBy"" id=""orderBy"" value=""${page.orderBy}""/>",24,user.jsp,springside\examples\mini-web\src\main\webapp\WEB-INF\content\account\user.jsp
orderBy,Page.java,springside\\modules\\core\\src\\main\\java\\org\\springside\\modules\\orm\\Page.java,"<input type=""hidden"" name=""page.orderBy"" id=""orderBy"" value=""${symbol_dollar}{page.orderBy}""/>",27,user.jsp,springside\tools\maven\archetype\src\main\resources\archetype-resources\src\main\webapp\WEB-INF\content\account\user.jsp
failureUrl,JCaptchaFilter.java,springside\\modules\\extension\\src\\main\\java\\org\\springside\\modules\\security\\jcaptcha\\JCaptchaFilter.java,<param-name>failureUrl</param-name>,92,web.xml,springside\examples\showcase\src\test\resources\web.xml
failureUrl,JCaptchaFilter.java,springside\\modules\\extension\\src\\main\\java\\org\\springside\\modules\\security\\jcaptcha\\JCaptchaFilter.java,<param-name>failureUrl</param-name>,81,web.xml,springside\examples\showcase\src\main\webapp\WEB-INF\web.xml
result,Page.java,springside\\modules\\core\\src\\main\\java\\org\\springside\\modules\\orm\\Page.java,"<s:iterator value=""page.result"">",48,user.jsp,springside\tools\maven\archetype\src\main\resources\archetype-resources\src\main\webapp\WEB-INF\content\account\user.jsp
result,Page.java,springside\\modules\\core\\src\\main\\java\\org\\springside\\modules\\orm\\Page.java,"<s:iterator value=""page.result"">",45,user.jsp,springside\examples\mini-web\src\main\webapp\WEB-INF\content\account\user.jsp
queueSize,QueuesHolder.java,springside\\examples\\showcase\\src\\main\\java\\org\\springside\\examples\\showcase\\queue\\QueuesHolder.java,"<property name=""queueSize"" value=""1000"" />",10,applicationContext-log.xml,springside\examples\showcase\src\main\resources\log\applicationContext-log.xml
cronExpression,SpringCronJob.java,springside\\examples\\showcase\\src\\main\\java\\org\\springside\\examples\\showcase\\schedule\\SpringCronJob.java,"<property name=""cronExpression"" value=""* 15 9-17 * * MON-FRI""/>",21,applicationContext-executor.xml,springside\examples\showcase\src\main\resources\schedule\applicationContext-executor.xml
autoPassValue,JCaptchaFilter.java,springside\\modules\\extension\\src\\main\\java\\org\\springside\\modules\\security\\jcaptcha\\JCaptchaFilter.java,<param-name>autoPassValue</param-name>,97,web.xml,springside\examples\showcase\src\test\resources\web.xml
autoPassValue,JCaptchaFilter.java,springside\\modules\\extension\\src\\main\\java\\org\\springside\\modules\\security\\jcaptcha\\JCaptchaFilter.java,<param-name>autoPassValue</param-name>,86,web.xml,springside\examples\showcase\src\main\webapp\WEB-INF\web.xml
searchUserSql,UserJdbcDao.java,springside\\examples\\showcase\\src\\main\\java\\org\\springside\\examples\\showcase\\common\\dao\\UserJdbcDao.java,"<property name=""searchUserSql"">",9,applicationContext-jdbc.xml,springside\examples\showcase\src\main\resources\common\applicationContext-jdbc.xml
