label,cosine_sim,Euclidean_dist,pearson,manhattanDisSim,cosine_sim1,Euclidean_dist1,lcsSim,diceSim,editSim,levenSim,jaroSim,jaroWinklerSim
1,0.7938566201357354,2.449489742783178,0.0,6,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.8043996665398437,2.449489742783178,0.0,6,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.8017837257372732,2.23606797749979,0.0,5,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.8043996665398437,2.449489742783178,0.0,6,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.915810939779251,2.23606797749979,0.0,5,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.8017837257372732,2.23606797749979,0.0,5,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.816496580927726,2.23606797749979,0.0,5,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.8451542547285166,2.0,0.0,4,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.7905694150420948,2.449489742783178,0.0,6,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.8017837257372732,2.23606797749979,0.0,5,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.7947194142390263,2.6457513110645907,0.0,7,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.8819171036881969,2.0,0.0,4,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.8366600265340756,2.449489742783178,0.0,6,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.8257228238447705,2.6457513110645907,0.0,7,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.82915619758885,2.23606797749979,0.0,5,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.8017837257372732,2.23606797749979,0.0,5,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.8717797887081347,2.449489742783178,0.0,6,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.8660254037844386,1.7320508075688772,0.0,3,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.8043996665398437,2.449489742783178,0.0,6,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.816496580927726,2.449489742783178,0.0,6,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.8017837257372732,2.23606797749979,0.0,5,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.816496580927726,2.449489742783178,0.0,6,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.8164965809277261,2.8284271247461903,0.0,8,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.806225774829855,2.6457513110645907,0.0,7,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.8451542547285166,2.0,0.0,4,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.7947194142390263,2.6457513110645907,0.0,7,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.8257228238447705,2.6457513110645907,0.0,7,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
