BranchMainCtrl private BranchListCtrl branchListCtrl,applicationContext guiControllers xml property name branchListCtrl ref branchListCtrl,1,zksample2\zkoss\src\main\java\de\forsthaus\webui\branch\BranchMainCtrl.java,zksample2\zkoss\src\main\resources\applicationContext-guiControllers.xml,branchListCtrl,http www springframework org schema beans w XMLSchema instance aop tx context p spring xsd applicationContextProvider de forsthaus util ApplicationContextProvider indexCtrl webui index IndexCtrl basisCtrl prototype officeService testCtrl example TestCtrl pagedListWrapperBranche pagedListWrapper pagedListWrapperCustomer dashboardMainCtrl dashboard DashboardMainCtrl articleMainCtrl article ArticleMainCtrl articleListCtrl articleDetailCtrl ArticleListCtrl basisListCtrl ArticleDetailCtrl branchMainCtrl branch BranchMainCtrl brancheService branchListCtrl branchDetailCtrl BranchListCtrl BranchDetailCtrl customerListCtrl customer CustomerListCtrl customerService customerDialogCtrl CustomerDialogCtrl chartService customerChartCtrl CustomerChartCtrl customerSearchCtrl CustomerSearchCtrl guestBookListCtrl guestbook GuestBookListCtrl guestBookService guestBookDialogCtrl GuestBookDialogCtrl calendarMainCtrl calendar CalendarMainCtrl calendarEventService createEventCtrl CalendarCreateEventCtrl editEventCtrl CalendarEditEventCtrl documentationCtrl documentation DocumentationCtrl blogCtrl blog BlogCtrl codesCtrl codes CodesCtrl officeMainCtrl office OfficeMainCtrl officeListCtrl officeDetailCtrl OfficeListCtrl OfficeDetailCtrl orderListCtrl order OrderListCtrl orderService plwOrders plwOrderpositions plwCustomers orderDialogCtrl OrderDialogCtrl orderPositionDialogCtrl OrderPositionDialogCtrl plwArticles userListCtrl security user UserListCtrl userService userDialogCtrl UserDialogCtrl myUserSettingsCtrl MyUserSettingsCtrl secLoginlogMainCtrl logging loginlog SecLoginlogMainCtrl loginLoggingService secLoginlogListCtrl SecLoginlogListCtrl guiLoginLoggingService secLoginlogStatisticCtrl SecLoginlogStatisticCtrl secGroupListCtrl group SecGroupListCtrl securityService secGroupDialogCtrl SecGroupDialogCtrl secGrouprightCtrl groupright SecGrouprightCtrl plwSecGroups plwSecRights addGrouprightDialogCtrl AddGrouprightDialogCtrl secRightListCtrl right SecRightListCtrl secRightDialogCtrl SecRightDialogCtrl secRoleListCtrl role SecRoleListCtrl secRoleDialogCtrl SecRoleDialogCtrl secRolegroupCtrl rolegroup SecRolegroupCtrl plwSecRoles secUserroleCtrl userrole SecUserroleCtrl plwSecUsers reportService services report service impl ReportServiceImpl orderDAO orderpositionDAO customerDAO officeDAO brancheDAO hibernateStatisticsCtrl debug HibernateStatisticsCtrl guiHibernateStatisticsService gridPagedListWrapper pagedGridWrapper hibernateStatisticsDetailCtrl HibernateStatisticsDetailCtrl userWorkspace UserWorkspace session true GFCBaseCtrl GFCBaseListCtrl pagging PagedListWrapper pagedListService pagedBindingListWrapper PagedBindingListWrapper PagedGridWrapper messageBarCtrl MessageBarCtrl statusBarCtrl StatusBarCtrl userBarCtrl UserBarCtrl helpWindowCtrl HelpWindowCtrl mainMenuCtrl common menu MainMenuCtrl treeMainMenuFactory treeMenuFactory dropDownMenuFactory djReportStyles reports template DJReportStyles, br Main controller for the branch main module zul file WEB INF pages branchMain b WORKS with annotated databinding mechanism This class creates Tabs TabPanels The components data to all tabs are created on demand first time selecting tab holds getters setters used beans sets in related In child controllers their pointed this mainTabController changes sge modified zk x complete Annotated Databinding Managed BranchListCtrl Branch List BranchenListe BranchDetailCtrl Details BranchenDetails author bbruhns Stephan Gerth All that defined here and have a corresponding component same id getting autowired by our extends GFCBaseCtrl GenericForwardComposer filter Component Events When new button is clicked param event throws InterruptedException Business Logic Helpers User rights check Only set visible true if logged user right it from spring framework users grantedAuthority Remember A only string Setter Getter COMPONENTS OTHERS aurowired checkRights Button CRUD buttons autowire Tab Controllers access dataBinders ServiceDAOs Domain Classes always copy bean before modifying Used reseting default constructor Set an alias composer name parameter recurse false avoid problems managing more than one page Otherwise would be overridden can ends curious error messages Automatically called method Exception logger debug toString create Controller Disable not during working Initiate loading customerList editMode tabBranchList selected Loads into IOException Check tabpanel already loaded tabPanelBranchDetail refresh Binding when checkBox Show filtering checked search help Secured BranchMain btnNew save cancel delete print branches list go record previous next last Filter like empty unCheck of Detail If so do searchObject init sorting Change BindingListModel get current later checking we must change selection Removes Filters shows text boxes clear Cancel action Reset values its origin UI back readonly disable mode edit reset original object dataBinder editable Mode Sets writable Checks NEEDED TABS contents simulate onSelect calling sendEvent work beanCreation little bit deeper because preCreated remember old vars click EditBtn every focus Deletes Bean DB them demo confirm box TODO Auto generated catch block database Saves involved Beans several saving successfully actualize as origins StatusBar show objects statusBar Stores originBeans Objects backend DO NOT BREAK THE TIERS We don t DomainObject frontend GET databinded Refresh binding ButtonStatus New Skip Leaf through models according navigation row listbox model exists binded So BeanCreation After which calculate rowIndex call showing master detail MASTERS Resizes container resize fill Listbox Opens screen comp ForwardEvent getOrigin getTarget HashMap String Object map put parentComponent Executions createComponents util helpWindow windowBranchMain stop propagation will ALL events namespace btnHelp standard application often appears getRealOrigin stopPropagation s properties modification canceled see doResetToInitValues property doStoreInitValues Bug DataBinder move Master BEANS CONTROLLERS SERVICES BranchMainCtrl GFCBaseCtrlimplementsSerializable serialVersionUID tabbox tabBranchDetail tabPanelBranchList checkbox ShowAll tb Name Search BranchName btnCtroller ClassPrefix btnCtrlBranch btnEdit btnDelete btnSave btnCancel btnFirst btnPrevious btnNext btnLast btnPrint branchListCtrl branchDetailCtrl selectedBranche brancheService originalBranche doAfterCompose window Optional  super self setAttribute onCreate ButtonStatusCtrl getUserWorkspace null doCheckRights setSelected ZksampleCommonUtils createTabPanelContent ModuleMainController branchList setInitEdit getFirstChild return getBranchDetailCtrl setBranche getSelectedBranche getBinder loadAll branchDetail onCheck doBranchListShowAll onClick doBranchListSearchLikeBranchName doHelp doNew doSave doEdit doDelete doCancel btnRefresh doResizeSelectedTab final Window win Path getComponent outerIndexWindow BranchSimpleDJReport doSkip getValue isEmpty setChecked getBranchListCtrl HibernateSearchObject Branche searchObjBranch getCountRows addFilter braBezeichnung OP ILIKE addSort getPagedBindingListWrapper setSearchObject currentTab getSelectedTab equals else setValue clearFilters doReadOnlyMode Event setBtnStatus Edit txtb BranchText aBranche getId ZksampleMessageUtils doShowNotAllowedForDemoRecords msg Labels getLabel message Question Are you sure n getBraBezeichnung title Deleting Record MultiLineMessageBox doSetTemplate Messagebox YES NO QUESTION EventListener Override public void onEvent evt switch Integer getData intValue case try deleteBean e printStackTrace break private getBrancheService DataAccessException showErrorMessage getMostSpecificCause setSelectedBranche doFillListbox saveAll saveOrUpdate getBranche postEvent getListBoxBranch str EventQueues lookup selectedObjectEventQueue DESKTOP publish onChangeSelectedObject finally getNewBranche setInitNew BindingListModelList blml getModel size int index indexOf ON SELECT setSelectedIndex doFitSize doShowNotImplementedMessage setOriginalBranche ZksampleBeanUtils cloneBean IllegalAccessException throw RuntimeException InstantiationException InvocationTargetException NoSuchMethodException getOriginalBranche invalidate UserWorkspace workspace setVisible isAllowed setBranches getBranches setBranchListCtrl setBranchDetailCtrl setBrancheService
SecLoginlog private String lglLoginname,SecLoginlog hbm xml property name lglLoginname type string,1,zksample2\spring-hibernate-backend\src\main\java\de\forsthaus\backend\model\SecLoginlog.java,zksample2\spring-hibernate-backend\src\main\resources\de\forsthaus\backend\model\SecLoginlog.hbm.xml,lglLoginname,sec loginlog seq de forsthaus backend model SecLoginlog id long lgl sequence version VERSION integer ipCountry IpCountry select ic lglLoginname string loginname true lglLogtime timestamp logtime lglSessionid sessionid lglIp ip lglStatusid java lang Integer status browserType browsertype, EN Model class for b SecLoginlog br DE Klasse fuer Login Log author bbruhns sgerth Hibernate version field Do not touch this Versions Info Bitte nicht benutzen serialVersionUID id ip Country lglLoginname lglLogtime lglSessionid lglIp browserType lglStatusid isNew Optional  return getId Long MIN VALUE empty setId setVersion getVersion setIp getIp getLglLoginname setLglLoginname getLglLogtime setLglLogtime getLglSessionid setLglSessionid getLglIp setLglIp getLglStatusid setLglStatusid setBrowserType getBrowserType hashCode valueOf equals secLoginlog obj if true instanceof false toString new ToStringBuilder append lglLogin
SecGroupright private SecRight secRight,SecGroupright hbm xml many to one name secRight class de forsthaus backend model SecRight,1,zksample2\spring-hibernate-backend\src\main\java\de\forsthaus\backend\model\SecGroupright.java,zksample2\spring-hibernate-backend\src\main\resources\de\forsthaus\backend\model\SecGroupright.hbm.xml,secRight,sec groupright seq de forsthaus backend model SecGroupright id long gri sequence version VERSION integer secGroup SecGroup select grp secRight SecRight rig, EN Model class for b SecGroupright br DE Klasse fuer Gruppenrechte author bbruhns sgerth Hibernate version field Do not touch this Versions Info Bitte nicht benutzen serialVersionUID id secGroup secRight isNew Optional  return getId Long MIN VALUE empty setId getVersion setVersion getSecGroup setSecGroup getSecRight setSecRight hashCode valueOf equals secGroupright obj if true instanceof false toString new ToStringBuilder append
ChartServiceImpl private ChartDataDAO chartDataDAO,applicationContext hibernate xml property name chartDataDAO ref chartDataDAO,1,zksample2\spring-hibernate-backend\src\main\java\de\forsthaus\backend\service\impl\ChartServiceImpl.java,zksample2\spring-hibernate-backend\src\main\resources\applicationContext-hibernate.xml,chartDataDAO,de forsthaus backend model Article hbm xml Order Orderposition Customer Office Branche SecGroup SecGroupright SecRight SecRole SecRolegroup SecUser SecUserrole SecLoginlog GuestBook IpToCountry IpCountry CountryCode MyCalendarEvent HibernateEntityStatistics HibernateStatistics YoutubeLink ApplicationNews http www springframework org schema beans w XMLSchema instance p spring xsd sessionFactory orm hibernate LocalSessionFactoryBean dataSource hibernateProperties mappingResources hibernateTemplate HibernateTemplate maxResults hibernateSearchSupport dao impl HibernateSearchSupportImpl hibernateSearchProcessor com googlecode genericdao search HibernateSearchProcessor getInstanceForSessionFactory nonWebRequestDBAction nonwebrequestdbservice NonWebRequestDBAction basisDAO true BasisDAO customerDAO CustomerDAOImpl orderDAO OrderDAOImpl orderpositionDAO OrderpositionDAOImpl articleDAO ArticleDAOImpl officeDAO OfficeDAOImpl brancheDAO BrancheDAOImpl userDAO UserDAOImpl secGroupDAO SecGroupDAOImpl secGrouprightDAO SecGrouprightDAOImpl secRightDAO SecRightDAOImpl secRoleDAO SecRoleDAOImpl secRolegroupDAO SecRolegroupDAOImpl secUserroleDAO SecUserroleDAOImpl secTypDAO SecTypDAOImpl secLoginlogDAO SecLoginlogDAOImpl languageDAO LanguageDAOImpl guestBookDAO GuestBookDAOImpl chartDataDAO ChartDataDAOImpl ipToCountryDAO IpToCountryDAOImpl ipCountryDAO IpCountryDAOImpl countryCodeDAO CountryCodeDAOImpl calendarEventDAO MyCalendarEventDAOImpl hibernateStatisticsDao HibernateStatisticsDaoImpl hibernateEntityStatisticsDao HibernateEntityStatisticsDaoImpl youtubeLinkDAO YoutubeLinkDAOImpl applicationNewsDAO ApplicationNewsDAOImpl customerService service CustomerServiceImpl orderService OrderServiceImpl officeService OfficeServiceImpl brancheService BrancheServiceImpl articleService ArticleServiceImpl userService UserServiceImpl loginService LoginServiceImpl securityService SecurityServiceImpl loginLoggingService LoginLoggingServiceImpl pagedListService PagedListServiceImpl guestBookService GuestBookServiceImpl chartService ChartServiceImpl ipToCountryService IpToCountryServiceImpl ipCountryService IpCountryServiceImpl countryCodeService CountryCodeServiceImpl calendarEventService MyCalendarEventServiceImpl hibernateStatisticsService HibernateStatisticsServiceImpl youtubeLinkService YoutubeLinkServiceImpl applicationNewsService ApplicationNewsServiceImpl commonService CommonServiceImpl, Service implementation for methods that depends on b Charts br author bbruhns sgerth ChartServiceImpl chartDataDAO setChartDataDAO Optional  this empty getChartDataDAO return getChartDataForCustomer kunId
YoutubeLink private String interpret,YoutubeLink hbm xml property name interpret type string,1,zksample2\spring-hibernate-backend\src\main\java\de\forsthaus\backend\model\YoutubeLink.java,zksample2\spring-hibernate-backend\src\main\resources\de\forsthaus\backend\model\YoutubeLink.hbm.xml,interpret,youtube link seq de forsthaus backend model YoutubeLink id long ytb sequence version VERSION integer interpret string title url true, EN Model class for b Youtube link br DE Klasse fuer author bbruhns sgerth Hibernate version field Do not touch this Versions Info Bitte nicht benutzen YoutubeLink serialVersionUID id interpret title url isNew Optional  return getId Long MIN VALUE empty setId getVersion setVersion setInterpret getInterpret setTitle getTitle setUrl getUrl hashCode valueOf equals youtubeLink obj if true instanceof false toString new ToStringBuilder append
Ip Country private CountryCode countryCode,Ip Country hbm xml many to one name countryCode class de forsthaus backend model CountryCode,1,zksample2\spring-hibernate-backend\src\main\java\de\forsthaus\backend\model\Ip2Country.java,zksample2\spring-hibernate-backend\src\main\resources\de\forsthaus\backend\model\Ip2Country.hbm.xml,countryCode,log ipcountry seq de forsthaus backend model IpCountry id long ic sequence version VERSION integer secLoginlogs true lgl SecLoginlog countryCode CountryCode select false ccd icCity string city icLatitude float latitude icLongitude longitude, EN Model class for b Ip Country br DE Klasse fuer author bbruhns sgerth Hibernate version field Do not touch this Versions Info Bitte nicht benutzen serialVersionUID id countryCode i cCity cLatitude cLongitude secLoginlogs isNew Optional  return getId Long MIN VALUE empty setId setVersion getVersion setCountryCode getCountryCode setI getI setSecLoginlogs getSecLoginlogs hashCode valueOf equals ip obj if true instanceof false toString new ToStringBuilder append
SecLoginlog private String lglSessionid,SecLoginlog hbm xml property name lglSessionid type string,1,zksample2\spring-hibernate-backend\src\main\java\de\forsthaus\backend\model\SecLoginlog.java,zksample2\spring-hibernate-backend\src\main\resources\de\forsthaus\backend\model\SecLoginlog.hbm.xml,lglSessionid,sec loginlog seq de forsthaus backend model SecLoginlog id long lgl sequence version VERSION integer ipCountry IpCountry select ic lglLoginname string loginname true lglLogtime timestamp logtime lglSessionid sessionid lglIp ip lglStatusid java lang Integer status browserType browsertype, EN Model class for b SecLoginlog br DE Klasse fuer Login Log author bbruhns sgerth Hibernate version field Do not touch this Versions Info Bitte nicht benutzen serialVersionUID id ip Country lglLoginname lglLogtime lglSessionid lglIp browserType lglStatusid isNew Optional  return getId Long MIN VALUE empty setId setVersion getVersion setIp getIp getLglLoginname setLglLoginname getLglLogtime setLglLogtime getLglSessionid setLglSessionid getLglIp setLglIp getLglStatusid setLglStatusid setBrowserType getBrowserType hashCode valueOf equals secLoginlog obj if true instanceof false toString new ToStringBuilder append lglLogin
Ip Country private long i coIp,Ip Country hbm xml property name i coIp type long,1,zksample2\spring-hibernate-backend\src\main\java\de\forsthaus\backend\model\Ip4Country.java,zksample2\spring-hibernate-backend\src\main\resources\de\forsthaus\backend\model\Ip4Country.hbm.xml,i4coIp,sys ipcountry seq de forsthaus backend model IpCountry id long ico sequence version VERSION integer icoIp ip icoCcdId ccd, EN Model class for b Ip Country br DE Klasse fuer author bbruhns sgerth Hibernate version field Do not touch this Versions Info Bitte nicht benutzen serialVersionUID id i coIp coCcdId isNew Optional  return getId Long MIN VALUE empty setId setVersion getVersion setI getI hashCode valueOf equals ip obj if true instanceof false toString new ToStringBuilder append
Ip CountryServiceImpl private Ip CountryDAO ip CountryDAO,applicationContext hibernate xml property name ip CountryDAO ref ip CountryDAO,1,zksample2\spring-hibernate-backend\src\main\java\de\forsthaus\backend\service\impl\Ip4CountryServiceImpl.java,zksample2\spring-hibernate-backend\src\main\resources\applicationContext-hibernate.xml,ip4CountryDAO,de forsthaus backend model Article hbm xml Order Orderposition Customer Office Branche SecGroup SecGroupright SecRight SecRole SecRolegroup SecUser SecUserrole SecLoginlog GuestBook IpToCountry IpCountry CountryCode MyCalendarEvent HibernateEntityStatistics HibernateStatistics YoutubeLink ApplicationNews http www springframework org schema beans w XMLSchema instance p spring xsd sessionFactory orm hibernate LocalSessionFactoryBean dataSource hibernateProperties mappingResources hibernateTemplate HibernateTemplate maxResults hibernateSearchSupport dao impl HibernateSearchSupportImpl hibernateSearchProcessor com googlecode genericdao search HibernateSearchProcessor getInstanceForSessionFactory nonWebRequestDBAction nonwebrequestdbservice NonWebRequestDBAction basisDAO true BasisDAO customerDAO CustomerDAOImpl orderDAO OrderDAOImpl orderpositionDAO OrderpositionDAOImpl articleDAO ArticleDAOImpl officeDAO OfficeDAOImpl brancheDAO BrancheDAOImpl userDAO UserDAOImpl secGroupDAO SecGroupDAOImpl secGrouprightDAO SecGrouprightDAOImpl secRightDAO SecRightDAOImpl secRoleDAO SecRoleDAOImpl secRolegroupDAO SecRolegroupDAOImpl secUserroleDAO SecUserroleDAOImpl secTypDAO SecTypDAOImpl secLoginlogDAO SecLoginlogDAOImpl languageDAO LanguageDAOImpl guestBookDAO GuestBookDAOImpl chartDataDAO ChartDataDAOImpl ipToCountryDAO IpToCountryDAOImpl ipCountryDAO IpCountryDAOImpl countryCodeDAO CountryCodeDAOImpl calendarEventDAO MyCalendarEventDAOImpl hibernateStatisticsDao HibernateStatisticsDaoImpl hibernateEntityStatisticsDao HibernateEntityStatisticsDaoImpl youtubeLinkDAO YoutubeLinkDAOImpl applicationNewsDAO ApplicationNewsDAOImpl customerService service CustomerServiceImpl orderService OrderServiceImpl officeService OfficeServiceImpl brancheService BrancheServiceImpl articleService ArticleServiceImpl userService UserServiceImpl loginService LoginServiceImpl securityService SecurityServiceImpl loginLoggingService LoginLoggingServiceImpl pagedListService PagedListServiceImpl guestBookService GuestBookServiceImpl chartService ChartServiceImpl ipToCountryService IpToCountryServiceImpl ipCountryService IpCountryServiceImpl countryCodeService CountryCodeServiceImpl calendarEventService MyCalendarEventServiceImpl hibernateStatisticsService HibernateStatisticsServiceImpl youtubeLinkService YoutubeLinkServiceImpl applicationNewsService ApplicationNewsServiceImpl commonService CommonServiceImpl, EN Service implementation for methods that depends on b Ip Country br DE Methoden Implementierung betreffend author bbruhns sgerth Converts an ip address to a long value param return first delete all records in the table CountryServiceImpl serialVersionUID logger updateUrl CountryDAO setIp Optional  this empty getIp inetAddressToLong if isAnyLocalAddress l final byte bs getAddress Long lg valueOf getCountryID saveOrUpdate importIP CountryCSV try deleteAll URL url new URLConnection conn openConnection InputStream istream getInputStream BufferedReader InputStreamReader Pattern splitterPattern compile int counter String aLine null while readLine array split trim parseLong country tmp getNewIp setI coCcdId coIp isDebugEnabled debug Aktueller Zaehler finally close getCountAllIp Countries catch IOException e throw RuntimeException
ZkossTreeMenuFactory private RootMenuDomainFactory rootMenuDomainFactory,applicationContext guiServices xml property name rootMenuDomainFactory ref metaMenuFactory,1,zksample2\zkoss\src\main\java\de\forsthaus\common\menu\tree\ZkossTreeMenuFactory.java,zksample2\zkoss\src\main\resources\applicationContext-guiServices.xml,rootMenuDomainFactory,http www springframework org schema beans w XMLSchema instance aop tx p spring xsd guiLoginLoggingService de forsthaus gui service impl GuiLoginLoggingServiceImpl session ipCountryService ipToCountryService loginLoggingService countryCodeService pagedListService guiLoginLoggingPolicService GuiLoginLoggingPolicServiceImpl guiHibernateStatisticsService GuiHibernateStatisticsServiceImpl hibernateStatisticsService metaMenuFactory common menu ClasspathMetaMenuFactory name mainmenu xml treeMenuFactory tree ZkossTreeMenuFactory rootMenuDomainFactory dropDownMenuFactory dropdown ZkossDropDownMenuFactory, author bbruhns ZkossTreeMenuFactory ZkossMenuFactory serialVersionUID createMenuComponent parent open Optional  final Treeitem treeitem new appendChild setOpen ILabelElement item insertTreeCell Treechildren treechildren return MenuFactoryDto empty createItemComponent Treerow treerow DefaultTreecell treecell super
ClasspathMetaMenuFactory private String name,applicationContext guiServices xml property name name value mainmenu xml,1,zksample2\zkoss\src\main\java\de\forsthaus\common\menu\spring\ClasspathMetaMenuFactory.java,zksample2\zkoss\src\main\resources\applicationContext-guiServices.xml,name,http www springframework org schema beans w XMLSchema instance aop tx p spring xsd guiLoginLoggingService de forsthaus gui service impl GuiLoginLoggingServiceImpl session ipCountryService ipToCountryService loginLoggingService countryCodeService pagedListService guiLoginLoggingPolicService GuiLoginLoggingPolicServiceImpl guiHibernateStatisticsService GuiHibernateStatisticsServiceImpl hibernateStatisticsService metaMenuFactory common menu ClasspathMetaMenuFactory name mainmenu xml treeMenuFactory tree ZkossTreeMenuFactory rootMenuDomainFactory dropDownMenuFactory dropdown ZkossDropDownMenuFactory, ClasspathMetaMenuFactory MetaMenuFactory name setName Optional  this empty createRootMenuDomain Unmarshaller unmarshaller createUnmarshaller return RootMenuDomain unmarshal class getResource
