name,ClasspathMetaMenuFactory.java,zksample2\\zkoss\\src\\main\\java\\de\\forsthaus\\common\\menu\\spring\\ClasspathMetaMenuFactory.java,"<property name=""name"" value=""/mainmenu.xml"" />",46,applicationContext-guiServices.xml,zksample2\zkoss\src\main\resources\applicationContext-guiServices.xml
text,ApplicationNews.java,zksample2\\spring-hibernate-backend\\src\\main\\java\\de\\forsthaus\\backend\\model\\ApplicationNews.java,"<property name=""text"" type=""string"">",23,ApplicationNews.hbm.xml,zksample2\spring-hibernate-backend\src\main\resources\de\forsthaus\backend\model\ApplicationNews.hbm.xml
content,MyCalendarEvent.java,zksample2\\spring-hibernate-backend\\src\\main\\java\\de\\forsthaus\\backend\\model\\MyCalendarEvent.java,"<property name=""content"" type=""string"">",28,MyCalendarEvent.hbm.xml,zksample2\spring-hibernate-backend\src\main\resources\de\forsthaus\backend\model\MyCalendarEvent.hbm.xml
iconName,MenuItemDomain.java,zksample2\\zkoss\\src\\main\\java\\de\\forsthaus\\common\\menu\\domain\\MenuItemDomain.java,"iconName=""/images/icons/exdDatabaseView_16x16.gif"" rightName=""menuItem_Administration_UserRoles"" />",72,mainmenu.xml,zksample2\zkoss\src\main\resources\mainmenu.xml
iconName,MenuItemDomain.java,zksample2\\zkoss\\src\\main\\java\\de\\forsthaus\\common\\menu\\domain\\MenuItemDomain.java,"iconName=""/images/icons/method_16x16.gif"" rightName=""menuItem_Administration_HibernateStats"" />",89,mainmenu.xml,zksample2\zkoss\src\main\resources\mainmenu.xml
iconName,MenuItemDomain.java,zksample2\\zkoss\\src\\main\\java\\de\\forsthaus\\common\\menu\\domain\\MenuItemDomain.java,"iconName=""/images/icons/icon-pdf_16x16.png"" />",39,mainmenu.xml,zksample2\zkoss\src\main\resources\mainmenu.xml
iconName,MenuItemDomain.java,zksample2\\zkoss\\src\\main\\java\\de\\forsthaus\\common\\menu\\domain\\MenuItemDomain.java,"iconName=""/images/icons/exdDatabaseView_16x16.gif"" rightName=""menuItem_Administration_GroupRights"" />",81,mainmenu.xml,zksample2\zkoss\src\main\resources\mainmenu.xml
iconName,MenuItemDomain.java,zksample2\\zkoss\\src\\main\\java\\de\\forsthaus\\common\\menu\\domain\\MenuItemDomain.java,"iconName=""/images/icons/exdDatabaseView_16x16.gif"" rightName=""menuItem_Administration_RoleGroups"" />",76,mainmenu.xml,zksample2\zkoss\src\main\resources\mainmenu.xml
iconName,MenuItemDomain.java,zksample2\\zkoss\\src\\main\\java\\de\\forsthaus\\common\\menu\\domain\\MenuItemDomain.java,"iconName=""/images/icons/index_16x16.gif"" rightName=""menuItem_MainData_ArticleItems"" />",59,mainmenu.xml,zksample2\zkoss\src\main\resources\mainmenu.xml
iconName,MenuItemDomain.java,zksample2\\zkoss\\src\\main\\java\\de\\forsthaus\\common\\menu\\domain\\MenuItemDomain.java,"iconName=""/images/icons/exdDatabaseView_16x16.gif"" rightName=""menuItem_Administration_Groups"" />",78,mainmenu.xml,zksample2\zkoss\src\main\resources\mainmenu.xml
iconName,MenuItemDomain.java,zksample2\\zkoss\\src\\main\\java\\de\\forsthaus\\common\\menu\\domain\\MenuItemDomain.java,"iconName=""/images/icons/exdDatabaseView_16x16.gif"" rightName=""menuItem_Administration_Rights"" />",83,mainmenu.xml,zksample2\zkoss\src\main\resources\mainmenu.xml
iconName,MenuItemDomain.java,zksample2\\zkoss\\src\\main\\java\\de\\forsthaus\\common\\menu\\domain\\MenuItemDomain.java,"iconName=""/images/icons/calendar1_16x16.gif"" />",26,mainmenu.xml,zksample2\zkoss\src\main\resources\mainmenu.xml
iconName,MenuItemDomain.java,zksample2\\zkoss\\src\\main\\java\\de\\forsthaus\\common\\menu\\domain\\MenuItemDomain.java,"iconName=""/images/icons/index_16x16.gif"" rightName=""menuItem_MainData_Branch"" />",61,mainmenu.xml,zksample2\zkoss\src\main\resources\mainmenu.xml
iconName,MenuItemDomain.java,zksample2\\zkoss\\src\\main\\java\\de\\forsthaus\\common\\menu\\domain\\MenuItemDomain.java,"iconName=""/images/icons/console_view.gif"" />",20,mainmenu.xml,zksample2\zkoss\src\main\resources\mainmenu.xml
iconName,MenuItemDomain.java,zksample2\\zkoss\\src\\main\\java\\de\\forsthaus\\common\\menu\\domain\\MenuItemDomain.java,"iconName=""/images/icons/spreadsheet_16x16.png"" />",32,mainmenu.xml,zksample2\zkoss\src\main\resources\mainmenu.xml
iconName,MenuItemDomain.java,zksample2\\zkoss\\src\\main\\java\\de\\forsthaus\\common\\menu\\domain\\MenuItemDomain.java,"iconName=""/images/icons/wpmini-blue_16x16.png"" />",42,mainmenu.xml,zksample2\zkoss\src\main\resources\mainmenu.xml
iconName,MenuItemDomain.java,zksample2\\zkoss\\src\\main\\java\\de\\forsthaus\\common\\menu\\domain\\MenuItemDomain.java,"iconName=""/images/icons/view.gif"" rightName=""menuItem_OfficeData_Customers"" />",51,mainmenu.xml,zksample2\zkoss\src\main\resources\mainmenu.xml
iconName,MenuItemDomain.java,zksample2\\zkoss\\src\\main\\java\\de\\forsthaus\\common\\menu\\domain\\MenuItemDomain.java,"iconName=""/images/icons/exdDatabaseView_16x16.gif"" rightName=""menuItem_Administration_Roles"" />",74,mainmenu.xml,zksample2\zkoss\src\main\resources\mainmenu.xml
iconName,MenuItemDomain.java,zksample2\\zkoss\\src\\main\\java\\de\\forsthaus\\common\\menu\\domain\\MenuItemDomain.java,"iconName=""/images/icons/cardbox1_16x16.gif"" />",45,mainmenu.xml,zksample2\zkoss\src\main\resources\mainmenu.xml
iconName,MenuItemDomain.java,zksample2\\zkoss\\src\\main\\java\\de\\forsthaus\\common\\menu\\domain\\MenuItemDomain.java,"<menuItem id=""menu_Item_Users"" iconName=""/images/icons/user_group_16x16.png""",68,mainmenu.xml,zksample2\zkoss\src\main\resources\mainmenu.xml
